Year,Reference area,Sex,COMPOSITE_BREAKDOWN,GeoCode,Value
2018,Jalal-Abad,Male,Non-communicable disease: Cardiovascular disease,KG03,247.974872
2019,Jalal-Abad,Male,Non-communicable disease: Cardiovascular disease,KG03,243.033052
2020,Jalal-Abad,Male,Non-communicable disease: Cardiovascular disease,KG03,311.4
2021,Jalal-Abad,Male,Non-communicable disease: Cardiovascular disease,KG03,313.7
2007,Jalal-Abad,Female,Non-communicable disease: Cardiovascular disease,KG03,260.303266
2008,Jalal-Abad,Female,Non-communicable disease: Cardiovascular disease,KG03,288.888889
2009,Jalal-Abad,Female,Non-communicable disease: Cardiovascular disease,KG03,258.931929
2010,Jalal-Abad,Female,Non-communicable disease: Cardiovascular disease,KG03,262.247278
2011,Jalal-Abad,Female,Non-communicable disease: Cardiovascular disease,KG03,283.908046
2012,Jalal-Abad,Female,Non-communicable disease: Cardiovascular disease,KG03,286.949981
2013,Jalal-Abad,Female,Non-communicable disease: Cardiovascular disease,KG03,253.915607
2014,Jalal-Abad,Female,Non-communicable disease: Cardiovascular disease,KG03,251.038468
2015,Jalal-Abad,Female,Non-communicable disease: Cardiovascular disease,KG03,256.682599
2016,Jalal-Abad,Female,Non-communicable disease: Cardiovascular disease,KG03,241.666667
2017,Jalal-Abad,Female,Non-communicable disease: Cardiovascular disease,KG03,235.765428
2018,Jalal-Abad,Female,Non-communicable disease: Cardiovascular disease,KG03,227.576975
2019,Jalal-Abad,Female,Non-communicable disease: Cardiovascular disease,KG03,243.190023
2020,Jalal-Abad,Female,Non-communicable disease: Cardiovascular disease,KG03,273.1
2021,Jalal-Abad,Female,Non-communicable disease: Cardiovascular disease,KG03,260.1
2007,Issyk-Kul,,Non-communicable disease: Cardiovascular disease,KG02,417.024159
2008,Issyk-Kul,,Non-communicable disease: Cardiovascular disease,KG02,391.888864
2009,Issyk-Kul,,Non-communicable disease: Cardiovascular disease,KG02,369.425338
2010,Issyk-Kul,,Non-communicable disease: Cardiovascular disease,KG02,391.05893
2011,Issyk-Kul,,Non-communicable disease: Cardiovascular disease,KG02,360.51983
2012,Issyk-Kul,,Non-communicable disease: Cardiovascular disease,KG02,394.941203
2013,Issyk-Kul,,Non-communicable disease: Cardiovascular disease,KG02,385.8
2014,Issyk-Kul,,Non-communicable disease: Cardiovascular disease,KG02,362.966175
2015,Issyk-Kul,,Non-communicable disease: Cardiovascular disease,KG02,361.027837
2016,Issyk-Kul,,Non-communicable disease: Cardiovascular disease,KG02,328.686101
2017,Issyk-Kul,,Non-communicable disease: Cardiovascular disease,KG02,325.901229
2018,Issyk-Kul,,Non-communicable disease: Cardiovascular disease,KG02,302.014803
2019,Issyk-Kul,,Non-communicable disease: Cardiovascular disease,KG02,302.901197
2020,Issyk-Kul,,Non-communicable disease: Cardiovascular disease,KG02,377.0
2021,Issyk-Kul,,Non-communicable disease: Cardiovascular disease,KG02,358.2
2007,Issyk-Kul,Male,Non-communicable disease: Cardiovascular disease,KG02,406.934307
2008,Issyk-Kul,Male,Non-communicable disease: Cardiovascular disease,KG02,382.007233
2009,Issyk-Kul,Male,Non-communicable disease: Cardiovascular disease,KG02,366.89038
2010,Issyk-Kul,Male,Non-communicable disease: Cardiovascular disease,KG02,388.229927
2011,Issyk-Kul,Male,Non-communicable disease: Cardiovascular disease,KG02,353.526221
2012,Issyk-Kul,Male,Non-communicable disease: Cardiovascular disease,KG02,391.051454
2013,Issyk-Kul,Male,Non-communicable disease: Cardiovascular disease,KG02,395.050817
2014,Issyk-Kul,Male,Non-communicable disease: Cardiovascular disease,KG02,379.475983
2015,Issyk-Kul,Male,Non-communicable disease: Cardiovascular disease,KG02,370.689655
2016,Issyk-Kul,Male,Non-communicable disease: Cardiovascular disease,KG02,334.324554
2017,Issyk-Kul,Male,Non-communicable disease: Cardiovascular disease,KG02,334.589615
2018,Issyk-Kul,Male,Non-communicable disease: Cardiovascular disease,KG02,309.661437
2019,Issyk-Kul,Male,Non-communicable disease: Cardiovascular disease,KG02,303.05499
2020,Issyk-Kul,Male,Non-communicable disease: Cardiovascular disease,KG02,400.0
2021,Issyk-Kul,Male,Non-communicable disease: Cardiovascular disease,KG02,360.7
2007,Issyk-Kul,Female,Non-communicable disease: Cardiovascular disease,KG02,426.911042
2008,Issyk-Kul,Female,Non-communicable disease: Cardiovascular disease,KG02,401.599289
2009,Issyk-Kul,Female,Non-communicable disease: Cardiovascular disease,KG02,371.919014
2010,Issyk-Kul,Female,Non-communicable disease: Cardiovascular disease,KG02,393.831024
2011,Issyk-Kul,Female,Non-communicable disease: Cardiovascular disease,KG02,367.39227
2012,Issyk-Kul,Female,Non-communicable disease: Cardiovascular disease,KG02,398.767606
2013,Issyk-Kul,Female,Non-communicable disease: Cardiovascular disease,KG02,376.578145
2014,Issyk-Kul,Female,Non-communicable disease: Cardiovascular disease,KG02,346.683893
2015,Issyk-Kul,Female,Non-communicable disease: Cardiovascular disease,KG02,351.489362
2016,Issyk-Kul,Female,Non-communicable disease: Cardiovascular disease,KG02,323.109244
2017,Issyk-Kul,Female,Non-communicable disease: Cardiovascular disease,KG02,317.295728
2018,Issyk-Kul,Female,Non-communicable disease: Cardiovascular disease,KG02,294.430794
2019,Issyk-Kul,Female,Non-communicable disease: Cardiovascular disease,KG02,302.748585
2020,Issyk-Kul,Female,Non-communicable disease: Cardiovascular disease,KG02,354.1
2021,Issyk-Kul,Female,Non-communicable disease: Cardiovascular disease,KG02,355.7
2007,Naryn,,Non-communicable disease: Cardiovascular disease,KG04,333.333333
2008,Naryn,,Non-communicable disease: Cardiovascular disease,KG04,306.525038
2009,Naryn,,Non-communicable disease: Cardiovascular disease,KG04,280.675422
2010,Naryn,,Non-communicable disease: Cardiovascular disease,KG04,301.11239
2011,Naryn,,Non-communicable disease: Cardiovascular disease,KG04,326.251897
2012,Naryn,,Non-communicable disease: Cardiovascular disease,KG04,318.198874
2013,Naryn,,Non-communicable disease: Cardiovascular disease,KG04,327.400816
2014,Naryn,,Non-communicable disease: Cardiovascular disease,KG04,317.582418
2015,Naryn,,Non-communicable disease: Cardiovascular disease,KG04,310.032597
2016,Naryn,,Non-communicable disease: Cardiovascular disease,KG04,312.813171
2017,Naryn,,Non-communicable disease: Cardiovascular disease,KG04,302.654867
2018,Naryn,,Non-communicable disease: Cardiovascular disease,KG04,307.988788
2019,Naryn,,Non-communicable disease: Cardiovascular disease,KG04,317.030871
2020,Naryn,,Non-communicable disease: Cardiovascular disease,KG04,340.7
2021,Naryn,,Non-communicable disease: Cardiovascular disease,KG04,332.2
2007,Naryn,Male,Non-communicable disease: Cardiovascular disease,KG04,351.515152
2008,Naryn,Male,Non-communicable disease: Cardiovascular disease,KG04,322.60479
2009,Naryn,Male,Non-communicable disease: Cardiovascular disease,KG04,278.846154
2010,Naryn,Male,Non-communicable disease: Cardiovascular disease,KG04,300.757576
2011,Naryn,Male,Non-communicable disease: Cardiovascular disease,KG04,346.556886
2012,Naryn,Male,Non-communicable disease: Cardiovascular disease,KG04,338.757396
2013,Naryn,Male,Non-communicable disease: Cardiovascular disease,KG04,347.69905
2014,Naryn,Male,Non-communicable disease: Cardiovascular disease,KG04,366.064982
2015,Naryn,Male,Non-communicable disease: Cardiovascular disease,KG04,327.623126
2016,Naryn,Male,Non-communicable disease: Cardiovascular disease,KG04,334.273625
2017,Naryn,Male,Non-communicable disease: Cardiovascular disease,KG04,311.977716
2018,Naryn,Male,Non-communicable disease: Cardiovascular disease,KG04,334.710744
2019,Naryn,Male,Non-communicable disease: Cardiovascular disease,KG04,344.239945
2020,Naryn,Male,Non-communicable disease: Cardiovascular disease,KG04,388.9
2021,Naryn,Male,Non-communicable disease: Cardiovascular disease,KG04,377.1
2007,Naryn,Female,Non-communicable disease: Cardiovascular disease,KG04,314.685315
2008,Naryn,Female,Non-communicable disease: Cardiovascular disease,KG04,290.0
2009,Naryn,Female,Non-communicable disease: Cardiovascular disease,KG04,282.559025
2010,Naryn,Female,Non-communicable disease: Cardiovascular disease,KG04,301.476301
2011,Naryn,Female,Non-communicable disease: Cardiovascular disease,KG04,305.384615
2012,Naryn,Female,Non-communicable disease: Cardiovascular disease,KG04,297.029703
2013,Naryn,Female,Non-communicable disease: Cardiovascular disease,KG04,306.475904
2014,Naryn,Female,Non-communicable disease: Cardiovascular disease,KG04,267.657993
2015,Naryn,Female,Non-communicable disease: Cardiovascular disease,KG04,291.911765
2016,Naryn,Female,Non-communicable disease: Cardiovascular disease,KG04,290.697674
2017,Naryn,Female,Non-communicable disease: Cardiovascular disease,KG04,293.016559
2018,Naryn,Female,Non-communicable disease: Cardiovascular disease,KG04,280.313837
2019,Naryn,Female,Non-communicable disease: Cardiovascular disease,KG04,288.841808
2020,Naryn,Female,Non-communicable disease: Cardiovascular disease,KG04,290.6
2021,Naryn,Female,Non-communicable disease: Cardiovascular disease,KG04,285.6
2007,Osh,,Non-communicable disease: Cardiovascular disease,KG06,246.353611
2008,Osh,,Non-communicable disease: Cardiovascular disease,KG06,252.523479
2009,Osh,,Non-communicable disease: Cardiovascular disease,KG06,266.436881
2010,Osh,,Non-communicable disease: Cardiovascular disease,KG06,285.129847
2011,Osh,,Non-communicable disease: Cardiovascular disease,KG06,275.168963
2012,Osh,,Non-communicable disease: Cardiovascular disease,KG06,281.602757
2013,Osh,,Non-communicable disease: Cardiovascular disease,KG06,264.368785
2014,Osh,,Non-communicable disease: Cardiovascular disease,KG06,273.041759
2015,Osh,,Non-communicable disease: Cardiovascular disease,KG06,265.675241
2016,Osh,,Non-communicable disease: Cardiovascular disease,KG06,239.007538
2017,Osh,,Non-communicable disease: Cardiovascular disease,KG06,240.774908
2018,Osh,,Non-communicable disease: Cardiovascular disease,KG06,229.292169
2019,Osh,,Non-communicable disease: Cardiovascular disease,KG06,230.9
2020,Osh,,Non-communicable disease: Cardiovascular disease,KG06,304.8
2021,Osh,,Non-communicable disease: Cardiovascular disease,KG06,248.1
2007,Osh,Male,Non-communicable disease: Cardiovascular disease,KG06,253.001412
2008,Osh,Male,Non-communicable disease: Cardiovascular disease,KG06,260.983264
2009,Osh,Male,Non-communicable disease: Cardiovascular disease,KG06,272.245038
2010,Osh,Male,Non-communicable disease: Cardiovascular disease,KG06,301.200565
2011,Osh,Male,Non-communicable disease: Cardiovascular disease,KG06,294.630404
2012,Osh,Male,Non-communicable disease: Cardiovascular disease,KG06,299.110198
2013,Osh,Male,Non-communicable disease: Cardiovascular disease,KG06,280.361325
2014,Osh,Male,Non-communicable disease: Cardiovascular disease,KG06,291.224056
2015,Osh,Male,Non-communicable disease: Cardiovascular disease,KG06,269.292092
2016,Osh,Male,Non-communicable disease: Cardiovascular disease,KG06,243.075008
2017,Osh,Male,Non-communicable disease: Cardiovascular disease,KG06,251.674787
2018,Osh,Male,Non-communicable disease: Cardiovascular disease,KG06,243.702489
2019,Osh,Male,Non-communicable disease: Cardiovascular disease,KG06,248.613139
2020,Osh,Male,Non-communicable disease: Cardiovascular disease,KG06,330.8
2021,Osh,Male,Non-communicable disease: Cardiovascular disease,KG06,259.2
2007,Osh,Female,Non-communicable disease: Cardiovascular disease,KG06,239.605735
2008,Osh,Female,Non-communicable disease: Cardiovascular disease,KG06,243.945554
2009,Osh,Female,Non-communicable disease: Cardiovascular disease,KG06,260.545044
2010,Osh,Female,Non-communicable disease: Cardiovascular disease,KG06,268.817204
2011,Osh,Female,Non-communicable disease: Cardiovascular disease,KG06,255.435743
2012,Osh,Female,Non-communicable disease: Cardiovascular disease,KG06,263.843083
2013,Osh,Female,Non-communicable disease: Cardiovascular disease,KG06,248.131793
2014,Osh,Female,Non-communicable disease: Cardiovascular disease,KG06,254.566589
2015,Osh,Female,Non-communicable disease: Cardiovascular disease,KG06,261.997406
2016,Osh,Female,Non-communicable disease: Cardiovascular disease,KG06,234.865293
2017,Osh,Female,Non-communicable disease: Cardiovascular disease,KG06,229.658385
2018,Osh,Female,Non-communicable disease: Cardiovascular disease,KG06,214.579212
2019,Osh,Female,Non-communicable disease: Cardiovascular disease,KG06,212.686567
2020,Osh,Female,Non-communicable disease: Cardiovascular disease,KG06,278.3
2021,Osh,Female,Non-communicable disease: Cardiovascular disease,KG06,236.8
2007,Talas,,Non-communicable disease: Cardiovascular disease,KG07,348.958333
2008,Talas,,Non-communicable disease: Cardiovascular disease,KG07,340.325342
2009,Talas,,Non-communicable disease: Cardiovascular disease,KG07,348.778433
2010,Talas,,Non-communicable disease: Cardiovascular disease,KG07,333.767361
2011,Talas,,Non-communicable disease: Cardiovascular disease,KG07,345.034247
2012,Talas,,Non-communicable disease: Cardiovascular disease,KG07,342.459983
2013,Talas,,Non-communicable disease: Cardiovascular disease,KG07,309.8
2014,Talas,,Non-communicable disease: Cardiovascular disease,KG07,332.653893
2015,Talas,,Non-communicable disease: Cardiovascular disease,KG07,322.503008
2016,Talas,,Non-communicable disease: Cardiovascular disease,KG07,288.704581
2017,Talas,,Non-communicable disease: Cardiovascular disease,KG07,301.945525
2018,Talas,,Non-communicable disease: Cardiovascular disease,KG07,261.485452
2019,Talas,,Non-communicable disease: Cardiovascular disease,KG07,299.924642
2020,Talas,,Non-communicable disease: Cardiovascular disease,KG07,339.2
2021,Talas,,Non-communicable disease: Cardiovascular disease,KG07,347.9
2007,Talas,Male,Non-communicable disease: Cardiovascular disease,KG07,354.978355
2008,Talas,Male,Non-communicable disease: Cardiovascular disease,KG07,348.678602
2009,Talas,Male,Non-communicable disease: Cardiovascular disease,KG07,373.534338
2010,Talas,Male,Non-communicable disease: Cardiovascular disease,KG07,382.683983
2011,Talas,Male,Non-communicable disease: Cardiovascular disease,KG07,358.056266
2012,Talas,Male,Non-communicable disease: Cardiovascular disease,KG07,371.021776
2013,Talas,Male,Non-communicable disease: Cardiovascular disease,KG07,330.864198
2014,Talas,Male,Non-communicable disease: Cardiovascular disease,KG07,369.7411
2015,Talas,Male,Non-communicable disease: Cardiovascular disease,KG07,349.761526
2016,Talas,Male,Non-communicable disease: Cardiovascular disease,KG07,303.362002
2017,Talas,Male,Non-communicable disease: Cardiovascular disease,KG07,328.967643
2018,Talas,Male,Non-communicable disease: Cardiovascular disease,KG07,282.575758
2019,Talas,Male,Non-communicable disease: Cardiovascular disease,KG07,333.830104
2020,Talas,Male,Non-communicable disease: Cardiovascular disease,KG07,369.6
2021,Talas,Male,Non-communicable disease: Cardiovascular disease,KG07,361.7
2007,Talas,Female,Non-communicable disease: Cardiovascular disease,KG07,342.906876
2008,Talas,Female,Non-communicable disease: Cardiovascular disease,KG07,331.900258
2009,Talas,Female,Non-communicable disease: Cardiovascular disease,KG07,323.728814
2010,Talas,Female,Non-communicable disease: Cardiovascular disease,KG07,284.5953
2011,Talas,Female,Non-communicable disease: Cardiovascular disease,KG07,331.900258
2012,Talas,Female,Non-communicable disease: Cardiovascular disease,KG07,313.559322
2013,Talas,Female,Non-communicable disease: Cardiovascular disease,KG07,288.573812
2014,Talas,Female,Non-communicable disease: Cardiovascular disease,KG07,294.987675
2015,Talas,Female,Non-communicable disease: Cardiovascular disease,KG07,294.736842
2016,Talas,Female,Non-communicable disease: Cardiovascular disease,KG07,273.743017
2017,Talas,Female,Non-communicable disease: Cardiovascular disease,KG07,274.371069
2018,Talas,Female,Non-communicable disease: Cardiovascular disease,KG07,239.93808
2019,Talas,Female,Non-communicable disease: Cardiovascular disease,KG07,265.243902
2020,Talas,Female,Non-communicable disease: Cardiovascular disease,KG07,308.0
2021,Talas,Female,Non-communicable disease: Cardiovascular disease,KG07,333.8
2007,Chui,,Non-communicable disease: Cardiovascular disease,KG08,548.299655
2008,Chui,,Non-communicable disease: Cardiovascular disease,KG08,539.513863
2009,Chui,,Non-communicable disease: Cardiovascular disease,KG08,464.780253
2010,Chui,,Non-communicable disease: Cardiovascular disease,KG08,483.982257
2011,Chui,,Non-communicable disease: Cardiovascular disease,KG08,466.959814
2012,Chui,,Non-communicable disease: Cardiovascular disease,KG08,466.947622
2013,Chui,,Non-communicable disease: Cardiovascular disease,KG08,441.607565
2014,Chui,,Non-communicable disease: Cardiovascular disease,KG08,430.162413
2015,Chui,,Non-communicable disease: Cardiovascular disease,KG08,400.841962
2016,Chui,,Non-communicable disease: Cardiovascular disease,KG08,381.345532
2017,Chui,,Non-communicable disease: Cardiovascular disease,KG08,377.668309
2018,Chui,,Non-communicable disease: Cardiovascular disease,KG08,377.066781
2019,Chui,,Non-communicable disease: Cardiovascular disease,KG08,360.757496
2020,Chui,,Non-communicable disease: Cardiovascular disease,KG08,405.5
2021,Chui,,Non-communicable disease: Cardiovascular disease,KG08,391.1
2007,Chui,Male,Non-communicable disease: Cardiovascular disease,KG08,539.869609
2008,Chui,Male,Non-communicable disease: Cardiovascular disease,KG08,517.515528
2009,Chui,Male,Non-communicable disease: Cardiovascular disease,KG08,462.686567
2010,Chui,Male,Non-communicable disease: Cardiovascular disease,KG08,476.930792
2011,Chui,Male,Non-communicable disease: Cardiovascular disease,KG08,455.652174
2012,Chui,Male,Non-communicable disease: Cardiovascular disease,KG08,452.654759
2013,Chui,Male,Non-communicable disease: Cardiovascular disease,KG08,441.296519
2014,Chui,Male,Non-communicable disease: Cardiovascular disease,KG08,416.116871
2015,Chui,Male,Non-communicable disease: Cardiovascular disease,KG08,394.177449
2016,Chui,Male,Non-communicable disease: Cardiovascular disease,KG08,383.552333
2017,Chui,Male,Non-communicable disease: Cardiovascular disease,KG08,376.389506
2018,Chui,Male,Non-communicable disease: Cardiovascular disease,KG08,366.986481
2019,Chui,Male,Non-communicable disease: Cardiovascular disease,KG08,368.005126
2020,Chui,Male,Non-communicable disease: Cardiovascular disease,KG08,398.8
2021,Chui,Male,Non-communicable disease: Cardiovascular disease,KG08,400.7
2007,Chui,Female,Non-communicable disease: Cardiovascular disease,KG08,556.443798
2008,Chui,Female,Non-communicable disease: Cardiovascular disease,KG08,560.788083
2009,Chui,Female,Non-communicable disease: Cardiovascular disease,KG08,466.808914
2010,Chui,Female,Non-communicable disease: Cardiovascular disease,KG08,490.794574
2011,Chui,Female,Non-communicable disease: Cardiovascular disease,KG08,477.895243
2012,Chui,Female,Non-communicable disease: Cardiovascular disease,KG08,480.796586
2013,Chui,Female,Non-communicable disease: Cardiovascular disease,KG08,441.909197
2014,Chui,Female,Non-communicable disease: Cardiovascular disease,KG08,443.784278
2015,Chui,Female,Non-communicable disease: Cardiovascular disease,KG08,407.307779
2016,Chui,Female,Non-communicable disease: Cardiovascular disease,KG08,379.204221
2017,Chui,Female,Non-communicable disease: Cardiovascular disease,KG08,378.908777
2018,Chui,Female,Non-communicable disease: Cardiovascular disease,KG08,386.844332
2019,Chui,Female,Non-communicable disease: Cardiovascular disease,KG08,353.72175
2020,Chui,Female,Non-communicable disease: Cardiovascular disease,KG08,412.5
2021,Chui,Female,Non-communicable disease: Cardiovascular disease,KG08,381.9
2007,Bishkek (city),,Non-communicable disease: Cardiovascular disease,KG11,353.534169
2008,Bishkek (city),,Non-communicable disease: Cardiovascular disease,KG11,321.877523
2009,Bishkek (city),,Non-communicable disease: Cardiovascular disease,KG11,288.411532
2010,Bishkek (city),,Non-communicable disease: Cardiovascular disease,KG11,298.32376
2011,Bishkek (city),,Non-communicable disease: Cardiovascular disease,KG11,305.385769
2012,Bishkek (city),,Non-communicable disease: Cardiovascular disease,KG11,297.003957
2013,Bishkek (city),,Non-communicable disease: Cardiovascular disease,KG11,269.583471
2014,Bishkek (city),,Non-communicable disease: Cardiovascular disease,KG11,272.638964
