Year,Series,Reference area,Value
2017,SH_ACS_PCV3,Osh,97.2
2018,SH_ACS_PCV3,Osh,92.1
2019,SH_ACS_PCV3,Osh,98.41451
2015,SH_ACS_PCV3,Talas,97.2
2016,SH_ACS_PCV3,Talas,96.1
2017,SH_ACS_PCV3,Talas,94.0
2018,SH_ACS_PCV3,Talas,96.0
2019,SH_ACS_PCV3,Talas,94.297841
2015,SH_ACS_PCV3,Chui,97.6
2016,SH_ACS_PCV3,Chui,98.7
2017,SH_ACS_PCV3,Chui,92.6
2018,SH_ACS_PCV3,Chui,92.1
2019,SH_ACS_PCV3,Chui,94.916128
2015,SH_ACS_PCV3,Bishkek (city),95.0
2016,SH_ACS_PCV3,Bishkek (city),94.8
2017,SH_ACS_PCV3,Bishkek (city),90.4
2018,SH_ACS_PCV3,Bishkek (city),83.4
2019,SH_ACS_PCV3,Bishkek (city),93.823491
2015,SH_ACS_PCV3,Osh (city),97.9
2016,SH_ACS_PCV3,Osh (city),96.8
2017,SH_ACS_PCV3,Osh (city),90.0
2018,SH_ACS_PCV3,Osh (city),93.9
2019,SH_ACS_PCV3,Osh (city),95.896254
