Year,Территория,Пол,Возраст,Value
2009,Баткенская область,Женщины,,31.3
2010,Баткенская область,Женщины,,31.9
2011,Баткенская область,Женщины,,34.2
2012,Баткенская область,Женщины,,34.6
2013,Баткенская область,Женщины,,53.6
2014,Баткенская область,Женщины,,39
2015,Баткенская область,Женщины,,40.9
2016,Баткенская область,Женщины,,36.1
2017,Баткенская область,Женщины,,39.6
2018,Баткенская область,Женщины,,33.7
2007,Баткенская область,Мужчины,,39.4
2008,Баткенская область,Мужчины,,18.8
2009,Баткенская область,Мужчины,,31.7
2010,Баткенская область,Мужчины,,35.6
2011,Баткенская область,Мужчины,,37.3
2012,Баткенская область,Мужчины,,33.8
2013,Баткенская область,Мужчины,,54.1
2014,Баткенская область,Мужчины,,42.4
2015,Баткенская область,Мужчины,,41.4
2016,Баткенская область,Мужчины,,38
2017,Баткенская область,Мужчины,,41.5
2018,Баткенская область,Мужчины,,33.9
2007,Джалал Абадская область,,,53
2008,Джалал Абадская область,,,40.1
2009,Джалал Абадская область,,,36.9
2010,Джалал Абадская область,,,44.7
2011,Джалал Абадская область,,,45.3
2012,Джалал Абадская область,,,55.7
2013,Джалал Абадская область,,,46.4
2014,Джалал Абадская область,,,46.4
2015,Джалал Абадская область,,,45.1
2016,Джалал Абадская область,,,32.2
2017,Джалал Абадская область,,,32.6
2018,Джалал Абадская область,,,32.2
2007,Джалал Абадская область,Женщины,,51.6
2008,Джалал Абадская область,Женщины,,37.9
2009,Джалал Абадская область,Женщины,,33.5
2010,Джалал Абадская область,Женщины,,43.7
2011,Джалал Абадская область,Женщины,,43.7
2012,Джалал Абадская область,Женщины,,55.3
2013,Джалал Абадская область,Женщины,,47.4
2014,Джалал Абадская область,Женщины,,47
2015,Джалал Абадская область,Женщины,,45.2
2016,Джалал Абадская область,Женщины,,33.1
2017,Джалал Абадская область,Женщины,,34
2018,Джалал Абадская область,Женщины,,33.4
2007,Джалал Абадская область,Мужчины,,54.6
2008,Джалал Абадская область,Мужчины,,42.4
2009,Джалал Абадская область,Мужчины,,40.5
2010,Джалал Абадская область,Мужчины,,45.8
2011,Джалал Абадская область,Мужчины,,46.9
2012,Джалал Абадская область,Мужчины,,56.1
2013,Джалал Абадская область,Мужчины,,45.5
2014,Джалал Абадская область,Мужчины,,45.8
2015,Джалал Абадская область,Мужчины,,44.9
2016,Джалал Абадская область,Мужчины,,31.4
2017,Джалал Абадская область,Мужчины,,31.1
2018,Джалал Абадская область,Мужчины,,30.9
2007,Иссык Кульская область,,,38.6
2008,Иссык Кульская область,,,52.2
2009,Иссык Кульская область,,,46.1
2010,Иссык Кульская область,,,38
2011,Иссык Кульская область,,,29.5
2012,Иссык Кульская область,,,28.1
2013,Иссык Кульская область,,,39.5
2014,Иссык Кульская область,,,26
2015,Иссык Кульская область,,,28.9
2016,Иссык Кульская область,,,24.7
2017,Иссык Кульская область,,,24.2
2018,Иссык Кульская область,,,21.5
2007,Иссык Кульская область,Женщины,,38.7
2008,Иссык Кульская область,Женщины,,52.2
2009,Иссык Кульская область,Женщины,,47.9
2010,Иссык Кульская область,Женщины,,36.9
2011,Иссык Кульская область,Женщины,,31.1
2012,Иссык Кульская область,Женщины,,28.2
2013,Иссык Кульская область,Женщины,,40.4
2014,Иссык Кульская область,Женщины,,26.4
2015,Иссык Кульская область,Женщины,,29.1
2016,Иссык Кульская область,Женщины,,24.7
2017,Иссык Кульская область,Женщины,,24.3
2018,Иссык Кульская область,Женщины,,21.5
2007,Иссык Кульская область,Мужчины,,38.5
2008,Иссык Кульская область,Мужчины,,52.3
2009,Иссык Кульская область,Мужчины,,44.5
2010,Иссык Кульская область,Мужчины,,39
2011,Иссык Кульская область,Мужчины,,28.1
2012,Иссык Кульская область,Мужчины,,28
2013,Иссык Кульская область,Мужчины,,38.5
2014,Иссык Кульская область,Мужчины,,25.7
2015,Иссык Кульская область,Мужчины,,28.7
2016,Иссык Кульская область,Мужчины,,24.7
2017,Иссык Кульская область,Мужчины,,24.1
2018,Иссык Кульская область,Мужчины,,21.6
2007,Нарынская область,,,45.2
2008,Нарынская область,,,42.7
2009,Нарынская область,,,44.1
2010,Нарынская область,,,53.5
2011,Нарынская область,,,49.9
2012,Нарынская область,,,39.9
2013,Нарынская область,,,43.8
2014,Нарынская область,,,30.6
2015,Нарынская область,,,38
2016,Нарынская область,,,37.8
2017,Нарынская область,,,29.2
2018,Нарынская область,,,30.6
2007,Нарынская область,Женщины,,46.9
2008,Нарынская область,Женщины,,42.7
2009,Нарынская область,Женщины,,44.8
2010,Нарынская область,Женщины,,53.4
2011,Нарынская область,Женщины,,48.3
2012,Нарынская область,Женщины,,37.7
2013,Нарынская область,Женщины,,44.8
2014,Нарынская область,Женщины,,32.4
2015,Нарынская область,Женщины,,39.5
2016,Нарынская область,Женщины,,39.6
2017,Нарынская область,Женщины,,31.2
2018,Нарынская область,Женщины,,31.6
2007,Нарынская область,Мужчины,,43.7
2008,Нарынская область,Мужчины,,42.8
2009,Нарынская область,Мужчины,,43.5
2010,Нарынская область,Мужчины,,53.7
2011,Нарынская область,Мужчины,,51.7
2012,Нарынская область,Мужчины,,42.4
2013,Нарынская область,Мужчины,,42.7
2014,Нарынская область,Мужчины,,28.6
2015,Нарынская область,Мужчины,,36.4
2016,Нарынская область,Мужчины,,35.9
2017,Нарынская область,Мужчины,,27.1
2018,Нарынская область,Мужчины,,29.5
2007,Ошская область,,,46.6
2008,Ошская область,,,37.5
2009,Ошская область,,,38.3
2010,Ошская область,,,41.9
2011,Ошская область,,,44.7
2012,Ошская область,,,51.4
2013,Ошская область,,,43.4
2014,Ошская область,,,31.7
2015,Ошская область,,,28.9
2016,Ошская область,,,22
2017,Ошская область,,,14.3
2018,Ошская область,,,14.8
2007,Ошская область,Женщины,,48.7
2008,Ошская область,Женщины,,37.9
2009,Ошская область,Женщины,,38.3
2010,Ошская область,Женщины,,40.6
2011,Ошская область,Женщины,,44.2
2012,Ошская область,Женщины,,50.6
2013,Ошская область,Женщины,,42.7
2014,Ошская область,Женщины,,30.5
2015,Ошская область,Женщины,,28.4
2016,Ошская область,Женщины,,21.8
2017,Ошская область,Женщины,,12.9
2018,Ошская область,Женщины,,15.3
2007,Ошская область,Мужчины,,44.3
2008,Ошская область,Мужчины,,36.9
2009,Ошская область,Мужчины,,38.2
2010,Ошская область,Мужчины,,43.2
2011,Ошская область,Мужчины,,45.2
2012,Ошская область,Мужчины,,52.4
2013,Ошская область,Мужчины,,44.2
2014,Ошская область,Мужчины,,33.1
2015,Ошская область,Мужчины,,29.5
2016,Ошская область,Мужчины,,22.3
2017,Ошская область,Мужчины,,15.7
2018,Ошская область,Мужчины,,14.3
2007,Таласская область,,,35.3
2008,Таласская область,,,43
2009,Таласская область,,,33
2010,Таласская область,,,42.3
2011,Таласская область,,,50.2
2012,Таласская область,,,39.6
2013,Таласская область,,,23.1
2014,Таласская область,,,19
2015,Таласская область,,,21.5
2016,Таласская область,,,18.1
2017,Таласская область,,,20.7
2018,Таласская область,,,22.1
2007,Таласская область,Женщины,,35.5
2008,Таласская область,Женщины,,45.4
2009,Таласская область,Женщины,,35.7
2010,Таласская область,Женщины,,44.3
2011,Таласская область,Женщины,,51.4
2012,Таласская область,Женщины,,42.2
2013,Таласская область,Женщины,,23.3
2014,Таласская область,Женщины,,19.7
2015,Таласская область,Женщины,,22.6
2016,Таласская область,Женщины,,19.1
2017,Таласская область,Женщины,,21.4
2018,Таласская область,Женщины,,23.8
2007,Таласская область,Мужчины,,34.9
2008,Таласская область,Мужчины,,40
2009,Таласская область,Мужчины,,29.8
2010,Таласская область,Мужчины,,40.1
2011,Таласская область,Мужчины,,48.8
2012,Таласская область,Мужчины,,36.7
2013,Таласская область,Мужчины,,22.8
2014,Таласская область,Мужчины,,18.4
2015,Таласская область,Мужчины,,20.4
2016,Таласская область,Мужчины,,17.1
2017,Таласская область,Мужчины,,19.9
2018,Таласская область,Мужчины,,20.3
2007,Чуйская область,,,15
2008,Чуйская область,,,15.8
2009,Чуйская область,,,21.2
2010,Чуйская область,,,21.9
2011,Чуйская область,,,28.6
2012,Чуйская область,,,16.6
2013,Чуйская область,,,23.6
2014,Чуйская область,,,21.6
2015,Чуйская область,,,24.8
2016,Чуйская область,,,30.3
2017,Чуйская область,,,33.3
2018,Чуйская область,,,15.6
2007,Чуйская область,Женщины,,13.3
2008,Чуйская область,Женщины,,14.9
2009,Чуйская область,Женщины,,20.6
2010,Чуйская область,Женщины,,21.8
2011,Чуйская область,Женщины,,31.6
2012,Чуйская область,Женщины,,16.3
2013,Чуйская область,Женщины,,23.5
2014,Чуйская область,Женщины,,20.8
2015,Чуйская область,Женщины,,24.2
2016,Чуйская область,Женщины,,29.8
2017,Чуйская область,Женщины,,32.3
2018,Чуйская область,Женщины,,15.5
2007,Чуйская область,Мужчины,,16.8
2008,Чуйская область,Мужчины,,16.7
2009,Чуйская область,Мужчины,,21.9
2010,Чуйская область,Мужчины,,21.9
2011,Чуйская область,Мужчины,,25.3
2012,Чуйская область,Мужчины,,16.8
2013,Чуйская область,Мужчины,,23.7
2014,Чуйская область,Мужчины,,22.4
2015,Чуйская область,Мужчины,,25.4
2016,Чуйская область,Мужчины,,30.9
2017,Чуйская область,Мужчины,,34.4
2018,Чуйская область,Мужчины,,15.7
2007,г. Бишкек,,,5
2008,г. Бишкек,,,15.2
2009,г. Бишкек,,,13.2
2010,г. Бишкек,,,7.9
2011,г. Бишкек,,,18.4
2012,г. Бишкек,,,21.4
2013,г. Бишкек,,,20.4
2014,г. Бишкек,,,17.6
2015,г. Бишкек,,,23.5
2016,г. Бишкек,,,9.8
2017,г. Бишкек,,,15.9
2018,г. Бишкек,,,15.4
2007,г. Бишкек,Женщины,,5
2008,г. Бишкек,Женщины,,14.6
2009,г. Бишкек,Женщины,,12.7
2010,г. Бишкек,Женщины,,7.3
2011,г. Бишкек,Женщины,,17.1
2012,г. Бишкек,Женщины,,19.9
2013,г. Бишкек,Женщины,,18.4
2014,г. Бишкек,Женщины,,15.8
2015,г. Бишкек,Женщины,,22.2
2016,г. Бишкек,Женщины,,8.9
2017,г. Бишкек,Женщины,,14.3
2018,г. Бишкек,Женщины,,14.7
2007,г. Бишкек,Мужчины,,5
2008,г. Бишкек,Мужчины,,16
2009,г. Бишкек,Мужчины,,14
2010,г. Бишкек,Мужчины,,8.7
2011,г. Бишкек,Мужчины,,20
2012,г. Бишкек,Мужчины,,23.3
2013,г. Бишкек,Мужчины,,22.8
2014,г. Бишкек,Мужчины,,19.9
2015,г. Бишкек,Мужчины,,25.2
2016,г. Бишкек,Мужчины,,10.9
2017,г. Бишкек,Мужчины,,17.9
2018,г. Бишкек,Мужчины,,16.3
2007,г. Ош,,,0
2008,г. Ош,,,0
2009,г. Ош,,,0
2010,г. Ош,,,0
2011,г. Ош,,,0
2012,г. Ош,,,0
2013,г. Ош,,,40.9
2014,г. Ош,,,33.4
2015,г. Ош,,,38.3
2016,г. Ош,,,24.6
2017,г. Ош,,,33.5
2018,г. Ош,,,35.5
2007,г. Ош,Женщины,,0
2008,г. Ош,Женщины,,0
2009,г. Ош,Женщины,,0
2010,г. Ош,Женщины,,0
2011,г. Ош,Женщины,,0
2012,г. Ош,Женщины,,0
2013,г. Ош,Женщины,,40.2
2014,г. Ош,Женщины,,32
2015,г. Ош,Женщины,,35.8
2016,г. Ош,Женщины,,23.2
2017,г. Ош,Женщины,,30.9
2018,г. Ош,Женщины,,33.9
2007,г. Ош,Мужчины,,0
2008,г. Ош,Мужчины,,0
2009,г. Ош,Мужчины,,0
2010,г. Ош,Мужчины,,0
2011,г. Ош,Мужчины,,0
2012,г. Ош,Мужчины,,0
2013,г. Ош,Мужчины,,41.6
2014,г. Ош,Мужчины,,35
2015,г. Ош,Мужчины,,41
2016,г. Ош,Мужчины,,26.2
2017,г. Ош,Мужчины,,36.4
2018,г. Ош,Мужчины,,37.3
