Year,Observation status,Area,Unit measure,Unit multiplier,Value
2015,Normal value,Naryn,Local currency,Units,27.8
2016,Normal value,Naryn,Local currency,Units,22.3
2017,Normal value,Naryn,Local currency,Units,12.8
2018,Normal value,Naryn,Local currency,Units,1.4
2007,Normal value,Osh,Percent,Units,0.042933
2008,Normal value,Osh,Percent,Units,5.639406
2009,Normal value,Osh,Percent,Units,0.057255
2010,Normal value,Osh,Percent,Units,0.198522
2011,Normal value,Osh,Percent,Units,0.369869
2012,Normal value,Osh,Percent,Units,0.17834
2013,Normal value,Osh,Percent,Units,0.010609
2014,Normal value,Osh,Percent,Units,0.00357
2015,Normal value,Osh,Percent,Units,4.302561
2016,Normal value,Osh,Percent,Units,0.049422
2017,Normal value,Osh,Percent,Units,0.702855
2007,Normal value,Osh,Local currency,Units,6.3
2008,Normal value,Osh,Local currency,Units,1024.9
2009,Normal value,Osh,Local currency,Units,10.9
2010,Normal value,Osh,Local currency,Units,40.5
2011,Normal value,Osh,Local currency,Units,105.0
2012,Normal value,Osh,Local currency,Units,48.1
2013,Normal value,Osh,Local currency,Units,2.9
2014,Normal value,Osh,Local currency,Units,1.1
2015,Normal value,Osh,Local currency,Units,1364.2
2016,Normal value,Osh,Local currency,Units,16.2
2017,Normal value,Osh,Local currency,Units,261.8
2018,Normal value,Osh,Local currency,Units,12.4
2007,Normal value,Talas,Percent,Units,0.210978
2008,Normal value,Talas,Percent,Units,0.051951
2009,Normal value,Talas,Percent,Units,0.405354
2010,Normal value,Talas,Percent,Units,0.29974
2011,Normal value,Talas,Percent,Units,0.045177
2012,Normal value,Talas,Percent,Units,0.518047
2013,Normal value,Talas,Percent,Units,0.05949
2014,Normal value,Talas,Percent,Units,0.008098
2015,Normal value,Talas,Percent,Units,0.061365
2016,Normal value,Talas,Percent,Units,0.517318
2017,Normal value,Talas,Percent,Units,0.092032
2007,Normal value,Talas,Local currency,Units,12.3
2008,Normal value,Talas,Local currency,Units,4.4
2009,Normal value,Talas,Local currency,Units,24.5
2010,Normal value,Talas,Local currency,Units,22.0
2011,Normal value,Talas,Local currency,Units,3.0
2012,Normal value,Talas,Local currency,Units,49.0
2013,Normal value,Talas,Local currency,Units,6.6
2014,Normal value,Talas,Local currency,Units,1.1
2015,Normal value,Talas,Local currency,Units,8.9
2016,Normal value,Talas,Local currency,Units,76.1
2017,Normal value,Talas,Local currency,Units,14.7
2018,Normal value,Talas,Local currency,Units,0.7
2007,Normal value,Chui,Percent,Units,0.035582
2010,Normal value,Chui,Percent,Units,0.005701
2011,Normal value,Chui,Percent,Units,0.01326
2012,Normal value,Chui,Percent,Units,0.004035
2013,Normal value,Chui,Percent,Units,0.029168
2014,Normal value,Chui,Percent,Units,0.033948
2015,Normal value,Chui,Percent,Units,0.033197
2016,Normal value,Chui,Percent,Units,0.118862
2017,Normal value,Chui,Percent,Units,0.234678
2007,Normal value,Chui,Local currency,Units,8.4
2010,Normal value,Chui,Local currency,Units,1.7
2011,Normal value,Chui,Local currency,Units,5.6
2012,Normal value,Chui,Local currency,Units,1.7
2013,Normal value,Chui,Local currency,Units,14.1
2014,Normal value,Chui,Local currency,Units,20.0
2015,Normal value,Chui,Local currency,Units,24.4
2016,Normal value,Chui,Local currency,Units,93.2
2017,Normal value,Chui,Local currency,Units,207.5
2018,Normal value,Chui,Local currency,Units,6.1
2007,Normal value,Bishkek (city),Percent,Units,0.063779
2008,Normal value,Bishkek (city),Percent,Units,0.060758
2013,Normal value,Bishkek (city),Percent,Units,0.00051
2015,Normal value,Bishkek (city),Percent,Units,0.028178
2016,Normal value,Bishkek (city),Percent,Units,0.047988
2017,Normal value,Bishkek (city),Percent,Units,0.006461
2007,Normal value,Bishkek (city),Local currency,Units,32.2
2008,Normal value,Bishkek (city),Local currency,Units,41.5
2013,Normal value,Bishkek (city),Local currency,Units,0.7
2015,Normal value,Bishkek (city),Local currency,Units,44.7
2016,Normal value,Bishkek (city),Local currency,Units,86.8
2017,Normal value,Bishkek (city),Local currency,Units,129.8
2018,Normal value,Bishkek (city),Local currency,Units,856.9
2007,Normal value,Osh (city),Percent,Units,0.01574
2008,Normal value,Osh (city),Percent,Units,0.003371
2012,Normal value,Osh (city),Percent,Units,0.006958
2013,Normal value,Osh (city),Percent,Units,0.034602
2015,Normal value,Osh (city),Percent,Units,0.61872
2016,Normal value,Osh (city),Percent,Units,0.001192
2017,Normal value,Osh (city),Percent,Units,0.202023
2007,Normal value,Osh (city),Local currency,Units,0.7
2008,Normal value,Osh (city),Local currency,Units,0.2
2012,Normal value,Osh (city),Local currency,Units,1.1
2013,Normal value,Osh (city),Local currency,Units,6.3
2015,Normal value,Osh (city),Local currency,Units,139.1
2016,Normal value,Osh (city),Local currency,Units,0.3
2017,Normal value,Osh (city),Local currency,Units,61.5
