Year,Показатель,Территория,Местность,Пол,Возраст,Value
2015,Доля населения с потреблением ниже 50% медианного значения,Кыргызская Республика,,,Молодежь в возрасте 14- 28 лет,1.5
2016,Доля населения с потреблением ниже 50% медианного значения,Кыргызская Республика,,,Молодежь в возрасте 14- 28 лет,2.8
2017,Доля населения с потреблением ниже 50% медианного значения,Кыргызская Республика,,,Молодежь в возрасте 14- 28 лет,2.8
2018,Доля населения с потреблением ниже 50% медианного значения,Кыргызская Республика,,,Молодежь в возрасте 14- 28 лет,3.3
2015,Доля населения с потреблением ниже 50% медианного значения,Кыргызская Республика,,,"Население трудоспособного возраста (женщины 16-57 лет, мужчины 16-62 лет)",1.8
2016,Доля населения с потреблением ниже 50% медианного значения,Кыргызская Республика,,,"Население трудоспособного возраста (женщины 16-57 лет, мужчины 16-62 лет)",2.9
2017,Доля населения с потреблением ниже 50% медианного значения,Кыргызская Республика,,,"Население трудоспособного возраста (женщины 16-57 лет, мужчины 16-62 лет)",2.9
2018,Доля населения с потреблением ниже 50% медианного значения,Кыргызская Республика,,,"Население трудоспособного возраста (женщины 16-57 лет, мужчины 16-62 лет)",3.1
2015,Доля населения с потреблением ниже 50% медианного значения,Кыргызская Республика,,,"Население старше трудоспособного возраста (женщины 58 лет и старше, мужчины 63 лет и старше)",1.7
2016,Доля населения с потреблением ниже 50% медианного значения,Кыргызская Республика,,,"Население старше трудоспособного возраста (женщины 58 лет и старше, мужчины 63 лет и старше)",2.6
2017,Доля населения с потреблением ниже 50% медианного значения,Кыргызская Республика,,,"Население старше трудоспособного возраста (женщины 58 лет и старше, мужчины 63 лет и старше)",2.7
2018,Доля населения с потреблением ниже 50% медианного значения,Кыргызская Республика,,,"Население старше трудоспособного возраста (женщины 58 лет и старше, мужчины 63 лет и старше)",2.6
2015,Доля населения с потреблением ниже 50% медианного значения,Баткенская область,,,,0
2016,Доля населения с потреблением ниже 50% медианного значения,Баткенская область,,,,3
2017,Доля населения с потреблением ниже 50% медианного значения,Баткенская область,,,,7.4
2018,Доля населения с потреблением ниже 50% медианного значения,Баткенская область,,,,8.5
2015,Доля населения с потреблением ниже 50% медианного значения,Джалал-Абадская область,,,,0
2016,Доля населения с потреблением ниже 50% медианного значения,Джалал-Абадская область,,,,1.3
2017,Доля населения с потреблением ниже 50% медианного значения,Джалал-Абадская область,,,,1.3
2018,Доля населения с потреблением ниже 50% медианного значения,Джалал-Абадская область,,,,3.4
2015,Доля населения с потреблением ниже 50% медианного значения,Иссык-Кульская область,,,,0
2016,Доля населения с потреблением ниже 50% медианного значения,Иссык-Кульская область,,,,1.8
2017,Доля населения с потреблением ниже 50% медианного значения,Иссык-Кульская область,,,,3.3
2018,Доля населения с потреблением ниже 50% медианного значения,Иссык-Кульская область,,,,3.9
2015,Доля населения с потреблением ниже 50% медианного значения,Нарынская область,,,,0
2016,Доля населения с потреблением ниже 50% медианного значения,Нарынская область,,,,5.6
2017,Доля населения с потреблением ниже 50% медианного значения,Нарынская область,,,,5.3
2018,Доля населения с потреблением ниже 50% медианного значения,Нарынская область,,,,6.5
2015,Доля населения с потреблением ниже 50% медианного значения,Ошская область,,,,0
2016,Доля населения с потреблением ниже 50% медианного значения,Ошская область,,,,2
2017,Доля населения с потреблением ниже 50% медианного значения,Ошская область,,,,0.6
2018,Доля населения с потреблением ниже 50% медианного значения,Ошская область,,,,0.7
2015,Доля населения с потреблением ниже 50% медианного значения,Таласская область,,,,0
2016,Доля населения с потреблением ниже 50% медианного значения,Таласская область,,,,0.6
2017,Доля населения с потреблением ниже 50% медианного значения,Таласская область,,,,0.6
2018,Доля населения с потреблением ниже 50% медианного значения,Таласская область,,,,2.4
2015,Доля населения с потреблением ниже 50% медианного значения,Чуйская область,,,,0
2016,Доля населения с потреблением ниже 50% медианного значения,Чуйская область,,,,6.2
2017,Доля населения с потреблением ниже 50% медианного значения,Чуйская область,,,,5.1
2018,Доля населения с потреблением ниже 50% медианного значения,Чуйская область,,,,1.6
2015,Доля населения с потреблением ниже 50% медианного значения,г. Бишкек,,,,0
2016,Доля населения с потреблением ниже 50% медианного значения,г. Бишкек,,,,0
2017,Доля населения с потреблением ниже 50% медианного значения,г. Бишкек,,,,0.7
2018,Доля населения с потреблением ниже 50% медианного значения,г. Бишкек,,,,0.6
2015,Доля населения с потреблением ниже 50% медианного значения,г. Ош,,,,0
2016,Доля населения с потреблением ниже 50% медианного значения,г. Ош,,,,0
2017,Доля населения с потреблением ниже 50% медианного значения,г. Ош,,,,1.2
2018,Доля населения с потреблением ниже 50% медианного значения,г. Ош,,,,2.5
