DATAFLOW,FREQ,REPORTING_TYPE,SERIES,REF_AREA,SEX,AGE,URBANISATION,INCOME_WEALTH_QUANTILE,EDUCATION_LEV,OCCUPATION,CUST_BREAKDOWN,COMPOSITE_BREAKDOWN,DISABILITY_STATUS,ACTIVITY,PRODUCT,TIME_PERIOD,OBS_VALUE,OBS_STATUS,UNIT_MULT,UNIT_MEASURE,BASE_PER,NATURE,TIME_DETAIL,COMMENT_OBS,TIME_COVERAGE,UPPER_BOUND,LOWER_BOUND,SOURCE_DETAIL,COMMENT_TS,GEO_INFO_URL,GEO_INFO_TYPE,CUST_BREAKDOWN_LB,DATA_LAST_UPDATE
IAEG-SDGs:DF_SDG_GLH(1.21),A,G,DC_ODA_POVLG,417,_T,_T,_T,_T,_T,_T,_T,_T,_T,_T,_T,2010,0.535131,A,0,PT,,C,2010,"Gross disbursements, Based on OECD, CRS database, 2025, Current USD million, As percentage of GNI",,,,The Organisation for Economic Co-operation and Development (OECD).,,,,,2025-05-19T00:00:00
IAEG-SDGs:DF_SDG_GLH(1.21),A,G,DC_ODA_POVLG,417,_T,_T,_T,_T,_T,_T,_T,_T,_T,_T,_T,2011,0.940102,A,0,PT,,C,2011,"Gross disbursements, Based on OECD, CRS database, 2025, Current USD million, As percentage of GNI",,,,The Organisation for Economic Co-operation and Development (OECD).,,,,,2025-05-19T00:00:00
IAEG-SDGs:DF_SDG_GLH(1.21),A,G,DC_ODA_POVLG,417,_T,_T,_T,_T,_T,_T,_T,_T,_T,_T,_T,2012,0.599343,A,0,PT,,C,2012,"Gross disbursements, Based on OECD, CRS database, 2025, Current USD million, As percentage of GNI",,,,The Organisation for Economic Co-operation and Development (OECD).,,,,,2025-05-19T00:00:00
IAEG-SDGs:DF_SDG_GLH(1.21),A,G,DC_ODA_POVLG,417,_T,_T,_T,_T,_T,_T,_T,_T,_T,_T,_T,2013,0.441421,A,0,PT,,C,2013,"Gross disbursements, Based on OECD, CRS database, 2025, Current USD million, As percentage of GNI",,,,The Organisation for Economic Co-operation and Development (OECD).,,,,,2025-05-19T00:00:00
IAEG-SDGs:DF_SDG_GLH(1.21),A,G,DC_ODA_POVLG,417,_T,_T,_T,_T,_T,_T,_T,_T,_T,_T,_T,2014,0.649072,A,0,PT,,C,2014,"Gross disbursements, Based on OECD, CRS database, 2025, Current USD million, As percentage of GNI",,,,The Organisation for Economic Co-operation and Development (OECD).,,,,,2025-05-19T00:00:00
IAEG-SDGs:DF_SDG_GLH(1.21),A,G,DC_ODA_POVLG,417,_T,_T,_T,_T,_T,_T,_T,_T,_T,_T,_T,2015,0.564016,A,0,PT,,C,2015,"Gross disbursements, Based on OECD, CRS database, 2025, Current USD million, As percentage of GNI",,,,The Organisation for Economic Co-operation and Development (OECD).,,,,,2025-05-19T00:00:00
IAEG-SDGs:DF_SDG_GLH(1.21),A,G,DC_ODA_POVLG,417,_T,_T,_T,_T,_T,_T,_T,_T,_T,_T,_T,2016,0.768513,A,0,PT,,C,2016,"Gross disbursements, Based on OECD, CRS database, 2025, Current USD million, As percentage of GNI",,,,The Organisation for Economic Co-operation and Development (OECD).,,,,,2025-05-19T00:00:00
IAEG-SDGs:DF_SDG_GLH(1.21),A,G,DC_ODA_POVLG,417,_T,_T,_T,_T,_T,_T,_T,_T,_T,_T,_T,2017,0.640139,A,0,PT,,C,2017,"Gross disbursements, Based on OECD, CRS database, 2025, Current USD million, As percentage of GNI",,,,The Organisation for Economic Co-operation and Development (OECD).,,,,,2025-05-19T00:00:00
IAEG-SDGs:DF_SDG_GLH(1.21),A,G,DC_ODA_POVLG,417,_T,_T,_T,_T,_T,_T,_T,_T,_T,_T,_T,2018,0.518192,A,0,PT,,C,2018,"Gross disbursements, Based on OECD, CRS database, 2025, Current USD million, As percentage of GNI",,,,The Organisation for Economic Co-operation and Development (OECD).,,,,,2025-05-19T00:00:00
IAEG-SDGs:DF_SDG_GLH(1.21),A,G,DC_ODA_POVLG,417,_T,_T,_T,_T,_T,_T,_T,_T,_T,_T,_T,2019,0.533691,A,0,PT,,C,2019,"Gross disbursements, Based on OECD, CRS database, 2025, Current USD million, As percentage of GNI",,,,The Organisation for Economic Co-operation and Development (OECD).,,,,,2025-05-19T00:00:00
IAEG-SDGs:DF_SDG_GLH(1.21),A,G,DC_ODA_POVLG,417,_T,_T,_T,_T,_T,_T,_T,_T,_T,_T,_T,2020,0.591846,A,0,PT,,C,2020,"Gross disbursements, Based on OECD, CRS database, 2025, Current USD million, As percentage of GNI",,,,The Organisation for Economic Co-operation and Development (OECD).,,,,,2025-05-19T00:00:00
IAEG-SDGs:DF_SDG_GLH(1.21),A,G,DC_ODA_POVLG,417,_T,_T,_T,_T,_T,_T,_T,_T,_T,_T,_T,2021,0.723513,A,0,PT,,C,2021,"Gross disbursements, Based on OECD, CRS database, 2025, Current USD million, As percentage of GNI",,,,The Organisation for Economic Co-operation and Development (OECD).,,,,,2025-05-19T00:00:00
IAEG-SDGs:DF_SDG_GLH(1.21),A,G,DC_ODA_POVLG,417,_T,_T,_T,_T,_T,_T,_T,_T,_T,_T,_T,2022,0.505988,A,0,PT,,C,2022,"Gross disbursements, Based on OECD, CRS database, 2025, Current USD million, As percentage of GNI",,,,The Organisation for Economic Co-operation and Development (OECD).,,,,,2025-05-19T00:00:00
IAEG-SDGs:DF_SDG_GLH(1.21),A,G,DC_ODA_POVLG,417,_T,_T,_T,_T,_T,_T,_T,_T,_T,_T,_T,2023,0.297352,A,0,PT,,C,2023,"Gross disbursements, Based on OECD, CRS database, 2025, Current USD million, As percentage of GNI",,,,The Organisation for Economic Co-operation and Development (OECD).,,,,,2025-05-19T00:00:00
