Year,Показатель,Территория,Value
2016,"Потери воды при транспортировке, млн. куб. метров",Ошская область,246.6
2017,"Потери воды при транспортировке, млн. куб. метров",Ошская область,299.4
2018,"Потери воды при транспортировке, млн. куб. метров",Ошская область,292.4
2010,"Потери воды при транспортировке, млн. куб. метров",Таласская область,228.9
2011,"Потери воды при транспортировке, млн. куб. метров",Таласская область,253.9
2012,"Потери воды при транспортировке, млн. куб. метров",Таласская область,263.7
2013,"Потери воды при транспортировке, млн. куб. метров",Таласская область,282.6
2014,"Потери воды при транспортировке, млн. куб. метров",Таласская область,257.8
2015,"Потери воды при транспортировке, млн. куб. метров",Таласская область,309.7
2016,"Потери воды при транспортировке, млн. куб. метров",Таласская область,294
2017,"Потери воды при транспортировке, млн. куб. метров",Таласская область,300.7
2018,"Потери воды при транспортировке, млн. куб. метров",Таласская область,299.1
2010,"Потери воды при транспортировке, млн. куб. метров",Чуйская область,627.5
2011,"Потери воды при транспортировке, млн. куб. метров",Чуйская область,717.2
2012,"Потери воды при транспортировке, млн. куб. метров",Чуйская область,836.3
2013,"Потери воды при транспортировке, млн. куб. метров",Чуйская область,774.1
2014,"Потери воды при транспортировке, млн. куб. метров",Чуйская область,764.2
2015,"Потери воды при транспортировке, млн. куб. метров",Чуйская область,856.3
2016,"Потери воды при транспортировке, млн. куб. метров",Чуйская область,614.8
2017,"Потери воды при транспортировке, млн. куб. метров",Чуйская область,804.6
2018,"Потери воды при транспортировке, млн. куб. метров",Чуйская область,786.3
2010,"Потери воды при транспортировке, млн. куб. метров",г. Бишкек,24.7
2011,"Потери воды при транспортировке, млн. куб. метров",г. Бишкек,25
2012,"Потери воды при транспортировке, млн. куб. метров",г. Бишкек,
2013,"Потери воды при транспортировке, млн. куб. метров",г. Бишкек,24.2
2014,"Потери воды при транспортировке, млн. куб. метров",г. Бишкек,24.9
2015,"Потери воды при транспортировке, млн. куб. метров",г. Бишкек,23.9
2016,"Потери воды при транспортировке, млн. куб. метров",г. Бишкек,23.8
2017,"Потери воды при транспортировке, млн. куб. метров",г. Бишкек,24.6
2018,"Потери воды при транспортировке, млн. куб. метров",г. Бишкек,25.3
2010,"Потери воды при транспортировке, млн. куб. метров",г. Ош,
2011,"Потери воды при транспортировке, млн. куб. метров",г. Ош,
2012,"Потери воды при транспортировке, млн. куб. метров",г. Ош,
2013,"Потери воды при транспортировке, млн. куб. метров",г. Ош,
2014,"Потери воды при транспортировке, млн. куб. метров",г. Ош,
2015,"Потери воды при транспортировке, млн. куб. метров",г. Ош,
2016,"Потери воды при транспортировке, млн. куб. метров",г. Ош,
2017,"Потери воды при транспортировке, млн. куб. метров",г. Ош,6.8
2018,"Потери воды при транспортировке, млн. куб. метров",г. Ош,6.8
2010,"Потери воды при транспортировке, в процентах к общему объему забора воды",,23.4
2011,"Потери воды при транспортировке, в процентах к общему объему забора воды",,21.7
2012,"Потери воды при транспортировке, в процентах к общему объему забора воды",,21.7
2013,"Потери воды при транспортировке, в процентах к общему объему забора воды",,22.5
2014,"Потери воды при транспортировке, в процентах к общему объему забора воды",,26.5
2015,"Потери воды при транспортировке, в процентах к общему объему забора воды",,27.6
2016,"Потери воды при транспортировке, в процентах к общему объему забора воды",,25.1
2017,"Потери воды при транспортировке, в процентах к общему объему забора воды",,27.8
2018,"Потери воды при транспортировке, в процентах к общему объему забора воды",,26.9
2010,"Потери воды при транспортировке, в процентах к общему объему забора воды",Баткенская область,20.1
2011,"Потери воды при транспортировке, в процентах к общему объему забора воды",Баткенская область,20.2
2012,"Потери воды при транспортировке, в процентах к общему объему забора воды",Баткенская область,9.6
2013,"Потери воды при транспортировке, в процентах к общему объему забора воды",Баткенская область,9.6
2014,"Потери воды при транспортировке, в процентах к общему объему забора воды",Баткенская область,7.9
2015,"Потери воды при транспортировке, в процентах к общему объему забора воды",Баткенская область,17.8
2016,"Потери воды при транспортировке, в процентах к общему объему забора воды",Баткенская область,17.7
2017,"Потери воды при транспортировке, в процентах к общему объему забора воды",Баткенская область,16.7
2018,"Потери воды при транспортировке, в процентах к общему объему забора воды",Баткенская область,15.6
2010,"Потери воды при транспортировке, в процентах к общему объему забора воды",Джалал-Абадская область,27.3
2011,"Потери воды при транспортировке, в процентах к общему объему забора воды",Джалал-Абадская область,18.3
2012,"Потери воды при транспортировке, в процентах к общему объему забора воды",Джалал-Абадская область,63
2013,"Потери воды при транспортировке, в процентах к общему объему забора воды",Джалал-Абадская область,63
2014,"Потери воды при транспортировке, в процентах к общему объему забора воды",Джалал-Абадская область,44.8
2015,"Потери воды при транспортировке, в процентах к общему объему забора воды",Джалал-Абадская область,21.1
2016,"Потери воды при транспортировке, в процентах к общему объему забора воды",Джалал-Абадская область,21.1
2017,"Потери воды при транспортировке, в процентах к общему объему забора воды",Джалал-Абадская область,22.9
2018,"Потери воды при транспортировке, в процентах к общему объему забора воды",Джалал-Абадская область,20.1
2010,"Потери воды при транспортировке, в процентах к общему объему забора воды",Иссык-Кульская область,29.7
2011,"Потери воды при транспортировке, в процентах к общему объему забора воды",Иссык-Кульская область,17.1
2012,"Потери воды при транспортировке, в процентах к общему объему забора воды",Иссык-Кульская область,18.8
2013,"Потери воды при транспортировке, в процентах к общему объему забора воды",Иссык-Кульская область,27.7
2014,"Потери воды при транспортировке, в процентах к общему объему забора воды",Иссык-Кульская область,31.6
2015,"Потери воды при транспортировке, в процентах к общему объему забора воды",Иссык-Кульская область,27.3
2016,"Потери воды при транспортировке, в процентах к общему объему забора воды",Иссык-Кульская область,31.5
2017,"Потери воды при транспортировке, в процентах к общему объему забора воды",Иссык-Кульская область,29.6
2018,"Потери воды при транспортировке, в процентах к общему объему забора воды",Иссык-Кульская область,31.2
2010,"Потери воды при транспортировке, в процентах к общему объему забора воды",Нарынская область,31.9
2011,"Потери воды при транспортировке, в процентах к общему объему забора воды",Нарынская область,30.8
2012,"Потери воды при транспортировке, в процентах к общему объему забора воды",Нарынская область,30.5
2013,"Потери воды при транспортировке, в процентах к общему объему забора воды",Нарынская область,30.6
2014,"Потери воды при транспортировке, в процентах к общему объему забора воды",Нарынская область,32.4
2015,"Потери воды при транспортировке, в процентах к общему объему забора воды",Нарынская область,30.5
2016,"Потери воды при транспортировке, в процентах к общему объему забора воды",Нарынская область,29.9
2017,"Потери воды при транспортировке, в процентах к общему объему забора воды",Нарынская область,30.4
2018,"Потери воды при транспортировке, в процентах к общему объему забора воды",Нарынская область,30.3
2010,"Потери воды при транспортировке, в процентах к общему объему забора воды",Ошская область,17.1
2011,"Потери воды при транспортировке, в процентах к общему объему забора воды",Ошская область,17.8
2012,"Потери воды при транспортировке, в процентах к общему объему забора воды",Ошская область,26.8
2013,"Потери воды при транспортировке, в процентах к общему объему забора воды",Ошская область,25.3
2014,"Потери воды при транспортировке, в процентах к общему объему забора воды",Ошская область,20.5
2015,"Потери воды при транспортировке, в процентах к общему объему забора воды",Ошская область,19.5
2016,"Потери воды при транспортировке, в процентах к общему объему забора воды",Ошская область,21.9
2017,"Потери воды при транспортировке, в процентах к общему объему забора воды",Ошская область,25.3
2018,"Потери воды при транспортировке, в процентах к общему объему забора воды",Ошская область,25.6
2010,"Потери воды при транспортировке, в процентах к общему объему забора воды",Таласская область,27.6
2011,"Потери воды при транспортировке, в процентах к общему объему забора воды",Таласская область,28.7
2012,"Потери воды при транспортировке, в процентах к общему объему забора воды",Таласская область,29.2
2013,"Потери воды при транспортировке, в процентах к общему объему забора воды",Таласская область,30.1
2014,"Потери воды при транспортировке, в процентах к общему объему забора воды",Таласская область,29.2
2015,"Потери воды при транспортировке, в процентах к общему объему забора воды",Таласская область,30.6
2016,"Потери воды при транспортировке, в процентах к общему объему забора воды",Таласская область,31.1
2017,"Потери воды при транспортировке, в процентах к общему объему забора воды",Таласская область,30.3
2018,"Потери воды при транспортировке, в процентах к общему объему забора воды",Таласская область,31.1
2010,"Потери воды при транспортировке, в процентах к общему объему забора воды",Чуйская область,22.4
2011,"Потери воды при транспортировке, в процентах к общему объему забора воды",Чуйская область,22.9
2012,"Потери воды при транспортировке, в процентах к общему объему забора воды",Чуйская область,26.1
2013,"Потери воды при транспортировке, в процентах к общему объему забора воды",Чуйская область,25.5
2014,"Потери воды при транспортировке, в процентах к общему объему забора воды",Чуйская область,27
2015,"Потери воды при транспортировке, в процентах к общему объему забора воды",Чуйская область,36.2
2016,"Потери воды при транспортировке, в процентах к общему объему забора воды",Чуйская область,26
2017,"Потери воды при транспортировке, в процентах к общему объему забора воды",Чуйская область,32.2
2018,"Потери воды при транспортировке, в процентах к общему объему забора воды",Чуйская область,29.9
2010,"Потери воды при транспортировке, в процентах к общему объему забора воды",г. Бишкек,18.2
2011,"Потери воды при транспортировке, в процентах к общему объему забора воды",г. Бишкек,22
2012,"Потери воды при транспортировке, в процентах к общему объему забора воды",г. Бишкек,
2013,"Потери воды при транспортировке, в процентах к общему объему забора воды",г. Бишкек,20.9
2014,"Потери воды при транспортировке, в процентах к общему объему забора воды",г. Бишкек,21
2015,"Потери воды при транспортировке, в процентах к общему объему забора воды",г. Бишкек,21
2016,"Потери воды при транспортировке, в процентах к общему объему забора воды",г. Бишкек,21
2017,"Потери воды при транспортировке, в процентах к общему объему забора воды",г. Бишкек,20.9
2018,"Потери воды при транспортировке, в процентах к общему объему забора воды",г. Бишкек,20.8
2010,"Потери воды при транспортировке, в процентах к общему объему забора воды",г. Ош,
2011,"Потери воды при транспортировке, в процентах к общему объему забора воды",г. Ош,
2012,"Потери воды при транспортировке, в процентах к общему объему забора воды",г. Ош,
2013,"Потери воды при транспортировке, в процентах к общему объему забора воды",г. Ош,
2014,"Потери воды при транспортировке, в процентах к общему объему забора воды",г. Ош,
2015,"Потери воды при транспортировке, в процентах к общему объему забора воды",г. Ош,
2016,"Потери воды при транспортировке, в процентах к общему объему забора воды",г. Ош,
2017,"Потери воды при транспортировке, в процентах к общему объему забора воды",г. Ош,12
2018,"Потери воды при транспортировке, в процентах к общему объему забора воды",г. Ош,12
