Year,concept.REF_AREA,concept.COMPOSITE_BREAKDOWN,Value
2018,code.KG03,code.NCD_CNCR,49.5
2007,code.KG02,code.NCD_CNCR,746.0
2008,code.KG02,code.NCD_CNCR,724.0
2009,code.KG02,code.NCD_CNCR,787.0
2010,code.KG02,code.NCD_CNCR,734.0
2011,code.KG02,code.NCD_CNCR,740.0
2012,code.KG02,code.NCD_CNCR,848.0
2013,code.KG02,code.NCD_CNCR,818.0
2014,code.KG02,code.NCD_CNCR,852.0
2015,code.KG02,code.NCD_CNCR,891.0
2016,code.KG02,code.NCD_CNCR,839.0
2017,code.KG02,code.NCD_CNCR,80.9
2018,code.KG02,code.NCD_CNCR,90.5
2007,code.KG04,code.NCD_CNCR,708.0
2008,code.KG04,code.NCD_CNCR,720.0
2009,code.KG04,code.NCD_CNCR,720.0
2010,code.KG04,code.NCD_CNCR,667.0
2011,code.KG04,code.NCD_CNCR,819.0
2012,code.KG04,code.NCD_CNCR,638.0
2013,code.KG04,code.NCD_CNCR,782.0
2014,code.KG04,code.NCD_CNCR,824.0
2015,code.KG04,code.NCD_CNCR,895.0
2016,code.KG04,code.NCD_CNCR,881.0
2017,code.KG04,code.NCD_CNCR,81.8
2018,code.KG04,code.NCD_CNCR,87.9
2007,code.KG06,code.NCD_CNCR,381.0
2008,code.KG06,code.NCD_CNCR,364.0
2009,code.KG06,code.NCD_CNCR,407.0
2010,code.KG06,code.NCD_CNCR,401.0
2011,code.KG06,code.NCD_CNCR,436.0
2012,code.KG06,code.NCD_CNCR,430.0
2013,code.KG06,code.NCD_CNCR,430.0
2014,code.KG06,code.NCD_CNCR,507.0
2015,code.KG06,code.NCD_CNCR,506.0
2016,code.KG06,code.NCD_CNCR,499.0
2017,code.KG06,code.NCD_CNCR,49.1
2018,code.KG06,code.NCD_CNCR,510.0
2007,code.KG07,code.NCD_CNCR,472.0
2008,code.KG07,code.NCD_CNCR,547.0
2009,code.KG07,code.NCD_CNCR,597.0
2010,code.KG07,code.NCD_CNCR,660.0
2011,code.KG07,code.NCD_CNCR,599.0
2012,code.KG07,code.NCD_CNCR,585.0
2013,code.KG07,code.NCD_CNCR,683.0
2014,code.KG07,code.NCD_CNCR,689.0
2015,code.KG07,code.NCD_CNCR,606.0
2016,code.KG07,code.NCD_CNCR,707.0
2017,code.KG07,code.NCD_CNCR,62.6
2018,code.KG07,code.NCD_CNCR,59.7
2007,code.KG08,code.NCD_CNCR,881.0
2008,code.KG08,code.NCD_CNCR,912.0
2009,code.KG08,code.NCD_CNCR,953.0
2010,code.KG08,code.NCD_CNCR,896.0
2011,code.KG08,code.NCD_CNCR,920.0
2012,code.KG08,code.NCD_CNCR,915.0
2013,code.KG08,code.NCD_CNCR,883.0
2014,code.KG08,code.NCD_CNCR,927.0
2015,code.KG08,code.NCD_CNCR,826.0
2016,code.KG08,code.NCD_CNCR,943.0
2017,code.KG08,code.NCD_CNCR,91.3
2018,code.KG08,code.NCD_CNCR,97.5
2007,code.KG11,code.NCD_CNCR,823.0
2008,code.KG11,code.NCD_CNCR,826.0
2009,code.KG11,code.NCD_CNCR,758.0
2010,code.KG11,code.NCD_CNCR,781.0
2011,code.KG11,code.NCD_CNCR,698.0
2012,code.KG11,code.NCD_CNCR,674.0
2013,code.KG11,code.NCD_CNCR,693.0
2014,code.KG11,code.NCD_CNCR,731.0
2015,code.KG11,code.NCD_CNCR,766.0
2016,code.KG11,code.NCD_CNCR,665.0
2017,code.KG11,code.NCD_CNCR,69.1
2018,code.KG11,code.NCD_CNCR,69.3
2007,code.KG21,code.NCD_CNCR,468.0
2008,code.KG21,code.NCD_CNCR,505.0
2009,code.KG21,code.NCD_CNCR,503.0
2010,code.KG21,code.NCD_CNCR,462.0
2011,code.KG21,code.NCD_CNCR,582.0
2012,code.KG21,code.NCD_CNCR,504.0
2013,code.KG21,code.NCD_CNCR,647.0
2014,code.KG21,code.NCD_CNCR,523.0
2015,code.KG21,code.NCD_CNCR,513.0
2016,code.KG21,code.NCD_CNCR,549.0
2017,code.KG21,code.NCD_CNCR,53.3
2018,code.KG21,code.NCD_CNCR,65.3
2007,,code.NCD_DIABTS,69.0
2008,,code.NCD_DIABTS,68.0
2009,,code.NCD_DIABTS,62.0
2010,,code.NCD_DIABTS,57.0
2011,,code.NCD_DIABTS,58.0
2012,,code.NCD_DIABTS,53.0
2013,,code.NCD_DIABTS,69.0
2014,,code.NCD_DIABTS,72.0
2015,,code.NCD_DIABTS,60.0
2016,,code.NCD_DIABTS,67.0
2017,,code.NCD_DIABTS,6.8
2018,,code.NCD_DIABTS,7.3
2007,code.KG05,code.NCD_DIABTS,81.0
2008,code.KG05,code.NCD_DIABTS,57.0
2009,code.KG05,code.NCD_DIABTS,46.0
2010,code.KG05,code.NCD_DIABTS,41.0
2011,code.KG05,code.NCD_DIABTS,31.0
2012,code.KG05,code.NCD_DIABTS,55.0
2013,code.KG05,code.NCD_DIABTS,45.0
2014,code.KG05,code.NCD_DIABTS,59.0
2015,code.KG05,code.NCD_DIABTS,62.0
2016,code.KG05,code.NCD_DIABTS,70.0
2017,code.KG05,code.NCD_DIABTS,6.1
2018,code.KG05,code.NCD_DIABTS,5.4
2007,code.KG03,code.NCD_DIABTS,66.0
2008,code.KG03,code.NCD_DIABTS,91.0
2009,code.KG03,code.NCD_DIABTS,84.0
2010,code.KG03,code.NCD_DIABTS,77.0
2011,code.KG03,code.NCD_DIABTS,79.0
2012,code.KG03,code.NCD_DIABTS,76.0
2013,code.KG03,code.NCD_DIABTS,96.0
2014,code.KG03,code.NCD_DIABTS,106.0
2015,code.KG03,code.NCD_DIABTS,90.0
2016,code.KG03,code.NCD_DIABTS,86.0
2017,code.KG03,code.NCD_DIABTS,8.8
2018,code.KG03,code.NCD_DIABTS,10.4
2007,code.KG02,code.NCD_DIABTS,104.0
2008,code.KG02,code.NCD_DIABTS,62.0
2009,code.KG02,code.NCD_DIABTS,82.0
2010,code.KG02,code.NCD_DIABTS,81.0
2011,code.KG02,code.NCD_DIABTS,69.0
2012,code.KG02,code.NCD_DIABTS,64.0
2013,code.KG02,code.NCD_DIABTS,90.0
2014,code.KG02,code.NCD_DIABTS,89.0
2015,code.KG02,code.NCD_DIABTS,62.0
2016,code.KG02,code.NCD_DIABTS,70.0
2017,code.KG02,code.NCD_DIABTS,10.4
2018,code.KG02,code.NCD_DIABTS,13.2
2007,code.KG04,code.NCD_DIABTS,54.0
2008,code.KG04,code.NCD_DIABTS,39.0
2009,code.KG04,code.NCD_DIABTS,66.0
2010,code.KG04,code.NCD_DIABTS,42.0
2011,code.KG04,code.NCD_DIABTS,61.0
2012,code.KG04,code.NCD_DIABTS,38.0
2013,code.KG04,code.NCD_DIABTS,37.0
2014,code.KG04,code.NCD_DIABTS,70.0
2015,code.KG04,code.NCD_DIABTS,47.0
2016,code.KG04,code.NCD_DIABTS,50.0
2017,code.KG04,code.NCD_DIABTS,3.9
2018,code.KG04,code.NCD_DIABTS,7.4
2007,code.KG06,code.NCD_DIABTS,65.0
2008,code.KG06,code.NCD_DIABTS,54.0
2009,code.KG06,code.NCD_DIABTS,56.0
2010,code.KG06,code.NCD_DIABTS,52.0
2011,code.KG06,code.NCD_DIABTS,47.0
2012,code.KG06,code.NCD_DIABTS,47.0
2013,code.KG06,code.NCD_DIABTS,48.0
2014,code.KG06,code.NCD_DIABTS,51.0
2015,code.KG06,code.NCD_DIABTS,57.0
2016,code.KG06,code.NCD_DIABTS,55.0
2017,code.KG06,code.NCD_DIABTS,6.1
2018,code.KG06,code.NCD_DIABTS,6.6
2007,code.KG07,code.NCD_DIABTS,76.0
2008,code.KG07,code.NCD_DIABTS,76.0
2009,code.KG07,code.NCD_DIABTS,101.0
2010,code.KG07,code.NCD_DIABTS,52.0
2011,code.KG07,code.NCD_DIABTS,30.0
2012,code.KG07,code.NCD_DIABTS,42.0
2013,code.KG07,code.NCD_DIABTS,62.0
2014,code.KG07,code.NCD_DIABTS,49.0
2015,code.KG07,code.NCD_DIABTS,8.0
2016,code.KG07,code.NCD_DIABTS,28.0
2017,code.KG07,code.NCD_DIABTS,3.5
2018,code.KG07,code.NCD_DIABTS,3.1
2007,code.KG08,code.NCD_DIABTS,77.0
2008,code.KG08,code.NCD_DIABTS,79.0
2009,code.KG08,code.NCD_DIABTS,47.0
2010,code.KG08,code.NCD_DIABTS,57.0
2011,code.KG08,code.NCD_DIABTS,72.0
2012,code.KG08,code.NCD_DIABTS,48.0
2013,code.KG08,code.NCD_DIABTS,79.0
2014,code.KG08,code.NCD_DIABTS,95.0
2015,code.KG08,code.NCD_DIABTS,74.0
2016,code.KG08,code.NCD_DIABTS,86.0
2017,code.KG08,code.NCD_DIABTS,6.6
2018,code.KG08,code.NCD_DIABTS,7.2
2007,code.KG11,code.NCD_DIABTS,40.0
2008,code.KG11,code.NCD_DIABTS,52.0
2009,code.KG11,code.NCD_DIABTS,46.0
2010,code.KG11,code.NCD_DIABTS,40.0
2011,code.KG11,code.NCD_DIABTS,40.0
2012,code.KG11,code.NCD_DIABTS,40.0
2013,code.KG11,code.NCD_DIABTS,49.0
2014,code.KG11,code.NCD_DIABTS,38.0
2015,code.KG11,code.NCD_DIABTS,32.0
2016,code.KG11,code.NCD_DIABTS,50.0
2017,code.KG11,code.NCD_DIABTS,4.3
2018,code.KG11,code.NCD_DIABTS,3.4
2007,code.KG21,code.NCD_DIABTS,94.0
2008,code.KG21,code.NCD_DIABTS,117.0
2009,code.KG21,code.NCD_DIABTS,58.0
2010,code.KG21,code.NCD_DIABTS,62.0
2011,code.KG21,code.NCD_DIABTS,86.0
2012,code.KG21,code.NCD_DIABTS,54.0
2013,code.KG21,code.NCD_DIABTS,133.0
2014,code.KG21,code.NCD_DIABTS,78.0
2015,code.KG21,code.NCD_DIABTS,62.0
2016,code.KG21,code.NCD_DIABTS,90.0
2017,code.KG21,code.NCD_DIABTS,11.9
2018,code.KG21,code.NCD_DIABTS,9.5
2007,,code.NCD_CRESPD,397.0
2008,,code.NCD_CRESPD,385.0
2009,,code.NCD_CRESPD,327.0
2010,,code.NCD_CRESPD,304.0
2011,,code.NCD_CRESPD,271.0
2012,,code.NCD_CRESPD,261.0
2013,,code.NCD_CRESPD,212.0
2014,,code.NCD_CRESPD,216.0
2015,,code.NCD_CRESPD,189.0
2016,,code.NCD_CRESPD,190.0
2017,,code.NCD_CRESPD,17.6
2018,,code.NCD_CRESPD,16.3
2007,code.KG05,code.NCD_CRESPD,432.0
2008,code.KG05,code.NCD_CRESPD,450.0
2009,code.KG05,code.NCD_CRESPD,367.0
2010,code.KG05,code.NCD_CRESPD,311.0
2011,code.KG05,code.NCD_CRESPD,283.0
2012,code.KG05,code.NCD_CRESPD,150.0
2013,code.KG05,code.NCD_CRESPD,162.0
2014,code.KG05,code.NCD_CRESPD,156.0
2015,code.KG05,code.NCD_CRESPD,173.0
2016,code.KG05,code.NCD_CRESPD,165.0
2017,code.KG05,code.NCD_CRESPD,16.9
2018,code.KG05,code.NCD_CRESPD,14.2
2007,code.KG03,code.NCD_CRESPD,296.0
2008,code.KG03,code.NCD_CRESPD,314.0
2009,code.KG03,code.NCD_CRESPD,274.0
2010,code.KG03,code.NCD_CRESPD,270.0
2011,code.KG03,code.NCD_CRESPD,204.0
2012,code.KG03,code.NCD_CRESPD,210.0
2013,code.KG03,code.NCD_CRESPD,172.0
2014,code.KG03,code.NCD_CRESPD,229.0
2015,code.KG03,code.NCD_CRESPD,204.0
2016,code.KG03,code.NCD_CRESPD,159.0
2017,code.KG03,code.NCD_CRESPD,160.0
2018,code.KG03,code.NCD_CRESPD,162.0
2007,code.KG02,code.NCD_CRESPD,917.0
2008,code.KG02,code.NCD_CRESPD,914.0
2009,code.KG02,code.NCD_CRESPD,733.0
2010,code.KG02,code.NCD_CRESPD,702.0
2011,code.KG02,code.NCD_CRESPD,630.0
2012,code.KG02,code.NCD_CRESPD,677.0
2013,code.KG02,code.NCD_CRESPD,515.0
2014,code.KG02,code.NCD_CRESPD,462.0
2015,code.KG02,code.NCD_CRESPD,409.0
2016,code.KG02,code.NCD_CRESPD,458.0
2017,code.KG02,code.NCD_CRESPD,43.8
2018,code.KG02,code.NCD_CRESPD,34.5
2007,code.KG04,code.NCD_CRESPD,1058.0
2008,code.KG04,code.NCD_CRESPD,1019.0
2009,code.KG04,code.NCD_CRESPD,887.0
2010,code.KG04,code.NCD_CRESPD,836.0
2011,code.KG04,code.NCD_CRESPD,785.0
2012,code.KG04,code.NCD_CRESPD,889.0
2013,code.KG04,code.NCD_CRESPD,823.0
2014,code.KG04,code.NCD_CRESPD,755.0
2015,code.KG04,code.NCD_CRESPD,634.0
2016,code.KG04,code.NCD_CRESPD,619.0
2017,code.KG04,code.NCD_CRESPD,47.4
2018,code.KG04,code.NCD_CRESPD,40.3
2007,code.KG06,code.NCD_CRESPD,395.0
2008,code.KG06,code.NCD_CRESPD,401.0
2009,code.KG06,code.NCD_CRESPD,364.0
2010,code.KG06,code.NCD_CRESPD,351.0
2011,code.KG06,code.NCD_CRESPD,293.0
2012,code.KG06,code.NCD_CRESPD,257.0
2013,code.KG06,code.NCD_CRESPD,208.0
2014,code.KG06,code.NCD_CRESPD,222.0
2015,code.KG06,code.NCD_CRESPD,179.0
2016,code.KG06,code.NCD_CRESPD,203.0
2017,code.KG06,code.NCD_CRESPD,17.2
2018,code.KG06,code.NCD_CRESPD,18.6
2007,code.KG07,code.NCD_CRESPD,260.0
2008,code.KG07,code.NCD_CRESPD,204.0
2009,code.KG07,code.NCD_CRESPD,171.0
2010,code.KG07,code.NCD_CRESPD,152.0
2011,code.KG07,code.NCD_CRESPD,176.0
2012,code.KG07,code.NCD_CRESPD,291.0
2013,code.KG07,code.NCD_CRESPD,145.0
2014,code.KG07,code.NCD_CRESPD,175.0
2015,code.KG07,code.NCD_CRESPD,144.0
2016,code.KG07,code.NCD_CRESPD,138.0
2017,code.KG07,code.NCD_CRESPD,12.1
2018,code.KG07,code.NCD_CRESPD,130.0
2007,code.KG08,code.NCD_CRESPD,380.0
2008,code.KG08,code.NCD_CRESPD,328.0
2009,code.KG08,code.NCD_CRESPD,247.0
2010,code.KG08,code.NCD_CRESPD,217.0
2011,code.KG08,code.NCD_CRESPD,243.0
2012,code.KG08,code.NCD_CRESPD,191.0
2013,code.KG08,code.NCD_CRESPD,169.0
2014,code.KG08,code.NCD_CRESPD,135.0
2015,code.KG08,code.NCD_CRESPD,127.0
2016,code.KG08,code.NCD_CRESPD,142.0
2017,code.KG08,code.NCD_CRESPD,14.7
2018,code.KG08,code.NCD_CRESPD,13.6
2007,code.KG11,code.NCD_CRESPD,120.0
2008,code.KG11,code.NCD_CRESPD,92.0
2009,code.KG11,code.NCD_CRESPD,87.0
2010,code.KG11,code.NCD_CRESPD,76.0
2011,code.KG11,code.NCD_CRESPD,68.0
2012,code.KG11,code.NCD_CRESPD,70.0
2013,code.KG11,code.NCD_CRESPD,49.0
2014,code.KG11,code.NCD_CRESPD,65.0
2015,code.KG11,code.NCD_CRESPD,52.0
2016,code.KG11,code.NCD_CRESPD,48.0
2017,code.KG11,code.NCD_CRESPD,4.3
2018,code.KG11,code.NCD_CRESPD,50.0
2007,code.KG21,code.NCD_CRESPD,238.0
2008,code.KG21,code.NCD_CRESPD,233.0
2009,code.KG21,code.NCD_CRESPD,220.0
2010,code.KG21,code.NCD_CRESPD,171.0
2011,code.KG21,code.NCD_CRESPD,129.0
2012,code.KG21,code.NCD_CRESPD,151.0
2013,code.KG21,code.NCD_CRESPD,84.0
2014,code.KG21,code.NCD_CRESPD,101.0
2015,code.KG21,code.NCD_CRESPD,99.0
2016,code.KG21,code.NCD_CRESPD,111.0
2017,code.KG21,code.NCD_CRESPD,130.0
2018,code.KG21,code.NCD_CRESPD,71.0
