Year,Показатель,Территория,Местность,Образование главы домохозяйства,Квинтиль благосостояния,Value
2018,"Процентная доля домохозяйств, в которых есть приспособление для мытья рук, где имеются вода и мыло или другое моющее средство",,,Среднее общее,,97.4
2023,"Процентная доля домохозяйств, в которых есть приспособление для мытья рук, где имеются вода и мыло или другое моющее средство",,,Среднее общее,,97.6
2018,"Процентная доля домохозяйств, в которых есть приспособление для мытья рук, где имеются вода и мыло или другое моющее средство",,,Профессиональное начальное/среднее,,96.6
2023,"Процентная доля домохозяйств, в которых есть приспособление для мытья рук, где имеются вода и мыло или другое моющее средство",,,Профессиональное начальное/среднее,,97.9
2018,"Процентная доля домохозяйств, в которых есть приспособление для мытья рук, где имеются вода и мыло или другое моющее средство",,,Высшее,,95.1
2023,"Процентная доля домохозяйств, в которых есть приспособление для мытья рук, где имеются вода и мыло или другое моющее средство",,,Высшее,,98
2018,"Процентная доля домохозяйств, в которых есть приспособление для мытья рук, где имеются вода и мыло или другое моющее средство",,,,Беднейший,97.2
2023,"Процентная доля домохозяйств, в которых есть приспособление для мытья рук, где имеются вода и мыло или другое моющее средство",,,,Беднейший,95.1
2018,"Процентная доля домохозяйств, в которых есть приспособление для мытья рук, где имеются вода и мыло или другое моющее средство",,,,Второй,95.9
2023,"Процентная доля домохозяйств, в которых есть приспособление для мытья рук, где имеются вода и мыло или другое моющее средство",,,,Второй,97.7
2018,"Процентная доля домохозяйств, в которых есть приспособление для мытья рук, где имеются вода и мыло или другое моющее средство",,,,Средний,96.5
2023,"Процентная доля домохозяйств, в которых есть приспособление для мытья рук, где имеются вода и мыло или другое моющее средство",,,,Средний,98.8
2018,"Процентная доля домохозяйств, в которых есть приспособление для мытья рук, где имеются вода и мыло или другое моющее средство",,,,Четвертый,96.4
2023,"Процентная доля домохозяйств, в которых есть приспособление для мытья рук, где имеются вода и мыло или другое моющее средство",,,,Четвертый,99
2018,"Процентная доля домохозяйств, в которых есть приспособление для мытья рук, где имеются вода и мыло или другое моющее средство",,,,Богатейший,95.7
2023,"Процентная доля домохозяйств, в которых есть приспособление для мытья рук, где имеются вода и мыло или другое моющее средство",,,,Богатейший,97.6
2018,"Процентная доля членов домохозяйств, которые пользуются улучшенными санитарно-гигиеническими устройствами не совместно с другими лицами",,,,,98.2
2023,"Процентная доля членов домохозяйств, которые пользуются улучшенными санитарно-гигиеническими устройствами не совместно с другими лицами",,,,,98.2
2018,"Процентная доля членов домохозяйств, которые пользуются улучшенными санитарно-гигиеническими устройствами не совместно с другими лицами",Баткенская область,,,,99.4
2023,"Процентная доля членов домохозяйств, которые пользуются улучшенными санитарно-гигиеническими устройствами не совместно с другими лицами",Баткенская область,,,,94.8
2018,"Процентная доля членов домохозяйств, которые пользуются улучшенными санитарно-гигиеническими устройствами не совместно с другими лицами",Джалал-Абадская область,,,,99.1
2023,"Процентная доля членов домохозяйств, которые пользуются улучшенными санитарно-гигиеническими устройствами не совместно с другими лицами",Джалал-Абадская область,,,,98.6
2018,"Процентная доля членов домохозяйств, которые пользуются улучшенными санитарно-гигиеническими устройствами не совместно с другими лицами",Иссык-Кульская область,,,,99
2023,"Процентная доля членов домохозяйств, которые пользуются улучшенными санитарно-гигиеническими устройствами не совместно с другими лицами",Иссык-Кульская область,,,,99.5
2018,"Процентная доля членов домохозяйств, которые пользуются улучшенными санитарно-гигиеническими устройствами не совместно с другими лицами",Нарынская область,,,,97.6
2023,"Процентная доля членов домохозяйств, которые пользуются улучшенными санитарно-гигиеническими устройствами не совместно с другими лицами",Нарынская область,,,,98.6
2018,"Процентная доля членов домохозяйств, которые пользуются улучшенными санитарно-гигиеническими устройствами не совместно с другими лицами",Ошская область,,,,98.4
2023,"Процентная доля членов домохозяйств, которые пользуются улучшенными санитарно-гигиеническими устройствами не совместно с другими лицами",Ошская область,,,,98.9
2018,"Процентная доля членов домохозяйств, которые пользуются улучшенными санитарно-гигиеническими устройствами не совместно с другими лицами",Таласская область,,,,99.3
2023,"Процентная доля членов домохозяйств, которые пользуются улучшенными санитарно-гигиеническими устройствами не совместно с другими лицами",Таласская область,,,,99.8
2018,"Процентная доля членов домохозяйств, которые пользуются улучшенными санитарно-гигиеническими устройствами не совместно с другими лицами",Чуйская область,,,,99.3
2023,"Процентная доля членов домохозяйств, которые пользуются улучшенными санитарно-гигиеническими устройствами не совместно с другими лицами",Чуйская область,,,,98.7
2018,"Процентная доля членов домохозяйств, которые пользуются улучшенными санитарно-гигиеническими устройствами не совместно с другими лицами",г. Бишкек,,,,95.3
2023,"Процентная доля членов домохозяйств, которые пользуются улучшенными санитарно-гигиеническими устройствами не совместно с другими лицами",г. Бишкек,,,,96.3
2018,"Процентная доля членов домохозяйств, которые пользуются улучшенными санитарно-гигиеническими устройствами не совместно с другими лицами",г. Ош,,,,98.3
2023,"Процентная доля членов домохозяйств, которые пользуются улучшенными санитарно-гигиеническими устройствами не совместно с другими лицами",г. Ош,,,,99.5
2018,"Процентная доля членов домохозяйств, которые пользуются улучшенными санитарно-гигиеническими устройствами не совместно с другими лицами",,Городская,,,96.6
2023,"Процентная доля членов домохозяйств, которые пользуются улучшенными санитарно-гигиеническими устройствами не совместно с другими лицами",,Городская,,,96.8
2018,"Процентная доля членов домохозяйств, которые пользуются улучшенными санитарно-гигиеническими устройствами не совместно с другими лицами",,Сельская,,,99.1
2023,"Процентная доля членов домохозяйств, которые пользуются улучшенными санитарно-гигиеническими устройствами не совместно с другими лицами",,Сельская,,,98.9
2018,"Процентная доля членов домохозяйств, которые пользуются улучшенными санитарно-гигиеническими устройствами не совместно с другими лицами",,,Дошкольное или нет/Начальное,,99.7
2023,"Процентная доля членов домохозяйств, которые пользуются улучшенными санитарно-гигиеническими устройствами не совместно с другими лицами",,,Дошкольное или нет/Начальное,,99.5
2018,"Процентная доля членов домохозяйств, которые пользуются улучшенными санитарно-гигиеническими устройствами не совместно с другими лицами",,,Основное общее,,98.6
2023,"Процентная доля членов домохозяйств, которые пользуются улучшенными санитарно-гигиеническими устройствами не совместно с другими лицами",,,Основное общее,,99.1
2018,"Процентная доля членов домохозяйств, которые пользуются улучшенными санитарно-гигиеническими устройствами не совместно с другими лицами",,,Среднее общее,,97.8
2023,"Процентная доля членов домохозяйств, которые пользуются улучшенными санитарно-гигиеническими устройствами не совместно с другими лицами",,,Среднее общее,,98.1
2018,"Процентная доля членов домохозяйств, которые пользуются улучшенными санитарно-гигиеническими устройствами не совместно с другими лицами",,,Профессиональное начальное/среднее,,98.3
2023,"Процентная доля членов домохозяйств, которые пользуются улучшенными санитарно-гигиеническими устройствами не совместно с другими лицами",,,Профессиональное начальное/среднее,,98.6
2018,"Процентная доля членов домохозяйств, которые пользуются улучшенными санитарно-гигиеническими устройствами не совместно с другими лицами",,,Высшее,,98.6
2023,"Процентная доля членов домохозяйств, которые пользуются улучшенными санитарно-гигиеническими устройствами не совместно с другими лицами",,,Высшее,,97.9
2018,"Процентная доля членов домохозяйств, которые пользуются улучшенными санитарно-гигиеническими устройствами не совместно с другими лицами",,,,Беднейший,97.9
2023,"Процентная доля членов домохозяйств, которые пользуются улучшенными санитарно-гигиеническими устройствами не совместно с другими лицами",,,,Беднейший,96.7
2018,"Процентная доля членов домохозяйств, которые пользуются улучшенными санитарно-гигиеническими устройствами не совместно с другими лицами",,,,Второй,99.2
2023,"Процентная доля членов домохозяйств, которые пользуются улучшенными санитарно-гигиеническими устройствами не совместно с другими лицами",,,,Второй,98.6
2018,"Процентная доля членов домохозяйств, которые пользуются улучшенными санитарно-гигиеническими устройствами не совместно с другими лицами",,,,Средний,98.6
2023,"Процентная доля членов домохозяйств, которые пользуются улучшенными санитарно-гигиеническими устройствами не совместно с другими лицами",,,,Средний,97.8
2018,"Процентная доля членов домохозяйств, которые пользуются улучшенными санитарно-гигиеническими устройствами не совместно с другими лицами",,,,Четвертый,97
2023,"Процентная доля членов домохозяйств, которые пользуются улучшенными санитарно-гигиеническими устройствами не совместно с другими лицами",,,,Четвертый,98.9
2018,"Процентная доля членов домохозяйств, которые пользуются улучшенными санитарно-гигиеническими устройствами не совместно с другими лицами",,,,Богатейший,98.4
2023,"Процентная доля членов домохозяйств, которые пользуются улучшенными санитарно-гигиеническими устройствами не совместно с другими лицами",,,,Богатейший,99.3
