Year,Reference area,Sex,Age,Degree of urbanisation,Income or wealth quantile,Education level,GeoCode,Value
2022,,,"29 to 62 years old (working age population: women under 57 years old, men under 62 years old)",,,,,69.375508
2023,,,"29 to 62 years old (working age population: women under 57 years old, men under 62 years old)",,,,,71.098645
2018,,,"58 years old and over (population over working age: women 58 years and older, men 63 years and older)",,,,,54.1
2019,,,"58 years old and over (population over working age: women 58 years and older, men 63 years and older)",,,,,61.942673
2020,,,"58 years old and over (population over working age: women 58 years and older, men 63 years and older)",,,,,64.5
2021,,,"58 years old and over (population over working age: women 58 years and older, men 63 years and older)",,,,,64.347718
2022,,,"58 years old and over (population over working age: women 58 years and older, men 63 years and older)",,,,,65.680272
2023,,,"58 years old and over (population over working age: women 58 years and older, men 63 years and older)",,,,,64.894755
2018,,,,,,Primary education,,58.8
2019,,,,,,Primary education,,63.721132
2020,,,,,,Primary education,,69.8
2021,,,,,,Primary education,,68.757203
2022,,,,,,Primary education,,72.737995
2023,,,,,,Primary education,,65.622676
2018,,,,,,Lower secondary education,,63.3
2019,,,,,,Lower secondary education,,65.183411
2020,,,,,,Lower secondary education,,67.5
2021,,,,,,Lower secondary education,,69.036541
2022,,,,,,Lower secondary education,,69.21831
2023,,,,,,Lower secondary education,,73.433152
2018,,,,,,Upper secondary education,,57.7
2019,,,,,,Upper secondary education,,62.824591
2020,,,,,,Upper secondary education,,64.1
2021,,,,,,Upper secondary education,,66.56856
2022,,,,,,Upper secondary education,,68.755034
2023,,,,,,Upper secondary education,,70.983653
2018,,,,,,Post-secondary non-tertiary education,,59.7
2019,,,,,,Post-secondary non-tertiary education,,68.13387
2020,,,,,,Post-secondary non-tertiary education,,70.8
2021,,,,,,Post-secondary non-tertiary education,,68.036801
2022,,,,,,Post-secondary non-tertiary education,,67.911205
2023,,,,,,Post-secondary non-tertiary education,,67.351453
2018,,,,,,Tertiary education (Bachelor’s and Master's or equivalent),,53.7
2019,,,,,,Tertiary education (Bachelor’s and Master's or equivalent),,64.482244
2020,,,,,,Tertiary education (Bachelor’s and Master's or equivalent),,69.3
2021,,,,,,Tertiary education (Bachelor’s and Master's or equivalent),,66.45361
2022,,,,,,Tertiary education (Bachelor’s and Master's or equivalent),,66.756483
2023,,,,,,Tertiary education (Bachelor’s and Master's or equivalent),,68.419794
2018,,,,,Quintile 1 (poorest),,,52.386927
2019,,,,,Quintile 1 (poorest),,,55.414275
2020,,,,,Quintile 1 (poorest),,,58.2
2021,,,,,Quintile 1 (poorest),,,56.365186
2022,,,,,Quintile 1 (poorest),,,66.577621
2023,,,,,Quintile 1 (poorest),,,70.130694
2018,,,,,Quintile 2,,,58.140586
2019,,,,,Quintile 2,,,63.171549
2020,,,,,Quintile 2,,,69.7
2021,,,,,Quintile 2,,,67.44355
2022,,,,,Quintile 2,,,68.286079
2023,,,,,Quintile 2,,,72.588099
2018,,,,,Quintile 3,,,57.911249
2019,,,,,Quintile 3,,,65.795777
2020,,,,,Quintile 3,,,71.5
2021,,,,,Quintile 3,,,70.313406
2022,,,,,Quintile 3,,,69.211572
2023,,,,,Quintile 3,,,66.388091
2018,,,,,Quintile 4,,,60.870536
2019,,,,,Quintile 4,,,69.928679
2020,,,,,Quintile 4,,,68.3
2021,,,,,Quintile 4,,,71.713307
2022,,,,,Quintile 4,,,65.088281
2023,,,,,Quintile 4,,,69.181635
2018,,,,,Quintile 5 (richest),,,59.232205
2019,,,,,Quintile 5 (richest),,,65.727946
2020,,,,,Quintile 5 (richest),,,67.8
2021,,,,,Quintile 5 (richest),,,71.8874
2022,,,,,Quintile 5 (richest),,,74.316189
2023,,,,,Quintile 5 (richest),,,71.420435
