Year,Сноски на уровне наблюдения,SERIES,Территория,Пол,Возраст,Тип местности,Уровень дохода или квантиль благосостояния,Уровень образования,Value
2018,"According to Multiple Indicator Cluster Survey, 2018.",Доля детей умеренно или сильно истощенных,,,,,Квинтиль 1 (беднейшие),,1.5
2014,"According to Multiple Indicator Cluster Survey, 2014",Доля детей умеренно или сильно истощенных,,,,,Квинтиль 2,,3.6
2018,"According to Multiple Indicator Cluster Survey, 2018.",Доля детей умеренно или сильно истощенных,,,,,Квинтиль 2,,2.9
2014,"According to Multiple Indicator Cluster Survey, 2014",Доля детей умеренно или сильно истощенных,,,,,Квинтиль 3,,2.4
2018,"According to Multiple Indicator Cluster Survey, 2018.",Доля детей умеренно или сильно истощенных,,,,,Квинтиль 3,,2.2
2014,"According to Multiple Indicator Cluster Survey, 2014",Доля детей умеренно или сильно истощенных,,,,,Квинтиль 4,,1.6
2018,"According to Multiple Indicator Cluster Survey, 2018.",Доля детей умеренно или сильно истощенных,,,,,Квинтиль 4,,0.9
2014,"According to Multiple Indicator Cluster Survey, 2014",Доля детей умеренно или сильно истощенных,,,,,Квинтиль 5 (богатейшие),,3.3
2018,"According to Multiple Indicator Cluster Survey, 2018.",Доля детей умеренно или сильно истощенных,,,,,Квинтиль 5 (богатейшие),,2.6
2014,"According to Multiple Indicator Cluster Survey, 2014",Доля детей с умеренной или тяжелой формой ожирения,,,,,,,7.0
2018,"According to Multiple Indicator Cluster Survey, 2018.",Доля детей с умеренной или тяжелой формой ожирения,,,,,,,6.9
2014,"According to Multiple Indicator Cluster Survey, 2014",Доля детей с умеренной или тяжелой формой ожирения,Баткенская область,,,,,,3.4
2018,"According to Multiple Indicator Cluster Survey, 2018.",Доля детей с умеренной или тяжелой формой ожирения,Баткенская область,,,,,,6.9
2014,"According to Multiple Indicator Cluster Survey, 2014",Доля детей с умеренной или тяжелой формой ожирения,Джалал-Абадская область,,,,,,8.7
2018,"According to Multiple Indicator Cluster Survey, 2018.",Доля детей с умеренной или тяжелой формой ожирения,Джалал-Абадская область,,,,,,8.9
2014,"According to Multiple Indicator Cluster Survey, 2014",Доля детей с умеренной или тяжелой формой ожирения,Иссык-Кульская область,,,,,,7.8
2018,"According to Multiple Indicator Cluster Survey, 2018.",Доля детей с умеренной или тяжелой формой ожирения,Иссык-Кульская область,,,,,,4.6
2014,"According to Multiple Indicator Cluster Survey, 2014",Доля детей с умеренной или тяжелой формой ожирения,Нарынская область,,,,,,6.2
2018,"According to Multiple Indicator Cluster Survey, 2018.",Доля детей с умеренной или тяжелой формой ожирения,Нарынская область,,,,,,4.4
2014,"According to Multiple Indicator Cluster Survey, 2014",Доля детей с умеренной или тяжелой формой ожирения,Ошская область,,,,,,4.7
2018,"According to Multiple Indicator Cluster Survey, 2018.",Доля детей с умеренной или тяжелой формой ожирения,Ошская область,,,,,,5.3
2014,"According to Multiple Indicator Cluster Survey, 2014",Доля детей с умеренной или тяжелой формой ожирения,Таласская область,,,,,,7.3
2018,"According to Multiple Indicator Cluster Survey, 2018.",Доля детей с умеренной или тяжелой формой ожирения,Таласская область,,,,,,2.9
2014,"According to Multiple Indicator Cluster Survey, 2014",Доля детей с умеренной или тяжелой формой ожирения,Чуйская область,,,,,,9.0
2018,"According to Multiple Indicator Cluster Survey, 2018.",Доля детей с умеренной или тяжелой формой ожирения,Чуйская область,,,,,,11.7
2014,"According to Multiple Indicator Cluster Survey, 2014",Доля детей с умеренной или тяжелой формой ожирения,г. Бишкек,,,,,,9.5
2018,"According to Multiple Indicator Cluster Survey, 2018.",Доля детей с умеренной или тяжелой формой ожирения,г. Бишкек,,,,,,7.4
2014,"According to Multiple Indicator Cluster Survey, 2014",Доля детей с умеренной или тяжелой формой ожирения,г. Ош,,,,,,4.3
2018,"According to Multiple Indicator Cluster Survey, 2018.",Доля детей с умеренной или тяжелой формой ожирения,г. Ош,,,,,,3.3
2014,"According to Multiple Indicator Cluster Survey, 2014",Доля детей с умеренной или тяжелой формой ожирения,,Мужчины,,,,,7.8
2018,"According to Multiple Indicator Cluster Survey, 2018.",Доля детей с умеренной или тяжелой формой ожирения,,Мужчины,,,,,6.8
2014,"According to Multiple Indicator Cluster Survey, 2014",Доля детей с умеренной или тяжелой формой ожирения,,Женщины,,,,,6.1
2018,"According to Multiple Indicator Cluster Survey, 2018.",Доля детей с умеренной или тяжелой формой ожирения,,Женщины,,,,,7.1
2014,"According to Multiple Indicator Cluster Survey, 2014",Доля детей с умеренной или тяжелой формой ожирения,,,,Городская,,,8.2
2018,"According to Multiple Indicator Cluster Survey, 2018.",Доля детей с умеренной или тяжелой формой ожирения,,,,Городская,,,7.0
2014,"According to Multiple Indicator Cluster Survey, 2014",Доля детей с умеренной или тяжелой формой ожирения,,,,Сельская,,,6.5
2018,"According to Multiple Indicator Cluster Survey, 2018.",Доля детей с умеренной или тяжелой формой ожирения,,,,Сельская,,,6.9
2014,"According to Multiple Indicator Cluster Survey, 2014",Доля детей с умеренной или тяжелой формой ожирения,,,от 0 до 5 месяцев,,,,9.0
2018,"According to Multiple Indicator Cluster Survey, 2018.",Доля детей с умеренной или тяжелой формой ожирения,,,от 0 до 5 месяцев,,,,9.4
2014,"According to Multiple Indicator Cluster Survey, 2014",Доля детей с умеренной или тяжелой формой ожирения,,,от 6 до 11 месяцев,,,,11.5
2018,"According to Multiple Indicator Cluster Survey, 2018.",Доля детей с умеренной или тяжелой формой ожирения,,,от 6 до 11 месяцев,,,,10.5
2014,"According to Multiple Indicator Cluster Survey, 2014",Доля детей с умеренной или тяжелой формой ожирения,,,от 12 до 17 месяцев,,,,11.1
2018,"According to Multiple Indicator Cluster Survey, 2018.",Доля детей с умеренной или тяжелой формой ожирения,,,от 12 до 17 месяцев,,,,7.3
2014,"According to Multiple Indicator Cluster Survey, 2014",Доля детей с умеренной или тяжелой формой ожирения,,,от 18 до 23 месяцев,,,,6.8
2018,"According to Multiple Indicator Cluster Survey, 2018.",Доля детей с умеренной или тяжелой формой ожирения,,,от 18 до 23 месяцев,,,,8.5
2014,"According to Multiple Indicator Cluster Survey, 2014",Доля детей с умеренной или тяжелой формой ожирения,,,от 24 до 35 месяцев,,,,6.8
2018,"According to Multiple Indicator Cluster Survey, 2018.",Доля детей с умеренной или тяжелой формой ожирения,,,от 24 до 35 месяцев,,,,7.2
2014,"According to Multiple Indicator Cluster Survey, 2014",Доля детей с умеренной или тяжелой формой ожирения,,,от 3 до 4 лет,,,,5.0
2018,"According to Multiple Indicator Cluster Survey, 2018.",Доля детей с умеренной или тяжелой формой ожирения,,,от 3 до 4 лет,,,,4.6
2014,"According to Multiple Indicator Cluster Survey, 2014",Доля детей с умеренной или тяжелой формой ожирения,,,от 48 до 59 месяцев,,,,3.3
2018,"According to Multiple Indicator Cluster Survey, 2018.",Доля детей с умеренной или тяжелой формой ожирения,,,от 48 до 59 месяцев,,,,5.1
2014,"According to Multiple Indicator Cluster Survey, 2014",Доля детей с умеренной или тяжелой формой ожирения,,,,,,Первый этап среднего образования,4.9
2018,"According to Multiple Indicator Cluster Survey, 2018.",Доля детей с умеренной или тяжелой формой ожирения,,,,,,Первый этап среднего образования,7.4
2014,"According to Multiple Indicator Cluster Survey, 2014",Доля детей с умеренной или тяжелой формой ожирения,,,,,,Второй этап среднего образования,6.7
2018,"According to Multiple Indicator Cluster Survey, 2018.",Доля детей с умеренной или тяжелой формой ожирения,,,,,,Второй этап среднего образования,6.1
2014,"According to Multiple Indicator Cluster Survey, 2014",Доля детей с умеренной или тяжелой формой ожирения,,,,,,Послесреднее нетретичное образование,7.2
2018,"According to Multiple Indicator Cluster Survey, 2018.",Доля детей с умеренной или тяжелой формой ожирения,,,,,,Послесреднее нетретичное образование,8.5
2014,"According to Multiple Indicator Cluster Survey, 2014",Доля детей с умеренной или тяжелой формой ожирения,,,,,,Короткий цикл третичного образования,8.3
2018,"According to Multiple Indicator Cluster Survey, 2018.",Доля детей с умеренной или тяжелой формой ожирения,,,,,,Короткий цикл третичного образования,6.9
2014,"According to Multiple Indicator Cluster Survey, 2014",Доля детей с умеренной или тяжелой формой ожирения,,,,,Квинтиль 1 (беднейшие),,6.2
2018,"According to Multiple Indicator Cluster Survey, 2018.",Доля детей с умеренной или тяжелой формой ожирения,,,,,Квинтиль 1 (беднейшие),,7.0
2014,"According to Multiple Indicator Cluster Survey, 2014",Доля детей с умеренной или тяжелой формой ожирения,,,,,Квинтиль 2,,4.4
2018,"According to Multiple Indicator Cluster Survey, 2018.",Доля детей с умеренной или тяжелой формой ожирения,,,,,Квинтиль 2,,6.2
2014,"According to Multiple Indicator Cluster Survey, 2014",Доля детей с умеренной или тяжелой формой ожирения,,,,,Квинтиль 3,,7.0
2018,"According to Multiple Indicator Cluster Survey, 2018.",Доля детей с умеренной или тяжелой формой ожирения,,,,,Квинтиль 3,,7.0
2014,"According to Multiple Indicator Cluster Survey, 2014",Доля детей с умеренной или тяжелой формой ожирения,,,,,Квинтиль 4,,9.2
2018,"According to Multiple Indicator Cluster Survey, 2018.",Доля детей с умеренной или тяжелой формой ожирения,,,,,Квинтиль 4,,8.1
2014,"According to Multiple Indicator Cluster Survey, 2014",Доля детей с умеренной или тяжелой формой ожирения,,,,,Квинтиль 5 (богатейшие),,9.2
2018,"According to Multiple Indicator Cluster Survey, 2018.",Доля детей с умеренной или тяжелой формой ожирения,,,,,Квинтиль 5 (богатейшие),,6.5
