Year,SERIES,Территория,Пол,Возраст,GeoCode,Value
2013,Выявленные жертвы торговли людьми (число),Ошская область,,,KG06,1
2014,Выявленные жертвы торговли людьми (число),Ошская область,,,KG06,6
2017,Выявленные жертвы торговли людьми (число),Ошская область,,,KG06,2
2018,Выявленные жертвы торговли людьми (число),Ошская область,,,KG06,1
2019,Выявленные жертвы торговли людьми (число),Ошская область,,,KG06,2
2020,Выявленные жертвы торговли людьми (число),Ошская область,,,KG06,1
2010,Выявленные жертвы торговли людьми (число),Чуйская область,,,KG08,2
2012,Выявленные жертвы торговли людьми (число),Чуйская область,,,KG08,2
2013,Выявленные жертвы торговли людьми (число),Чуйская область,,,KG08,3
2014,Выявленные жертвы торговли людьми (число),Чуйская область,,,KG08,3
2015,Выявленные жертвы торговли людьми (число),Чуйская область,,,KG08,3
2016,Выявленные жертвы торговли людьми (число),Чуйская область,,,KG08,6
2017,Выявленные жертвы торговли людьми (число),Чуйская область,,,KG08,3
2021,Выявленные жертвы торговли людьми (число),Чуйская область,,,KG08,2
2023,Выявленные жертвы торговли людьми (число),Чуйская область,,,KG08,15
2010,Выявленные жертвы торговли людьми (число),г. Бишкек,,,KG11,1
2012,Выявленные жертвы торговли людьми (число),г. Бишкек,,,KG11,3
2014,Выявленные жертвы торговли людьми (число),г. Бишкек,,,KG11,2
2015,Выявленные жертвы торговли людьми (число),г. Бишкек,,,KG11,1
2016,Выявленные жертвы торговли людьми (число),г. Бишкек,,,KG11,4
2018,Выявленные жертвы торговли людьми (число),г. Бишкек,,,KG11,6
2019,Выявленные жертвы торговли людьми (число),г. Бишкек,,,KG11,5
2020,Выявленные жертвы торговли людьми (число),г. Бишкек,,,KG11,8
2021,Выявленные жертвы торговли людьми (число),г. Бишкек,,,KG11,3
2022,Выявленные жертвы торговли людьми (число),г. Бишкек,,,KG11,2
2023,Выявленные жертвы торговли людьми (число),г. Бишкек,,,KG11,2
2010,Выявленные жертвы торговли людьми (число),г. Ош,,,KG21,13
2011,Выявленные жертвы торговли людьми (число),г. Ош,,,KG21,5
2013,Выявленные жертвы торговли людьми (число),г. Ош,,,KG21,1
2014,Выявленные жертвы торговли людьми (число),г. Ош,,,KG21,5
2015,Выявленные жертвы торговли людьми (число),г. Ош,,,KG21,2
2019,Выявленные жертвы торговли людьми (число),г. Ош,,,KG21,2
2018,Выявленные жертвы торговли людьми (число),,,до 17 лет,,7
2019,Выявленные жертвы торговли людьми (число),,,до 17 лет,,8
2020,Выявленные жертвы торговли людьми (число),,,до 17 лет,,5
2021,Выявленные жертвы торговли людьми (число),,,до 17 лет,,1
2022,Выявленные жертвы торговли людьми (число),,,до 17 лет,,2
2023,Выявленные жертвы торговли людьми (число),,,до 17 лет,,5
2019,Выявленные жертвы торговли людьми (число),,,от 18 до 29 лет,,1
2021,Выявленные жертвы торговли людьми (число),,,от 18 до 29 лет,,4
2022,Выявленные жертвы торговли людьми (число),,,от 18 до 29 лет,,1
2023,Выявленные жертвы торговли людьми (число),,,от 18 до 29 лет,,12
2020,Выявленные жертвы торговли людьми (число),,,от 30 до 39 лет,,3
2019,"Выявленные жертвы торговли людьми для принудительного труда, подневольного состояния и рабства (число)",,,,,1
2020,"Выявленные жертвы торговли людьми для принудительного труда, подневольного состояния и рабства (число)",,,,,3
2021,"Выявленные жертвы торговли людьми для принудительного труда, подневольного состояния и рабства (число)",,,,,1
2023,"Выявленные жертвы торговли людьми для принудительного труда, подневольного состояния и рабства (число)",,,,,13
2021,Выявленные жертвы торговли людьми для сексуальной эксплуатации (число),,,,,2
2022,Выявленные жертвы торговли людьми для сексуальной эксплуатации (число),,,,,1
2021,Выявленные жертвы торговли людьми для других целей (число),,,,,2
