Year,Характер данных,Сноски на уровне наблюдения,SERIES,DATA_LAST_UPDATE,Value
2021,Данные на основе глобального мониторинга,"Measured on a commitment basis. Data gaps linked to providers reporting mobilised private finance to the OECD DAC (Creditor Reporting System) but not to TOSSD have been estimated (i.e. for Luxembourg, the European Bank for Reconstruction and Development and the World Bank).",Валовые поступления развивающихся стран мобилизованного частного финансирования (MPF) – на экспериментальной основе,2025-03-12T00:00:00,2.36152
2022,Данные на основе глобального мониторинга,"Measured on a commitment basis. Data gaps linked to providers reporting mobilised private finance to the OECD DAC (Creditor Reporting System) but not to TOSSD have been estimated (i.e. for Luxembourg, the European Bank for Reconstruction and Development and the World Bank).",Валовые поступления развивающихся стран мобилизованного частного финансирования (MPF) – на экспериментальной основе,2025-03-12T00:00:00,0.39442
2023,Данные на основе глобального мониторинга,"Measured on a commitment basis. Data gaps linked to providers reporting mobilised private finance to the OECD DAC (Creditor Reporting System) but not to TOSSD have been estimated (i.e. for Luxembourg, the European Bank for Reconstruction and Development and the World Bank).",Валовые поступления развивающихся стран мобилизованного частного финансирования (MPF) – на экспериментальной основе,2025-03-12T00:00:00,0.48091
2019,Данные на основе глобального мониторинга,Gross disbursements. Data gaps linked to providers reporting official concessional loans to the OECD DAC (Creditor Reporting System) but not to TOSSD have been estimated (i.e. for the World Bank).,Валовые поступления развивающихся стран по официальным льготным кредитам для устойчивого развития,2025-03-12T00:00:00,64.61795
2020,Данные на основе глобального мониторинга,Gross disbursements. Data gaps linked to providers reporting official concessional loans to the OECD DAC (Creditor Reporting System) but not to TOSSD have been estimated (i.e. for the World Bank).,Валовые поступления развивающихся стран по официальным льготным кредитам для устойчивого развития,2025-03-12T00:00:00,188.443
2021,Данные на основе глобального мониторинга,Gross disbursements. Data gaps linked to providers reporting official concessional loans to the OECD DAC (Creditor Reporting System) but not to TOSSD have been estimated (i.e. for the World Bank).,Валовые поступления развивающихся стран по официальным льготным кредитам для устойчивого развития,2025-03-12T00:00:00,163.29993
2022,Данные на основе глобального мониторинга,Gross disbursements. Data gaps linked to providers reporting official concessional loans to the OECD DAC (Creditor Reporting System) but not to TOSSD have been estimated (i.e. for the World Bank).,Валовые поступления развивающихся стран по официальным льготным кредитам для устойчивого развития,2025-03-12T00:00:00,591.49391
2023,Данные на основе глобального мониторинга,Gross disbursements. Data gaps linked to providers reporting official concessional loans to the OECD DAC (Creditor Reporting System) but not to TOSSD have been estimated (i.e. for the World Bank).,Валовые поступления развивающихся стран по официальным льготным кредитам для устойчивого развития,2025-03-12T00:00:00,184.48192
2019,Данные на основе глобального мониторинга,Gross disbursements. Data gaps linked to providers reporting official concessional loans to the OECD DAC (Creditor Reporting System) but not to TOSSD have been estimated (i.e. for the World Bank).,Валовые поступления развивающихся стран по официальным нельготным кредитам для устойчивого развития,2025-03-12T00:00:00,42.39013
2020,Данные на основе глобального мониторинга,Gross disbursements. Data gaps linked to providers reporting official concessional loans to the OECD DAC (Creditor Reporting System) but not to TOSSD have been estimated (i.e. for the World Bank).,Валовые поступления развивающихся стран по официальным нельготным кредитам для устойчивого развития,2025-03-12T00:00:00,36.45533
2021,Данные на основе глобального мониторинга,Gross disbursements. Data gaps linked to providers reporting official concessional loans to the OECD DAC (Creditor Reporting System) but not to TOSSD have been estimated (i.e. for the World Bank).,Валовые поступления развивающихся стран по официальным нельготным кредитам для устойчивого развития,2025-03-12T00:00:00,88.32749
2022,Данные на основе глобального мониторинга,Gross disbursements. Data gaps linked to providers reporting official concessional loans to the OECD DAC (Creditor Reporting System) but not to TOSSD have been estimated (i.e. for the World Bank).,Валовые поступления развивающихся стран по официальным нельготным кредитам для устойчивого развития,2025-03-12T00:00:00,108.0894
2023,Данные на основе глобального мониторинга,Gross disbursements. Data gaps linked to providers reporting official concessional loans to the OECD DAC (Creditor Reporting System) but not to TOSSD have been estimated (i.e. for the World Bank).,Валовые поступления развивающихся стран по официальным нельготным кредитам для устойчивого развития,2025-03-12T00:00:00,161.3002
2016,Данные на основе глобального мониторинга,Gross disbursements. ,Валовые поступления развивающихся стран по частным грантам,2025-03-12T00:00:00,0.01445
2017,Данные на основе глобального мониторинга,Gross disbursements. ,Валовые поступления развивающихся стран по частным грантам,2025-03-12T00:00:00,0.29999
2018,Данные на основе глобального мониторинга,Gross disbursements. ,Валовые поступления развивающихся стран по частным грантам,2025-03-12T00:00:00,0.00221
2019,Данные на основе глобального мониторинга,Gross disbursements. ,Валовые поступления развивающихся стран по частным грантам,2025-03-12T00:00:00,0.22375
2020,Данные на основе глобального мониторинга,Gross disbursements. ,Валовые поступления развивающихся стран по частным грантам,2025-03-12T00:00:00,0.10682
2021,Данные на основе глобального мониторинга,Gross disbursements. ,Валовые поступления развивающихся стран по частным грантам,2025-03-12T00:00:00,2.14
2022,Данные на основе глобального мониторинга,Gross disbursements. ,Валовые поступления развивающихся стран по частным грантам,2025-03-12T00:00:00,0.64695
1993,Страновые данные,,Приток прямых иностранных инвестиций (ПИИ),2025-03-27T00:00:00,10.0
1994,Страновые данные,,Приток прямых иностранных инвестиций (ПИИ),2025-03-27T00:00:00,38.18
1995,Страновые данные,,Приток прямых иностранных инвестиций (ПИИ),2025-03-27T00:00:00,96.0747
1996,Страновые данные,,Приток прямых иностранных инвестиций (ПИИ),2025-03-27T00:00:00,46.7927
1997,Страновые данные,,Приток прямых иностранных инвестиций (ПИИ),2025-03-27T00:00:00,83.0408
1998,Страновые данные,,Приток прямых иностранных инвестиций (ПИИ),2025-03-27T00:00:00,109.22848
1999,Страновые данные,,Приток прямых иностранных инвестиций (ПИИ),2025-03-27T00:00:00,44.413
2000,Страновые данные,,Приток прямых иностранных инвестиций (ПИИ),2025-03-27T00:00:00,-2.361
2001,Страновые данные,,Приток прямых иностранных инвестиций (ПИИ),2025-03-27T00:00:00,5.007
2002,Страновые данные,,Приток прямых иностранных инвестиций (ПИИ),2025-03-27T00:00:00,4.665
2003,Страновые данные,,Приток прямых иностранных инвестиций (ПИИ),2025-03-27T00:00:00,45.544
2004,Страновые данные,,Приток прямых иностранных инвестиций (ПИИ),2025-03-27T00:00:00,175.458
2005,Страновые данные,,Приток прямых иностранных инвестиций (ПИИ),2025-03-27T00:00:00,42.565
2006,Страновые данные,,Приток прямых иностранных инвестиций (ПИИ),2025-03-27T00:00:00,182.023
2007,Страновые данные,,Приток прямых иностранных инвестиций (ПИИ),2025-03-27T00:00:00,207.92
2008,Страновые данные,,Приток прямых иностранных инвестиций (ПИИ),2025-03-27T00:00:00,376.992
2009,Страновые данные,,Приток прямых иностранных инвестиций (ПИИ),2025-03-27T00:00:00,189.377
2010,Страновые данные,,Приток прямых иностранных инвестиций (ПИИ),2025-03-27T00:00:00,437.586
2011,Страновые данные,,Приток прямых иностранных инвестиций (ПИИ),2025-03-27T00:00:00,693.528
2012,Страновые данные,,Приток прямых иностранных инвестиций (ПИИ),2025-03-27T00:00:00,292.0
2013,Страновые данные,,Приток прямых иностранных инвестиций (ПИИ),2025-03-27T00:00:00,626.0937
2014,Страновые данные,,Приток прямых иностранных инвестиций (ПИИ),2025-03-27T00:00:00,248.0
2015,Страновые данные,,Приток прямых иностранных инвестиций (ПИИ),2025-03-27T00:00:00,1141.8836
2016,Страновые данные,,Приток прямых иностранных инвестиций (ПИИ),2025-03-27T00:00:00,616.0
2017,Страновые данные,,Приток прямых иностранных инвестиций (ПИИ),2025-03-27T00:00:00,-107.0
2018,Страновые данные,,Приток прямых иностранных инвестиций (ПИИ),2025-03-27T00:00:00,144.2226
2019,Страновые данные,,Приток прямых иностранных инвестиций (ПИИ),2025-03-27T00:00:00,403.8651
2020,Страновые данные,,Приток прямых иностранных инвестиций (ПИИ),2025-03-27T00:00:00,-401.519
2021,Страновые данные,,Приток прямых иностранных инвестиций (ПИИ),2025-03-27T00:00:00,226.2054
2022,Страновые данные,,Приток прямых иностранных инвестиций (ПИИ),2025-03-27T00:00:00,54.9
2023,Страновые данные,,Приток прямых иностранных инвестиций (ПИИ),2025-03-27T00:00:00,159.0
