Year,Сноски на уровне наблюдения,SERIES,Value
2013,"Gross disbursements, Based on OECD, CRS database, 2025, Constant 2023 USD million","Общие валовые официальные выплаты, направленные на медицинские исследования и в основные отрасли здравоохранения, по получателям ",18.495666
2014,"Gross disbursements, Based on OECD, CRS database, 2025, Constant 2023 USD million","Общие валовые официальные выплаты, направленные на медицинские исследования и в основные отрасли здравоохранения, по получателям ",27.755716
2015,"Gross disbursements, Based on OECD, CRS database, 2025, Constant 2023 USD million","Общие валовые официальные выплаты, направленные на медицинские исследования и в основные отрасли здравоохранения, по получателям ",25.178603
2016,"Gross disbursements, Based on OECD, CRS database, 2025, Constant 2023 USD million","Общие валовые официальные выплаты, направленные на медицинские исследования и в основные отрасли здравоохранения, по получателям ",20.458502
2017,"Gross disbursements, Based on OECD, CRS database, 2025, Constant 2023 USD million","Общие валовые официальные выплаты, направленные на медицинские исследования и в основные отрасли здравоохранения, по получателям ",28.459347
2018,"Gross disbursements, Based on OECD, CRS database, 2025, Constant 2023 USD million","Общие валовые официальные выплаты, направленные на медицинские исследования и в основные отрасли здравоохранения, по получателям ",28.93613
2019,"Gross disbursements, Based on OECD, CRS database, 2025, Constant 2023 USD million","Общие валовые официальные выплаты, направленные на медицинские исследования и в основные отрасли здравоохранения, по получателям ",22.564909
2020,"Gross disbursements, Based on OECD, CRS database, 2025, Constant 2023 USD million","Общие валовые официальные выплаты, направленные на медицинские исследования и в основные отрасли здравоохранения, по получателям ",25.867845
2021,"Gross disbursements, Based on OECD, CRS database, 2025, Constant 2023 USD million","Общие валовые официальные выплаты, направленные на медицинские исследования и в основные отрасли здравоохранения, по получателям ",34.254726
2022,"Gross disbursements, Based on OECD, CRS database, 2025, Constant 2023 USD million","Общие валовые официальные выплаты, направленные на медицинские исследования и в основные отрасли здравоохранения, по получателям ",50.390434
2023,"Gross disbursements, Based on OECD, CRS database, 2025, Constant 2023 USD million","Общие валовые официальные выплаты, направленные на медицинские исследования и в основные отрасли здравоохранения, по получателям ",29.919343
2010,"Net disbursements, Based on OECD, CRS database, 2025, Constant 2023 USD million","Общий чистый объем официальных выплат, направленных на медицинские исследования и в основные отрасли здравоохранения, по получателям",11.7237
2011,"Net disbursements, Based on OECD, CRS database, 2025, Constant 2023 USD million","Общий чистый объем официальных выплат, направленных на медицинские исследования и в основные отрасли здравоохранения, по получателям",22.1136
2012,"Net disbursements, Based on OECD, CRS database, 2025, Constant 2023 USD million","Общий чистый объем официальных выплат, направленных на медицинские исследования и в основные отрасли здравоохранения, по получателям",21.7485
2013,"Net disbursements, Based on OECD, CRS database, 2025, Constant 2023 USD million","Общий чистый объем официальных выплат, направленных на медицинские исследования и в основные отрасли здравоохранения, по получателям",18.1722
2014,"Net disbursements, Based on OECD, CRS database, 2025, Constant 2023 USD million","Общий чистый объем официальных выплат, направленных на медицинские исследования и в основные отрасли здравоохранения, по получателям",27.4303
2015,"Net disbursements, Based on OECD, CRS database, 2025, Constant 2023 USD million","Общий чистый объем официальных выплат, направленных на медицинские исследования и в основные отрасли здравоохранения, по получателям",24.8643
2016,"Net disbursements, Based on OECD, CRS database, 2025, Constant 2023 USD million","Общий чистый объем официальных выплат, направленных на медицинские исследования и в основные отрасли здравоохранения, по получателям",19.8705
2017,"Net disbursements, Based on OECD, CRS database, 2025, Constant 2023 USD million","Общий чистый объем официальных выплат, направленных на медицинские исследования и в основные отрасли здравоохранения, по получателям",27.8608
2018,"Net disbursements, Based on OECD, CRS database, 2025, Constant 2023 USD million","Общий чистый объем официальных выплат, направленных на медицинские исследования и в основные отрасли здравоохранения, по получателям",26.7972
2019,"Net disbursements, Based on OECD, CRS database, 2025, Constant 2023 USD million","Общий чистый объем официальных выплат, направленных на медицинские исследования и в основные отрасли здравоохранения, по получателям",22.0063
2020,"Net disbursements, Based on OECD, CRS database, 2025, Constant 2023 USD million","Общий чистый объем официальных выплат, направленных на медицинские исследования и в основные отрасли здравоохранения, по получателям",25.2005
2021,"Net disbursements, Based on OECD, CRS database, 2025, Constant 2023 USD million","Общий чистый объем официальных выплат, направленных на медицинские исследования и в основные отрасли здравоохранения, по получателям",33.69
2022,"Net disbursements, Based on OECD, CRS database, 2025, Constant 2023 USD million","Общий чистый объем официальных выплат, направленных на медицинские исследования и в основные отрасли здравоохранения, по получателям",49.7987
2023,"Net disbursements, Based on OECD, CRS database, 2025, Constant 2023 USD million","Общий чистый объем официальных выплат, направленных на медицинские исследования и в основные отрасли здравоохранения, по получателям",26.9385
