Year,PRODUCT,Value
2015,_L_AGG_FRUITS_BERRIES,25.16129
2016,_L_AGG_FRUITS_BERRIES,34.919355
2017,_L_AGG_FRUITS_BERRIES,34.5
2018,_L_AGG_FRUITS_BERRIES,27.081649
2019,_L_AGG_FRUITS_BERRIES,33.872272
2020,_L_AGG_FRUITS_BERRIES,26.919968
2021,_L_AGG_FRUITS_BERRIES,26.273242
2022,_L_AGG_FRUITS_BERRIES,36.054972
2010,_L_AGG_WHEATS,146.666259
2011,_L_AGG_WHEATS,146.492793
2012,_L_AGG_WHEATS,145.712192
2013,_L_AGG_WHEATS,147.44686
2014,_L_AGG_WHEATS,147.44686
2015,_L_AGG_WHEATS,146.579526
2016,_L_AGG_WHEATS,143.659907
2017,_L_AGG_WHEATS,129.855851
2018,_L_AGG_WHEATS,102.12558
2019,_L_AGG_WHEATS,99.315905
2020,_L_AGG_WHEATS,107.378451
2021,_L_AGG_WHEATS,85.02321
2022,_L_AGG_WHEATS,106.767652
2010,_L_AGG_FISH,16.483516
2011,_L_AGG_FISH,20.879121
2012,_L_AGG_FISH,20.879121
2013,_L_AGG_FISH,20.879121
2014,_L_AGG_FISH,20.879121
2015,_L_AGG_FISH,20.879121
2016,_L_AGG_FISH,20.879121
2017,_L_AGG_FISH,9.602909
2018,_L_AGG_FISH,12.087912
2019,_L_AGG_FISH,65.934066
2020,_L_AGG_FISH,10.989011
2021,_L_AGG_FISH,15.384615
2022,_L_AGG_FISH,32.967033
