Year,Value,Unit multiplier,UNIT_MEASURE,SERIES
2011,-13663.7111,Millions,Local currency,"Budget deficit and sources of financing, milllion soms"
2012,-20232.3134,Millions,Local currency,"Budget deficit and sources of financing, milllion soms"
2013,-2330.4823,Millions,Local currency,"Budget deficit and sources of financing, milllion soms"
2014,-1875.5431,Millions,Local currency,"Budget deficit and sources of financing, milllion soms"
2015,-6149.3213,Millions,Local currency,"Budget deficit and sources of financing, milllion soms"
2016,-20888.9124,Millions,Local currency,"Budget deficit and sources of financing, milllion soms"
2017,-16476.1602,Millions,Local currency,"Budget deficit and sources of financing, milllion soms"
2018,-6188.9008,Millions,Local currency,"Budget deficit and sources of financing, milllion soms"
2019,-431.7092,Millions,Local currency,"Budget deficit and sources of financing, milllion soms"
2020,-19734.0366,Millions,Local currency,"Budget deficit and sources of financing, milllion soms"
2010,131557.5,Millions,Local currency,"Volume of public debt, million soms"
2011,143154.1,Millions,Local currency,"Volume of public debt, million soms"
2012,156719.4,Millions,Local currency,"Volume of public debt, million soms"
2013,167431.8,Millions,Local currency,"Volume of public debt, million soms"
2014,214759.1,Millions,Local currency,"Volume of public debt, million soms"
2015,289195.5,Millions,Local currency,"Volume of public debt, million soms"
2016,281450.9,Millions,Local currency,"Volume of public debt, million soms"
2017,311846.2,Millions,Local currency,"Volume of public debt, million soms"
2018,311834.6,Millions,Local currency,"Volume of public debt, million soms"
2019,319474.6,Millions,Local currency,"Volume of public debt, million soms"
2020,407116.85,Millions,Local currency,"Volume of public debt, million soms"
2010,105.6,Units,Percent,"Foreign trade, as a percentage of the previous year"
2011,130.62446,Units,Percent,"Foreign trade, as a percentage of the previous year"
2012,115.384261,Units,Percent,"Foreign trade, as a percentage of the previous year"
2013,106.528605,Units,Percent,"Foreign trade, as a percentage of the previous year"
2014,95.30386,Units,Percent,"Foreign trade, as a percentage of the previous year"
2015,73.989322,Units,Percent,"Foreign trade, as a percentage of the previous year"
2016,98.878752,Units,Percent,"Foreign trade, as a percentage of the previous year"
2017,112.297259,Units,Percent,"Foreign trade, as a percentage of the previous year"
2018,113.896789,Units,Percent,"Foreign trade, as a percentage of the previous year"
2019,97.8,Units,Percent,"Foreign trade, as a percentage of the previous year"
2020,81.6,Units,Percent,"Foreign trade, as a percentage of the previous year"
2010,1755.9245,Millions,USD,"Export, million USD"
2011,2242.1664,Millions,USD,"Export, million USD"
2012,1927.6232,Millions,USD,"Export, million USD"
2013,2006.8497,Millions,USD,"Export, million USD"
2014,1883.733456,Millions,USD,"Export, million USD"
2015,1482.942034,Millions,USD,"Export, million USD"
2016,1573.21493,Millions,USD,"Export, million USD"
2017,1764.254644,Millions,USD,"Export, million USD"
2018,1836.838696,Millions,USD,"Export, million USD"
2019,1986.11,Millions,USD,"Export, million USD"
2020,1973.2,Millions,USD,"Export, million USD"
2010,3222.772182,Millions,USD,"Import, million USD"
2011,4261.226418,Millions,USD,"Import, million USD"
2012,5576.264131,Millions,USD,"Import, million USD"
2013,5986.983003,Millions,USD,"Import, million USD"
2014,5734.703808,Millions,USD,"Import, million USD"
2015,4153.86051,Millions,USD,"Import, million USD"
2016,4000.442107,Millions,USD,"Import, million USD"
2017,4494.728178,Millions,USD,"Import, million USD"
2018,5291.945776,Millions,USD,"Import, million USD"
2019,4989.01,Millions,USD,"Import, million USD"
2020,3718.8,Millions,USD,"Import, million USD"
