Year,concept.SEX,concept.AGE,concept.URBANISATION,concept.ACTIVITY,Value
2013,,CL_AGE.Y_GE70,,,7.5
2014,,CL_AGE.Y_GE70,,,6.9
2015,,CL_AGE.Y_GE70,,,7.0
2016,,CL_AGE.Y_GE70,,,6.3
2017,,CL_AGE.Y_GE70,,,4.3
2018,,CL_AGE.Y_GE70,,,4.1
2007,,,CL_URBANISATION.U,,396.7
2008,,,CL_URBANISATION.U,,421.9
2009,,,CL_URBANISATION.U,,431.7
2010,,,CL_URBANISATION.U,,414.4
2011,,,CL_URBANISATION.U,,419.3
2012,,,CL_URBANISATION.U,,408.0
2013,,,CL_URBANISATION.U,,418.6
2014,,,CL_URBANISATION.U,,433.7
2015,,,CL_URBANISATION.U,,460.0
2016,,,CL_URBANISATION.U,,489.0
2017,,,CL_URBANISATION.U,,526.3
2018,,,CL_URBANISATION.U,,541.6
2007,,,CL_URBANISATION.R,,1118.1
2008,,,CL_URBANISATION.R,,1137.7
2009,,,CL_URBANISATION.R,,1161.2
2010,,,CL_URBANISATION.R,,1175.2
2011,,,CL_URBANISATION.R,,1184.6
2012,,,CL_URBANISATION.R,,1194.8
2013,,,CL_URBANISATION.R,,1210.5
2014,,,CL_URBANISATION.R,,1219.3
2015,,,CL_URBANISATION.R,,1226.5
2016,,,CL_URBANISATION.R,,1194.0
2017,,,CL_URBANISATION.R,,1085.0
2018,,,CL_URBANISATION.R,,1145.3
2007,,,,CL_ACTIVITY.ISIC4_A,755.3
2008,,,,CL_ACTIVITY.ISIC4_A,767.0
2009,,,,CL_ACTIVITY.ISIC4_A,740.5
2010,,,,CL_ACTIVITY.ISIC4_A,720.7
2011,,,,CL_ACTIVITY.ISIC4_A,719.4
2012,,,,CL_ACTIVITY.ISIC4_A,711.4
2013,,,,CL_ACTIVITY.ISIC4_A,731.6
2014,,,,CL_ACTIVITY.ISIC4_A,749.0
2015,,,,CL_ACTIVITY.ISIC4_A,710.1
2016,,,,CL_ACTIVITY.ISIC4_A,656.5
2017,,,,CL_ACTIVITY.ISIC4_A,497.7
2018,,,,CL_ACTIVITY.ISIC4_A,463.0
2007,,,,CL_ACTIVITY.ISIC4_BTE,106.6
2008,,,,CL_ACTIVITY.ISIC4_BTE,110.4
2009,,,,CL_ACTIVITY.ISIC4_BTE,114.7
2010,,,,CL_ACTIVITY.ISIC4_BTE,114.0
2011,,,,CL_ACTIVITY.ISIC4_BTE,111.3
2012,,,,CL_ACTIVITY.ISIC4_BTE,115.3
2013,,,,CL_ACTIVITY.ISIC4_BTE,102.2
2014,,,,CL_ACTIVITY.ISIC4_BTE,108.5
2015,,,,CL_ACTIVITY.ISIC4_BTE,117.7
2016,,,,CL_ACTIVITY.ISIC4_BTE,117.1
2017,,,,CL_ACTIVITY.ISIC4_BTE,160.5
2018,,,,CL_ACTIVITY.ISIC4_BTE,225.0
2007,,,,CL_ACTIVITY.ISIC4_F,172.5
2008,,,,CL_ACTIVITY.ISIC4_F,180.9
2009,,,,CL_ACTIVITY.ISIC4_F,204.7
2010,,,,CL_ACTIVITY.ISIC4_F,197.7
2011,,,,CL_ACTIVITY.ISIC4_F,204.9
2012,,,,CL_ACTIVITY.ISIC4_F,222.4
2013,,,,CL_ACTIVITY.ISIC4_F,210.0
2014,,,,CL_ACTIVITY.ISIC4_F,209.3
2015,,,,CL_ACTIVITY.ISIC4_F,222.7
2016,,,,CL_ACTIVITY.ISIC4_F,250.3
2017,,,,CL_ACTIVITY.ISIC4_F,221.8
2018,,,,CL_ACTIVITY.ISIC4_F,217.0
2007,,,,CL_ACTIVITY.ISIC4_S,480.4
2008,,,,CL_ACTIVITY.ISIC4_S,501.4
2009,,,,CL_ACTIVITY.ISIC4_S,533.1
2010,,,,CL_ACTIVITY.ISIC4_S,557.2
2011,,,,CL_ACTIVITY.ISIC4_S,568.4
2012,,,,CL_ACTIVITY.ISIC4_S,553.7
2013,,,,CL_ACTIVITY.ISIC4_S,585.2
2014,,,,CL_ACTIVITY.ISIC4_S,586.2
2015,,,,CL_ACTIVITY.ISIC4_S,635.7
2016,,,,CL_ACTIVITY.ISIC4_S,659.1
2017,,,,CL_ACTIVITY.ISIC4_S,731.3
2018,,,,CL_ACTIVITY.ISIC4_S,781.9
