Year,REF_AREA,AGE,URBANISATION,UNIT_MEASURE,GeoCode,Value
2016,KG21,,,PER_100000_LIVE_BIRTHS,KG21,13.5
2017,KG21,,,PER_100000_LIVE_BIRTHS,KG21,51.9
2018,KG21,,,PER_100000_LIVE_BIRTHS,KG21,16.7
2020,KG21,,,PER_100000_LIVE_BIRTHS,KG21,33.6
2021,KG21,,,PER_100000_LIVE_BIRTHS,KG21,16.5
2023,KG21,,,PER_100000_LIVE_BIRTHS,KG21,14.0
2024,KG21,,,PER_100000_LIVE_BIRTHS,KG21,8.6
2015,,,U,NUMBER,,14.0
2016,,,U,NUMBER,,8.0
2017,,,U,NUMBER,,10.0
2018,,,U,NUMBER,,16.0
2019,,,U,NUMBER,,13.0
2020,,,U,NUMBER,,17.0
2021,,,U,NUMBER,,10.0
2022,,,U,NUMBER,,12.0
2023,,,U,NUMBER,,8.0
2024,,,U,NUMBER,,10.0
2015,,,R,NUMBER,,49.0
2016,,,R,NUMBER,,40.0
2017,,,R,NUMBER,,38.0
2018,,,R,NUMBER,,35.0
2019,,,R,NUMBER,,30.0
2020,,,R,NUMBER,,50.0
2021,,,R,NUMBER,,47.0
2022,,,R,NUMBER,,29.0
2023,,,R,NUMBER,,30.0
2024,,,R,NUMBER,,26.0
2015,,Y15T19,,NUMBER,,5.0
2016,,Y15T19,,NUMBER,,3.0
2017,,Y15T19,,NUMBER,,1.0
2018,,Y15T19,,NUMBER,,5.0
2019,,Y15T19,,NUMBER,,1.0
2020,,Y15T19,,NUMBER,,2.0
2021,,Y15T19,,NUMBER,,6.0
2023,,Y15T19,,NUMBER,,1.0
2024,,Y15T19,,NUMBER,,1.0
2015,,Y20T24,,NUMBER,,11.0
2016,,Y20T24,,NUMBER,,8.0
2017,,Y20T24,,NUMBER,,6.0
2018,,Y20T24,,NUMBER,,16.0
2019,,Y20T24,,NUMBER,,10.0
2020,,Y20T24,,NUMBER,,13.0
2021,,Y20T24,,NUMBER,,12.0
2022,,Y20T24,,NUMBER,,12.0
2023,,Y20T24,,NUMBER,,7.0
2024,,Y20T24,,NUMBER,,11.0
2015,,Y25T29,,NUMBER,,19.0
2016,,Y25T29,,NUMBER,,11.0
2017,,Y25T29,,NUMBER,,13.0
2018,,Y25T29,,NUMBER,,7.0
2019,,Y25T29,,NUMBER,,9.0
2020,,Y25T29,,NUMBER,,16.0
2021,,Y25T29,,NUMBER,,11.0
2022,,Y25T29,,NUMBER,,6.0
2023,,Y25T29,,NUMBER,,9.0
2024,,Y25T29,,NUMBER,,3.0
2015,,Y30T34,,NUMBER,,12.0
2016,,Y30T34,,NUMBER,,11.0
2017,,Y30T34,,NUMBER,,16.0
2018,,Y30T34,,NUMBER,,11.0
2019,,Y30T34,,NUMBER,,16.0
2020,,Y30T34,,NUMBER,,9.0
2021,,Y30T34,,NUMBER,,15.0
2022,,Y30T34,,NUMBER,,18.0
2023,,Y30T34,,NUMBER,,10.0
2024,,Y30T34,,NUMBER,,7.0
2015,,Y35T39,,NUMBER,,12.0
2016,,Y35T39,,NUMBER,,13.0
2017,,Y35T39,,NUMBER,,10.0
2018,,Y35T39,,NUMBER,,9.0
2019,,Y35T39,,NUMBER,,4.0
2020,,Y35T39,,NUMBER,,16.0
2021,,Y35T39,,NUMBER,,6.0
2022,,Y35T39,,NUMBER,,4.0
2023,,Y35T39,,NUMBER,,7.0
2024,,Y35T39,,NUMBER,,10.0
2015,,Y40T44,,NUMBER,,4.0
2016,,Y40T44,,NUMBER,,1.0
2017,,Y40T44,,NUMBER,,2.0
2018,,Y40T44,,NUMBER,,3.0
2019,,Y40T44,,NUMBER,,3.0
2020,,Y40T44,,NUMBER,,10.0
2021,,Y40T44,,NUMBER,,7.0
2022,,Y40T44,,NUMBER,,1.0
2023,,Y40T44,,NUMBER,,4.0
2024,,Y40T44,,NUMBER,,4.0
2016,,Y45T49,,NUMBER,,1.0
2020,,Y45T49,,NUMBER,,1.0
