Year,REF_AREA,SEX,URBANISATION,INCOME_WEALTH_QUANTILE,EDUCATION_LEV,COMMENT_OBS,GeoCode,Value
2021,,,,,ISCED11_3,Образование главы домохозяйства,,14.552442
2022,,,,,ISCED11_3,Образование главы домохозяйства,,15.870421
2023,,,,,ISCED11_3,Образование главы домохозяйства,,20.618935
2018,,,,,ISCED11_4,Образование главы домохозяйства,,19.7
2019,,,,,ISCED11_4,Образование главы домохозяйства,,28.63316
2020,,,,,ISCED11_4,Образование главы домохозяйства,,26.911668
2021,,,,,ISCED11_4,Образование главы домохозяйства,,25.664207
2022,,,,,ISCED11_4,Образование главы домохозяйства,,27.049901
2023,,,,,ISCED11_4,Образование главы домохозяйства,,22.148259
2018,,,,,ISCED11_6_7,Образование главы домохозяйства,,38.9
2019,,,,,ISCED11_6_7,Образование главы домохозяйства,,43.47959
2020,,,,,ISCED11_6_7,Образование главы домохозяйства,,43.203737
2021,,,,,ISCED11_6_7,Образование главы домохозяйства,,42.28483
2022,,,,,ISCED11_6_7,Образование главы домохозяйства,,44.103777
2023,,,,,ISCED11_6_7,Образование главы домохозяйства,,21.800265
2018,,,,Q1,,,,10.0
2019,,,,Q1,,,,161.0
2020,,,,Q1,,,,178.0
2021,,,,Q1,,,,176.0
2022,,,,Q1,,,,168.0
2023,,,,Q1,,,,151.0
2018,,,,Q2,,,,2.6
2019,,,,Q2,,,,19.894537
2020,,,,Q2,,,,19.792564
2021,,,,Q2,,,,19.024458
2022,,,,Q2,,,,20.29754
2023,,,,Q2,,,,17.066945
2018,,,,Q3,,,,6.1
2019,,,,Q3,,,,23.388382
2020,,,,Q3,,,,25.632521
2021,,,,Q3,,,,20.90386
2022,,,,Q3,,,,20.462653
2023,,,,Q3,,,,17.117857
2018,,,,Q4,,,,9.3
2019,,,,Q4,,,,28.436681
2020,,,,Q4,,,,25.947289
2021,,,,Q4,,,,25.414722
2022,,,,Q4,,,,29.734732
2023,,,,Q4,,,,22.725888
2018,,,,Q5,,,,76.9
2019,,,,Q5,,,,29.400431
2020,,,,Q5,,,,26.109187
2021,,,,Q5,,,,23.244428
2022,,,,Q5,,,,24.710164
2023,,,,Q5,,,,27.767655
