Year,SERIES,REF_AREA,AGE,URBANISATION,INCOME_WEALTH_QUANTILE,EDUCATION_LEV,DISABILITY_STATUS,GeoCode,Value
2018,SP_DYN_MRBF18,,Y0T18,,,ISCED11_2,,,303.0
2023,SP_DYN_MRBF18,,Y0T18,,,ISCED11_2,,,260.0
2018,SP_DYN_MRBF18,,Y0T18,,,ISCED11_3,,,213.0
2023,SP_DYN_MRBF18,,Y0T18,,,ISCED11_3,,,176.0
2018,SP_DYN_MRBF18,,Y0T18,,,ISCED11_4,,,60.0
2023,SP_DYN_MRBF18,,Y0T18,,,ISCED11_4,,,45.0
2018,SP_DYN_MRBF18,,Y0T18,,,ISCED11_5,,,26.0
2023,SP_DYN_MRBF18,,Y0T18,,,ISCED11_5,,,11.0
2018,SP_DYN_MRBF18,,Y0T18,,,,PWD,,127.0
2023,SP_DYN_MRBF18,,Y0T18,,,,PWD,,93.0
2018,SP_DYN_MRBF18,,Y0T18,,Q1,,,,118.0
2023,SP_DYN_MRBF18,,Y0T18,,Q1,,,,194.0
2018,SP_DYN_MRBF18,,Y0T18,,Q2,,,,197.0
2023,SP_DYN_MRBF18,,Y0T18,,Q2,,,,101.0
2018,SP_DYN_MRBF18,,Y0T18,,Q3,,,,144.0
2023,SP_DYN_MRBF18,,Y0T18,,Q3,,,,88.0
2018,SP_DYN_MRBF18,,Y0T18,,Q4,,,,125.0
2023,SP_DYN_MRBF18,,Y0T18,,Q4,,,,87.0
2018,SP_DYN_MRBF18,,Y0T18,,Q5,,,,64.0
2023,SP_DYN_MRBF18,,Y0T18,,Q5,,,,24.0
