Year,SDG Series,Reference area,Age,Value
2018,"Proportion of women aged 15-49 years with anaemia, pregnant [2.2.3]",Issyk-Kul,,313.0
2019,"Proportion of women aged 15-49 years with anaemia, pregnant [2.2.3]",Issyk-Kul,,268.0
2020,"Proportion of women aged 15-49 years with anaemia, pregnant [2.2.3]",Issyk-Kul,,295.0
2021,"Proportion of women aged 15-49 years with anaemia, pregnant [2.2.3]",Issyk-Kul,,231.0
2015,"Proportion of women aged 15-49 years with anaemia, pregnant [2.2.3]",Naryn,,371.0
2016,"Proportion of women aged 15-49 years with anaemia, pregnant [2.2.3]",Naryn,,344.0
2017,"Proportion of women aged 15-49 years with anaemia, pregnant [2.2.3]",Naryn,,325.0
2018,"Proportion of women aged 15-49 years with anaemia, pregnant [2.2.3]",Naryn,,275.0
2019,"Proportion of women aged 15-49 years with anaemia, pregnant [2.2.3]",Naryn,,203.0
2020,"Proportion of women aged 15-49 years with anaemia, pregnant [2.2.3]",Naryn,,187.0
2021,"Proportion of women aged 15-49 years with anaemia, pregnant [2.2.3]",Naryn,,198.0
2015,"Proportion of women aged 15-49 years with anaemia, pregnant [2.2.3]",Osh,,406.0
2016,"Proportion of women aged 15-49 years with anaemia, pregnant [2.2.3]",Osh,,440.0
2017,"Proportion of women aged 15-49 years with anaemia, pregnant [2.2.3]",Osh,,498.0
2018,"Proportion of women aged 15-49 years with anaemia, pregnant [2.2.3]",Osh,,490.0
2019,"Proportion of women aged 15-49 years with anaemia, pregnant [2.2.3]",Osh,,468.0
2020,"Proportion of women aged 15-49 years with anaemia, pregnant [2.2.3]",Osh,,256.0
2021,"Proportion of women aged 15-49 years with anaemia, pregnant [2.2.3]",Osh,,235.0
2015,"Proportion of women aged 15-49 years with anaemia, pregnant [2.2.3]",Talas,,488.0
2016,"Proportion of women aged 15-49 years with anaemia, pregnant [2.2.3]",Talas,,619.0
2017,"Proportion of women aged 15-49 years with anaemia, pregnant [2.2.3]",Talas,,516.0
2018,"Proportion of women aged 15-49 years with anaemia, pregnant [2.2.3]",Talas,,397.0
2019,"Proportion of women aged 15-49 years with anaemia, pregnant [2.2.3]",Talas,,322.0
2020,"Proportion of women aged 15-49 years with anaemia, pregnant [2.2.3]",Talas,,419.0
2021,"Proportion of women aged 15-49 years with anaemia, pregnant [2.2.3]",Talas,,334.0
2015,"Proportion of women aged 15-49 years with anaemia, pregnant [2.2.3]",Chui,,315.0
2016,"Proportion of women aged 15-49 years with anaemia, pregnant [2.2.3]",Chui,,340.0
2017,"Proportion of women aged 15-49 years with anaemia, pregnant [2.2.3]",Chui,,312.0
2018,"Proportion of women aged 15-49 years with anaemia, pregnant [2.2.3]",Chui,,358.0
2019,"Proportion of women aged 15-49 years with anaemia, pregnant [2.2.3]",Chui,,301.0
2020,"Proportion of women aged 15-49 years with anaemia, pregnant [2.2.3]",Chui,,248.0
2021,"Proportion of women aged 15-49 years with anaemia, pregnant [2.2.3]",Chui,,272.0
2015,"Proportion of women aged 15-49 years with anaemia, pregnant [2.2.3]",Bishkek (city),,679.0
2016,"Proportion of women aged 15-49 years with anaemia, pregnant [2.2.3]",Bishkek (city),,536.0
2017,"Proportion of women aged 15-49 years with anaemia, pregnant [2.2.3]",Bishkek (city),,543.0
2018,"Proportion of women aged 15-49 years with anaemia, pregnant [2.2.3]",Bishkek (city),,994.0
2019,"Proportion of women aged 15-49 years with anaemia, pregnant [2.2.3]",Bishkek (city),,614.0
2020,"Proportion of women aged 15-49 years with anaemia, pregnant [2.2.3]",Bishkek (city),,479.0
2021,"Proportion of women aged 15-49 years with anaemia, pregnant [2.2.3]",Bishkek (city),,426.0
2015,"Proportion of women aged 15-49 years with anaemia, pregnant [2.2.3]",Osh (city),,387.0
2016,"Proportion of women aged 15-49 years with anaemia, pregnant [2.2.3]",Osh (city),,481.0
2017,"Proportion of women aged 15-49 years with anaemia, pregnant [2.2.3]",Osh (city),,412.0
2018,"Proportion of women aged 15-49 years with anaemia, pregnant [2.2.3]",Osh (city),,312.0
2019,"Proportion of women aged 15-49 years with anaemia, pregnant [2.2.3]",Osh (city),,321.0
2020,"Proportion of women aged 15-49 years with anaemia, pregnant [2.2.3]",Osh (city),,381.0
2021,"Proportion of women aged 15-49 years with anaemia, pregnant [2.2.3]",Osh (city),,343.0
