Year,Series,REF_AREA,SEX,Value
2017,SL_EMP_INJUR,KG03,F,2.431907
2018,SL_EMP_INJUR,KG03,F,10.021295
2019,SL_EMP_INJUR,KG03,F,12.497813
2007,SL_EMP_INJUR,KG03,M,107.999691
2008,SL_EMP_INJUR,KG03,M,69.552022
2009,SL_EMP_INJUR,KG03,M,91.481651
2010,SL_EMP_INJUR,KG03,M,82.904418
2011,SL_EMP_INJUR,KG03,M,75.539074
2012,SL_EMP_INJUR,KG03,M,64.422066
2013,SL_EMP_INJUR,KG03,M,76.931147
2014,SL_EMP_INJUR,KG03,M,42.560157
2015,SL_EMP_INJUR,KG03,M,43.027937
2016,SL_EMP_INJUR,KG03,M,46.269163
2017,SL_EMP_INJUR,KG03,M,29.022521
2018,SL_EMP_INJUR,KG03,M,86.089589
2019,SL_EMP_INJUR,KG03,M,16.286203
2007,SL_EMP_INJUR,KG02,,21.018891
2008,SL_EMP_INJUR,KG02,,31.755273
2009,SL_EMP_INJUR,KG02,,19.005213
2010,SL_EMP_INJUR,KG02,,67.94721
2011,SL_EMP_INJUR,KG02,,31.154266
2012,SL_EMP_INJUR,KG02,,24.58479
2013,SL_EMP_INJUR,KG02,,44.681578
2014,SL_EMP_INJUR,KG02,,29.214916
2015,SL_EMP_INJUR,KG02,,51.98586
2016,SL_EMP_INJUR,KG02,,44.752152
2017,SL_EMP_INJUR,KG02,,18.566162
2018,SL_EMP_INJUR,KG02,,10.143788
2019,SL_EMP_INJUR,KG02,,7.904722
2007,SL_EMP_INJUR,KG02,F,15.759613
2008,SL_EMP_INJUR,KG02,F,5.282341
2010,SL_EMP_INJUR,KG02,F,10.077598
2011,SL_EMP_INJUR,KG02,F,5.041339
2012,SL_EMP_INJUR,KG02,F,10.163635
2013,SL_EMP_INJUR,KG02,F,10.07709
2014,SL_EMP_INJUR,KG02,F,5.059449
2015,SL_EMP_INJUR,KG02,F,9.607071
2016,SL_EMP_INJUR,KG02,F,19.536974
2017,SL_EMP_INJUR,KG02,F,14.912019
2019,SL_EMP_INJUR,KG02,F,4.837695
2007,SL_EMP_INJUR,KG02,M,26.281209
2008,SL_EMP_INJUR,KG02,M,58.330682
2009,SL_EMP_INJUR,KG02,M,36.972482
2010,SL_EMP_INJUR,KG02,M,130.300233
2011,SL_EMP_INJUR,KG02,M,58.880206
2012,SL_EMP_INJUR,KG02,M,41.346722
2013,SL_EMP_INJUR,KG02,M,82.417582
2014,SL_EMP_INJUR,KG02,M,55.906524
2015,SL_EMP_INJUR,KG02,M,101.959896
2016,SL_EMP_INJUR,KG02,M,74.230572
2017,SL_EMP_INJUR,KG02,M,22.746659
2018,SL_EMP_INJUR,KG02,M,22.373867
2019,SL_EMP_INJUR,KG02,M,11.573404
2007,SL_EMP_INJUR,KG04,,17.955739
2008,SL_EMP_INJUR,KG04,,26.688017
2009,SL_EMP_INJUR,KG04,,4.326569
2010,SL_EMP_INJUR,KG04,,30.101054
2011,SL_EMP_INJUR,KG04,,12.66464
2012,SL_EMP_INJUR,KG04,,24.857072
2013,SL_EMP_INJUR,KG04,,8.224022
2014,SL_EMP_INJUR,KG04,,12.259409
2015,SL_EMP_INJUR,KG04,,3.700278
2016,SL_EMP_INJUR,KG04,,35.364847
2019,SL_EMP_INJUR,KG04,,7.69586
2007,SL_EMP_INJUR,KG04,F,8.371003
2010,SL_EMP_INJUR,KG04,F,7.789375
2012,SL_EMP_INJUR,KG04,F,14.91758
2007,SL_EMP_INJUR,KG04,M,29.038815
2008,SL_EMP_INJUR,KG04,M,59.565174
2009,SL_EMP_INJUR,KG04,M,9.553836
2010,SL_EMP_INJUR,KG04,M,57.598157
2011,SL_EMP_INJUR,KG04,M,28.055737
2012,SL_EMP_INJUR,KG04,M,37.275184
2013,SL_EMP_INJUR,KG04,M,18.883958
2014,SL_EMP_INJUR,KG04,M,28.277877
2015,SL_EMP_INJUR,KG04,M,8.688097
2016,SL_EMP_INJUR,KG04,M,81.352255
2019,SL_EMP_INJUR,KG04,M,17.711654
2008,SL_EMP_INJUR,KG06,,2.148043
2011,SL_EMP_INJUR,KG06,,2.416918
2015,SL_EMP_INJUR,KG06,,5.181481
2016,SL_EMP_INJUR,KG06,,2.346151
2017,SL_EMP_INJUR,KG06,,4.517834
2018,SL_EMP_INJUR,KG06,,4.578335
2016,SL_EMP_INJUR,KG06,F,3.779289
2018,SL_EMP_INJUR,KG06,F,3.897268
2008,SL_EMP_INJUR,KG06,M,4.880906
2011,SL_EMP_INJUR,KG06,M,5.961607
2015,SL_EMP_INJUR,KG06,M,13.020833
2017,SL_EMP_INJUR,KG06,M,11.112963
2018,SL_EMP_INJUR,KG06,M,5.54785
2007,SL_EMP_INJUR,KG07,,11.511454
2008,SL_EMP_INJUR,KG07,,5.701579
2009,SL_EMP_INJUR,KG07,,16.051364
2010,SL_EMP_INJUR,KG07,,38.385611
2011,SL_EMP_INJUR,KG07,,21.165141
2012,SL_EMP_INJUR,KG07,,10.518012
2013,SL_EMP_INJUR,KG07,,25.514109
2014,SL_EMP_INJUR,KG07,,26.011861
2015,SL_EMP_INJUR,KG07,,15.061753
2016,SL_EMP_INJUR,KG07,,10.722711
2018,SL_EMP_INJUR,KG07,,14.769594
2019,SL_EMP_INJUR,KG07,,9.282465
2009,SL_EMP_INJUR,KG07,F,9.474183
2010,SL_EMP_INJUR,KG07,F,10.188487
2014,SL_EMP_INJUR,KG07,F,19.277108
2018,SL_EMP_INJUR,KG07,F,9.250694
2007,SL_EMP_INJUR,KG07,M,26.588673
2008,SL_EMP_INJUR,KG07,M,13.486177
2009,SL_EMP_INJUR,KG07,M,24.585126
2010,SL_EMP_INJUR,KG07,M,71.250445
2011,SL_EMP_INJUR,KG07,M,46.838407
2012,SL_EMP_INJUR,KG07,M,23.092022
2013,SL_EMP_INJUR,KG07,M,55.463117
2014,SL_EMP_INJUR,KG07,M,33.9098
2015,SL_EMP_INJUR,KG07,M,32.619332
2016,SL_EMP_INJUR,KG07,M,23.523877
2018,SL_EMP_INJUR,KG07,M,21.0482
2019,SL_EMP_INJUR,KG07,M,20.620683
2007,SL_EMP_INJUR,KG08,,54.795253
2008,SL_EMP_INJUR,KG08,,51.255766
2009,SL_EMP_INJUR,KG08,,30.489664
2010,SL_EMP_INJUR,KG08,,39.786743
2011,SL_EMP_INJUR,KG08,,28.308799
2012,SL_EMP_INJUR,KG08,,61.47541
2013,SL_EMP_INJUR,KG08,,50.052399
2014,SL_EMP_INJUR,KG08,,39.493821
2015,SL_EMP_INJUR,KG08,,52.914295
2016,SL_EMP_INJUR,KG08,,20.676602
2017,SL_EMP_INJUR,KG08,,14.895483
2018,SL_EMP_INJUR,KG08,,27.829162
2019,SL_EMP_INJUR,KG08,,26.166728
2007,SL_EMP_INJUR,KG08,F,54.193199
2008,SL_EMP_INJUR,KG08,F,26.478376
2009,SL_EMP_INJUR,KG08,F,15.113046
2010,SL_EMP_INJUR,KG08,F,18.584482
2011,SL_EMP_INJUR,KG08,F,15.769886
2012,SL_EMP_INJUR,KG08,F,29.823149
2013,SL_EMP_INJUR,KG08,F,27.034334
2014,SL_EMP_INJUR,KG08,F,22.348509
2015,SL_EMP_INJUR,KG08,F,15.284911
2016,SL_EMP_INJUR,KG08,F,9.59785
2017,SL_EMP_INJUR,KG08,F,13.31425
2018,SL_EMP_INJUR,KG08,F,9.651889
2019,SL_EMP_INJUR,KG08,F,18.453022
2007,SL_EMP_INJUR,KG08,M,55.381207
2008,SL_EMP_INJUR,KG08,M,74.490978
2009,SL_EMP_INJUR,KG08,M,46.136811
2010,SL_EMP_INJUR,KG08,M,62.193126
2011,SL_EMP_INJUR,KG08,M,42.334015
2012,SL_EMP_INJUR,KG08,M,96.960781
2013,SL_EMP_INJUR,KG08,M,75.060375
2014,SL_EMP_INJUR,KG08,M,57.730838
2015,SL_EMP_INJUR,KG08,M,94.425522
2016,SL_EMP_INJUR,KG08,M,31.629555
2017,SL_EMP_INJUR,KG08,M,16.45928
2018,SL_EMP_INJUR,KG08,M,46.65889
2019,SL_EMP_INJUR,KG08,M,33.895171
2007,SL_EMP_INJUR,KG11,,25.544578
2008,SL_EMP_INJUR,KG11,,35.587189
2009,SL_EMP_INJUR,KG11,,27.549559
2010,SL_EMP_INJUR,KG11,,172.396125
2011,SL_EMP_INJUR,KG11,,26.428883
2012,SL_EMP_INJUR,KG11,,21.074932
2013,SL_EMP_INJUR,KG11,,47.614038
2014,SL_EMP_INJUR,KG11,,34.362547
2015,SL_EMP_INJUR,KG11,,20.034504
2016,SL_EMP_INJUR,KG11,,30.786654
2017,SL_EMP_INJUR,KG11,,28.115403
2018,SL_EMP_INJUR,KG11,,34.548189
2019,SL_EMP_INJUR,KG11,,37.950088
2007,SL_EMP_INJUR,KG11,F,13.871389
2008,SL_EMP_INJUR,KG11,F,27.298253
2009,SL_EMP_INJUR,KG11,F,18.177412
2010,SL_EMP_INJUR,KG11,F,36.051626
2011,SL_EMP_INJUR,KG11,F,21.926886
2012,SL_EMP_INJUR,KG11,F,15.309916
2013,SL_EMP_INJUR,KG11,F,31.064217
2014,SL_EMP_INJUR,KG11,F,30.258167
2015,SL_EMP_INJUR,KG11,F,14.949598
2016,SL_EMP_INJUR,KG11,F,33.905848
2017,SL_EMP_INJUR,KG11,F,31.034376
2018,SL_EMP_INJUR,KG11,F,33.577192
2019,SL_EMP_INJUR,KG11,F,24.386199
2007,SL_EMP_INJUR,KG11,M,39.954338
2008,SL_EMP_INJUR,KG11,M,44.11057
2009,SL_EMP_INJUR,KG11,M,37.118606
2010,SL_EMP_INJUR,KG11,M,309.616245
2011,SL_EMP_INJUR,KG11,M,30.44769
2012,SL_EMP_INJUR,KG11,M,27.007258
2013,SL_EMP_INJUR,KG11,M,65.319032
2014,SL_EMP_INJUR,KG11,M,38.683839
2015,SL_EMP_INJUR,KG11,M,25.568908
2016,SL_EMP_INJUR,KG11,M,27.42293
2017,SL_EMP_INJUR,KG11,M,24.919295
2018,SL_EMP_INJUR,KG11,M,35.610158
2019,SL_EMP_INJUR,KG11,M,52.570155
2007,SL_EMP_INJUR,KG21,,7.896399
2008,SL_EMP_INJUR,KG21,,20.263425
2009,SL_EMP_INJUR,KG21,,13.09209
2010,SL_EMP_INJUR,KG21,,84.274841
2011,SL_EMP_INJUR,KG21,,47.337278
2012,SL_EMP_INJUR,KG21,,5.333333
2013,SL_EMP_INJUR,KG21,,35.351063
2014,SL_EMP_INJUR,KG21,,12.94733
2015,SL_EMP_INJUR,KG21,,2.512879
2016,SL_EMP_INJUR,KG21,,12.46137
2017,SL_EMP_INJUR,KG21,,5.105036
2018,SL_EMP_INJUR,KG21,,2.617458
2019,SL_EMP_INJUR,KG21,,7.705545
2009,SL_EMP_INJUR,KG21,F,16.408686
2010,SL_EMP_INJUR,KG21,F,33.337037
2011,SL_EMP_INJUR,KG21,F,5.502972
2013,SL_EMP_INJUR,KG21,F,5.457919
2014,SL_EMP_INJUR,KG21,F,5.139538
2015,SL_EMP_INJUR,KG21,F,5.105948
2007,SL_EMP_INJUR,KG21,M,15.438452
2008,SL_EMP_INJUR,KG21,M,40.178796
2009,SL_EMP_INJUR,KG21,M,10.046213
2010,SL_EMP_INJUR,KG21,M,130.175737
2011,SL_EMP_INJUR,KG21,M,85.629376
2012,SL_EMP_INJUR,KG21,M,10.400416
2013,SL_EMP_INJUR,KG21,M,65.033601
2014,SL_EMP_INJUR,KG21,M,20.875737
2016,SL_EMP_INJUR,KG21,M,25.440114
2017,SL_EMP_INJUR,KG21,M,10.756736
2018,SL_EMP_INJUR,KG21,M,5.567309
2019,SL_EMP_INJUR,KG21,M,15.828629
2007,SL_EMP_FTLINJUR,,,4.792995
2008,SL_EMP_FTLINJUR,,,4.826447
2009,SL_EMP_FTLINJUR,,,5.057444
2010,SL_EMP_FTLINJUR,,,6.148875
2011,SL_EMP_FTLINJUR,,,4.517259
2012,SL_EMP_FTLINJUR,,,4.781357
2013,SL_EMP_FTLINJUR,,,5.835186
2014,SL_EMP_FTLINJUR,,,3.602017
2015,SL_EMP_FTLINJUR,,,4.103205
2016,SL_EMP_FTLINJUR,,,5.048044
2017,SL_EMP_FTLINJUR,,,6.691124
2018,SL_EMP_FTLINJUR,,,1.516867
2019,SL_EMP_FTLINJUR,,,2.932863
2007,SL_EMP_FTLINJUR,,F,0.777454
2008,SL_EMP_FTLINJUR,,F,0.411186
2009,SL_EMP_FTLINJUR,,F,1.629361
2010,SL_EMP_FTLINJUR,,F,0.825627
2011,SL_EMP_FTLINJUR,,F,0.403146
2013,SL_EMP_FTLINJUR,,F,0.764608
2014,SL_EMP_FTLINJUR,,F,1.134662
2015,SL_EMP_FTLINJUR,,F,0.729733
2016,SL_EMP_FTLINJUR,,F,0.364109
2018,SL_EMP_FTLINJUR,,F,0.355105
2019,SL_EMP_FTLINJUR,,F,0.0
2007,SL_EMP_FTLINJUR,,M,9.433242
2008,SL_EMP_FTLINJUR,,M,9.428221
2009,SL_EMP_FTLINJUR,,M,8.731604
2010,SL_EMP_FTLINJUR,,M,11.770296
2011,SL_EMP_FTLINJUR,,M,8.78764
2012,SL_EMP_FTLINJUR,,M,9.937867
2013,SL_EMP_FTLINJUR,,M,11.469205
2014,SL_EMP_FTLINJUR,,M,6.37419
2015,SL_EMP_FTLINJUR,,M,7.992529
2016,SL_EMP_FTLINJUR,,M,10.398988
2017,SL_EMP_FTLINJUR,,M,14.357973
2018,SL_EMP_FTLINJUR,,M,2.84789
2019,SL_EMP_FTLINJUR,,M,6.237574
2007,SL_EMP_FTLINJUR,KG05,,3.728144
2008,SL_EMP_FTLINJUR,KG05,,4.071661
2009,SL_EMP_FTLINJUR,KG05,,21.645959
2010,SL_EMP_FTLINJUR,KG05,,15.755475
2011,SL_EMP_FTLINJUR,KG05,,13.845621
2012,SL_EMP_FTLINJUR,KG05,,10.351253
2013,SL_EMP_FTLINJUR,KG05,,12.475439
2014,SL_EMP_FTLINJUR,KG05,,2.86574
2015,SL_EMP_FTLINJUR,KG05,,17.705905
2016,SL_EMP_FTLINJUR,KG05,,20.716188
2017,SL_EMP_FTLINJUR,KG05,,11.266019
2018,SL_EMP_FTLINJUR,KG05,,2.849977
2019,SL_EMP_FTLINJUR,KG05,,14.151477
2007,SL_EMP_FTLINJUR,KG05,M,7.11187
2008,SL_EMP_FTLINJUR,KG05,M,7.190106
2009,SL_EMP_FTLINJUR,KG05,M,41.52479
2010,SL_EMP_FTLINJUR,KG05,M,28.176951
2011,SL_EMP_FTLINJUR,KG05,M,26.668445
2012,SL_EMP_FTLINJUR,KG05,M,20.19794
2013,SL_EMP_FTLINJUR,KG05,M,23.565453
2014,SL_EMP_FTLINJUR,KG05,M,6.255865
2015,SL_EMP_FTLINJUR,KG05,M,38.56289
2016,SL_EMP_FTLINJUR,KG05,M,43.859649
2017,SL_EMP_FTLINJUR,KG05,M,24.816975
2018,SL_EMP_FTLINJUR,KG05,M,6.485505
2019,SL_EMP_FTLINJUR,KG05,M,32.036907
2007,SL_EMP_FTLINJUR,KG03,,3.583972
2008,SL_EMP_FTLINJUR,KG03,,4.534393
2009,SL_EMP_FTLINJUR,KG03,,3.352498
2010,SL_EMP_FTLINJUR,KG03,,1.65191
2011,SL_EMP_FTLINJUR,KG03,,4.722773
2012,SL_EMP_FTLINJUR,KG03,,9.200055
2013,SL_EMP_FTLINJUR,KG03,,9.390847
2014,SL_EMP_FTLINJUR,KG03,,3.023614
2015,SL_EMP_FTLINJUR,KG03,,2.776081
2016,SL_EMP_FTLINJUR,KG03,,1.395557
2017,SL_EMP_FTLINJUR,KG03,,13.231714
2013,SL_EMP_FTLINJUR,KG03,F,2.833263
2007,SL_EMP_FTLINJUR,KG03,M,7.714264
2008,SL_EMP_FTLINJUR,KG03,M,9.484367
2009,SL_EMP_FTLINJUR,KG03,M,7.03705
2010,SL_EMP_FTLINJUR,KG03,M,3.454351
2011,SL_EMP_FTLINJUR,KG03,M,10.300783
2012,SL_EMP_FTLINJUR,KG03,M,20.34381
2013,SL_EMP_FTLINJUR,KG03,M,17.484352
2014,SL_EMP_FTLINJUR,KG03,M,6.547716
2015,SL_EMP_FTLINJUR,KG03,M,6.146848
2016,SL_EMP_FTLINJUR,KG03,M,3.084611
2017,SL_EMP_FTLINJUR,KG03,M,29.022521
2007,SL_EMP_FTLINJUR,KG02,,13.136807
2008,SL_EMP_FTLINJUR,KG02,,2.646273
2009,SL_EMP_FTLINJUR,KG02,,16.290182
2010,SL_EMP_FTLINJUR,KG02,,7.840063
2011,SL_EMP_FTLINJUR,KG02,,2.596189
2012,SL_EMP_FTLINJUR,KG02,,5.463287
2014,SL_EMP_FTLINJUR,KG02,,2.655901
2015,SL_EMP_FTLINJUR,KG02,,7.797879
2016,SL_EMP_FTLINJUR,KG02,,10.529918
2017,SL_EMP_FTLINJUR,KG02,,7.956927
2018,SL_EMP_FTLINJUR,KG02,,2.535947
2019,SL_EMP_FTLINJUR,KG02,,7.904722
2007,SL_EMP_FTLINJUR,KG02,F,5.253204
2009,SL_EMP_FTLINJUR,KG02,F,16.760713
2010,SL_EMP_FTLINJUR,KG02,F,5.038799
2007,SL_EMP_FTLINJUR,KG02,M,21.024967
2008,SL_EMP_FTLINJUR,KG02,M,5.302789
2009,SL_EMP_FTLINJUR,KG02,M,15.845349
2010,SL_EMP_FTLINJUR,KG02,M,10.858353
2011,SL_EMP_FTLINJUR,KG02,M,5.352746
2012,SL_EMP_FTLINJUR,KG02,M,11.813349
2013,SL_EMP_FTLINJUR,KG02,M,0.0
2014,SL_EMP_FTLINJUR,KG02,M,5.590652
2015,SL_EMP_FTLINJUR,KG02,M,16.993316
2016,SL_EMP_FTLINJUR,KG02,M,22.840176
2017,SL_EMP_FTLINJUR,KG02,M,17.059994
2018,SL_EMP_FTLINJUR,KG02,M,5.593467
2019,SL_EMP_FTLINJUR,KG02,M,17.360106
2007,SL_EMP_FTLINJUR,KG04,,17.955739
2008,SL_EMP_FTLINJUR,KG04,,4.448003
2009,SL_EMP_FTLINJUR,KG04,,8.653139
2010,SL_EMP_FTLINJUR,KG04,,8.600301
2011,SL_EMP_FTLINJUR,KG04,,8.443094
2012,SL_EMP_FTLINJUR,KG04,,8.285691
2013,SL_EMP_FTLINJUR,KG04,,8.224022
2014,SL_EMP_FTLINJUR,KG04,,16.345879
2015,SL_EMP_FTLINJUR,KG04,,3.700278
2016,SL_EMP_FTLINJUR,KG04,,19.647137
2017,SL_EMP_FTLINJUR,KG04,,19.320685
2019,SL_EMP_FTLINJUR,KG04,,7.69586
2008,SL_EMP_FTLINJUR,KG04,F,8.058667
2009,SL_EMP_FTLINJUR,KG04,F,7.907639
2010,SL_EMP_FTLINJUR,KG04,F,7.789375
2007,SL_EMP_FTLINJUR,KG04,M,38.71842
2009,SL_EMP_FTLINJUR,KG04,M,9.553836
2010,SL_EMP_FTLINJUR,KG04,M,9.599693
2011,SL_EMP_FTLINJUR,KG04,M,18.703825
2012,SL_EMP_FTLINJUR,KG04,M,18.637592
2013,SL_EMP_FTLINJUR,KG04,M,18.883958
2014,SL_EMP_FTLINJUR,KG04,M,37.703836
2015,SL_EMP_FTLINJUR,KG04,M,8.688097
2016,SL_EMP_FTLINJUR,KG04,M,45.195697
2017,SL_EMP_FTLINJUR,KG04,M,43.402778
2019,SL_EMP_FTLINJUR,KG04,M,17.711654
2007,SL_EMP_FTLINJUR,KG06,,0.0
2008,SL_EMP_FTLINJUR,KG06,,2.148043
2009,SL_EMP_FTLINJUR,KG06,,4.345181
2011,SL_EMP_FTLINJUR,KG06,,7.250755
2013,SL_EMP_FTLINJUR,KG06,,2.649638
2015,SL_EMP_FTLINJUR,KG06,,2.590741
2017,SL_EMP_FTLINJUR,KG06,,6.776751
2007,SL_EMP_FTLINJUR,KG06,M,0.0
2008,SL_EMP_FTLINJUR,KG06,M,4.880906
2009,SL_EMP_FTLINJUR,KG06,M,11.227125
2011,SL_EMP_FTLINJUR,KG06,M,17.884822
2013,SL_EMP_FTLINJUR,KG06,M,6.378365
2015,SL_EMP_FTLINJUR,KG06,M,6.510417
2017,SL_EMP_FTLINJUR,KG06,M,16.669445
2007,SL_EMP_FTLINJUR,KG07,,5.755727
2008,SL_EMP_FTLINJUR,KG07,,5.701579
2009,SL_EMP_FTLINJUR,KG07,,5.350455
2010,SL_EMP_FTLINJUR,KG07,,5.483659
2011,SL_EMP_FTLINJUR,KG07,,10.582571
2012,SL_EMP_FTLINJUR,KG07,,5.259006
2013,SL_EMP_FTLINJUR,KG07,,30.616931
2014,SL_EMP_FTLINJUR,KG07,,10.404745
2015,SL_EMP_FTLINJUR,KG07,,10.041169
2017,SL_EMP_FTLINJUR,KG07,,5.102301
2018,SL_EMP_FTLINJUR,KG07,,4.923198
2019,SL_EMP_FTLINJUR,KG07,,4.641233
2007,SL_EMP_FTLINJUR,KG07,M,13.294337
2008,SL_EMP_FTLINJUR,KG07,M,13.486177
2009,SL_EMP_FTLINJUR,KG07,M,12.292563
2010,SL_EMP_FTLINJUR,KG07,M,11.875074
2011,SL_EMP_FTLINJUR,KG07,M,23.419204
2012,SL_EMP_FTLINJUR,KG07,M,11.546011
2013,SL_EMP_FTLINJUR,KG07,M,66.55574
2014,SL_EMP_FTLINJUR,KG07,M,22.606533
2015,SL_EMP_FTLINJUR,KG07,M,21.746222
2017,SL_EMP_FTLINJUR,KG07,M,11.318619
2018,SL_EMP_FTLINJUR,KG07,M,10.5241
2019,SL_EMP_FTLINJUR,KG07,M,10.310341
2007,SL_EMP_FTLINJUR,KG08,,6.682348
2008,SL_EMP_FTLINJUR,KG08,,9.966399
2010,SL_EMP_FTLINJUR,KG08,,4.774409
2011,SL_EMP_FTLINJUR,KG08,,3.330447
2012,SL_EMP_FTLINJUR,KG08,,6.30517
2014,SL_EMP_FTLINJUR,KG08,,4.936728
2015,SL_EMP_FTLINJUR,KG08,,3.206927
2016,SL_EMP_FTLINJUR,KG08,,3.181016
2017,SL_EMP_FTLINJUR,KG08,,3.310107
2019,SL_EMP_FTLINJUR,KG08,,1.539219
2007,SL_EMP_FTLINJUR,KG08,F,2.70966
2011,SL_EMP_FTLINJUR,KG08,F,3.153977
2014,SL_EMP_FTLINJUR,KG08,F,9.577932
2015,SL_EMP_FTLINJUR,KG08,F,6.113964
2007,SL_EMP_FTLINJUR,KG08,M,10.548801
2008,SL_EMP_FTLINJUR,KG08,M,19.312476
2010,SL_EMP_FTLINJUR,KG08,M,9.819967
2011,SL_EMP_FTLINJUR,KG08,M,3.527835
2012,SL_EMP_FTLINJUR,KG08,M,13.373901
2016,SL_EMP_FTLINJUR,KG08,M,6.325911
2017,SL_EMP_FTLINJUR,KG08,M,6.583712
2019,SL_EMP_FTLINJUR,KG08,M,3.081379
2007,SL_EMP_FTLINJUR,KG11,,1.915843
2008,SL_EMP_FTLINJUR,KG11,,3.29511
2009,SL_EMP_FTLINJUR,KG11,,3.061062
2010,SL_EMP_FTLINJUR,KG11,,7.233404
2011,SL_EMP_FTLINJUR,KG11,,2.298164
2012,SL_EMP_FTLINJUR,KG11,,2.218414
2013,SL_EMP_FTLINJUR,KG11,,3.875561
2014,SL_EMP_FTLINJUR,KG11,,1.662704
2015,SL_EMP_FTLINJUR,KG11,,1.669542
2016,SL_EMP_FTLINJUR,KG11,,3.29857
2017,SL_EMP_FTLINJUR,KG11,,2.162723
