Year,Reference area,Degree of urbanisation,GeoCode,Value
2020,Jalal-Abad,,KG03,22.0
2021,Jalal-Abad,,KG03,23.2
2013,Jalal-Abad,Urban,KG03,27.4
2014,Jalal-Abad,Urban,KG03,28.5
2015,Jalal-Abad,Urban,KG03,28.4
2016,Jalal-Abad,Urban,KG03,30.6
2017,Jalal-Abad,Urban,KG03,32.8
2018,Jalal-Abad,Urban,KG03,35.0
2019,Jalal-Abad,Urban,KG03,37.8
2020,Jalal-Abad,Urban,KG03,33.8
2021,Jalal-Abad,Urban,KG03,34.9
2013,Jalal-Abad,Rural,KG03,10.3
2014,Jalal-Abad,Rural,KG03,11.8
2015,Jalal-Abad,Rural,KG03,12.6
2016,Jalal-Abad,Rural,KG03,15.1
2017,Jalal-Abad,Rural,KG03,16.5
2018,Jalal-Abad,Rural,KG03,18.0
2019,Jalal-Abad,Rural,KG03,18.9
2020,Jalal-Abad,Rural,KG03,18.8
2021,Jalal-Abad,Rural,KG03,19.2
2013,Issyk-Kul,,KG02,17.4
2014,Issyk-Kul,,KG02,18.8
2015,Issyk-Kul,,KG02,20.9
2016,Issyk-Kul,,KG02,24.1
2017,Issyk-Kul,,KG02,25.8
2018,Issyk-Kul,,KG02,27.2
2019,Issyk-Kul,,KG02,28.8
2020,Issyk-Kul,,KG02,28.0
2021,Issyk-Kul,,KG02,29.6
2013,Issyk-Kul,Urban,KG02,34.2
2014,Issyk-Kul,Urban,KG02,33.3
2015,Issyk-Kul,Urban,KG02,34.6
2016,Issyk-Kul,Urban,KG02,38.8
2017,Issyk-Kul,Urban,KG02,41.1
2018,Issyk-Kul,Urban,KG02,38.9
2019,Issyk-Kul,Urban,KG02,39.0
2020,Issyk-Kul,Urban,KG02,38.7
2021,Issyk-Kul,Urban,KG02,34.4
2013,Issyk-Kul,Rural,KG02,9.4
2014,Issyk-Kul,Rural,KG02,11.1
2015,Issyk-Kul,Rural,KG02,12.8
2016,Issyk-Kul,Rural,KG02,15.8
2017,Issyk-Kul,Rural,KG02,17.7
2018,Issyk-Kul,Rural,KG02,18.9
2019,Issyk-Kul,Rural,KG02,22.9
2020,Issyk-Kul,Rural,KG02,22.0
2021,Issyk-Kul,Rural,KG02,26.7
2013,Naryn,,KG04,19.6
2014,Naryn,,KG04,25.7
2015,Naryn,,KG04,22.3
2016,Naryn,,KG04,26.6
2017,Naryn,,KG04,31.6
2018,Naryn,,KG04,34.2
2019,Naryn,,KG04,35.6
2020,Naryn,,KG04,35.1
2021,Naryn,,KG04,37.1
2013,Naryn,Urban,KG04,32.6
2014,Naryn,Urban,KG04,36.8
2015,Naryn,Urban,KG04,17.2
2016,Naryn,Urban,KG04,39.7
2017,Naryn,Urban,KG04,44.8
2018,Naryn,Urban,KG04,50.9
2019,Naryn,Urban,KG04,51.0
2020,Naryn,Urban,KG04,45.1
2021,Naryn,Urban,KG04,51.1
2013,Naryn,Rural,KG04,17.5
2014,Naryn,Rural,KG04,23.7
2015,Naryn,Rural,KG04,9.8
2016,Naryn,Rural,KG04,24.3
2017,Naryn,Rural,KG04,29.2
2018,Naryn,Rural,KG04,31.1
2019,Naryn,Rural,KG04,32.9
2020,Naryn,Rural,KG04,33.3
2021,Naryn,Rural,KG04,34.7
2013,Osh,,KG06,11.6
2014,Osh,,KG06,13.1
2015,Osh,,KG06,14.3
2016,Osh,,KG06,16.3
2017,Osh,,KG06,17.2
2018,Osh,,KG06,18.2
2019,Osh,,KG06,19.7
2020,Osh,,KG06,19.4
2021,Osh,,KG06,19.5
2013,Osh,Urban,KG06,15.0
2014,Osh,Urban,KG06,16.4
2015,Osh,Urban,KG06,15.2
2016,Osh,Urban,KG06,18.1
2017,Osh,Urban,KG06,17.7
2018,Osh,Urban,KG06,15.6
2019,Osh,Urban,KG06,17.0
2020,Osh,Urban,KG06,13.0
2021,Osh,Urban,KG06,10.8
2013,Osh,Rural,KG06,11.4
2014,Osh,Rural,KG06,12.9
2015,Osh,Rural,KG06,14.2
2016,Osh,Rural,KG06,16.2
2017,Osh,Rural,KG06,17.2
2018,Osh,Rural,KG06,18.4
2019,Osh,Rural,KG06,19.9
2020,Osh,Rural,KG06,19.9
2021,Osh,Rural,KG06,20.2
2013,Talas,,KG07,14.4
2014,Talas,,KG07,17.0
2015,Talas,,KG07,20.6
2016,Talas,,KG07,20.8
2017,Talas,,KG07,22.2
2018,Talas,,KG07,24.4
2019,Talas,,KG07,26.4
2020,Talas,,KG07,26.2
2021,Talas,,KG07,28.5
2013,Talas,Urban,KG07,49.4
2014,Talas,Urban,KG07,58.4
2015,Talas,Urban,KG07,66.1
2016,Talas,Urban,KG07,65.6
2017,Talas,Urban,KG07,67.1
2018,Talas,Urban,KG07,65.9
2019,Talas,Urban,KG07,65.3
2020,Talas,Urban,KG07,52.8
2021,Talas,Urban,KG07,56.8
2013,Talas,Rural,KG07,10.3
2014,Talas,Rural,KG07,12.3
2015,Talas,Rural,KG07,15.8
2016,Talas,Rural,KG07,16.0
2017,Talas,Rural,KG07,17.3
2018,Talas,Rural,KG07,19.3
2019,Talas,Rural,KG07,21.4
2020,Talas,Rural,KG07,22.5
2021,Talas,Rural,KG07,24.4
2013,Chui,,KG08,12.5
2014,Chui,,KG08,16.0
2015,Chui,,KG08,16.5
2016,Chui,,KG08,18.5
2017,Chui,,KG08,19.3
2018,Chui,,KG08,21.1
2019,Chui,,KG08,21.8
2020,Chui,,KG08,20.1
2021,Chui,,KG08,21.7
2013,Chui,Urban,KG08,24.3
2014,Chui,Urban,KG08,27.6
2015,Chui,Urban,KG08,26.3
2016,Chui,Urban,KG08,30.0
2017,Chui,Urban,KG08,32.3
2018,Chui,Urban,KG08,33.5
2019,Chui,Urban,KG08,35.2
2020,Chui,Urban,KG08,33.6
2021,Chui,Urban,KG08,35.1
2013,Chui,Rural,KG08,9.3
2014,Chui,Rural,KG08,12.6
2015,Chui,Rural,KG08,13.3
2016,Chui,Rural,KG08,14.9
2017,Chui,Rural,KG08,15.5
2018,Chui,Rural,KG08,17.7
2019,Chui,Rural,KG08,18.4
2020,Chui,Rural,KG08,16.9
2021,Chui,Rural,KG08,18.6
2013,Bishkek (city),Urban,KG11,31.0
2014,Bishkek (city),Urban,KG11,29.4
2015,Bishkek (city),Urban,KG11,27.9
2016,Bishkek (city),Urban,KG11,28.0
2017,Bishkek (city),Urban,KG11,29.6
2018,Bishkek (city),Urban,KG11,29.5
2019,Bishkek (city),Urban,KG11,28.2
2020,Bishkek (city),Urban,KG11,23.5
2021,Bishkek (city),Urban,KG11,22.2
2013,Osh (city),Urban,KG21,41.9
2014,Osh (city),Urban,KG21,49.7
2015,Osh (city),Urban,KG21,48.2
2016,Osh (city),Urban,KG21,49.4
2017,Osh (city),Urban,KG21,47.9
2018,Osh (city),Urban,KG21,48.8
2019,Osh (city),Urban,KG21,43.3
2020,Osh (city),Urban,KG21,30.7
2021,Osh (city),Urban,KG21,29.0
