Year,SERIES,Территория,Пол,Возраст,UNIT_MEASURE,GeoCode,Value
2019,Число жертв умышленных убийств,г. Бишкек,,,Число,KG11,32.0
2020,Число жертв умышленных убийств,г. Бишкек,,,Число,KG11,30.0
2021,Число жертв умышленных убийств,г. Бишкек,,,Число,KG11,40.0
2022,Число жертв умышленных убийств,г. Бишкек,,,Число,KG11,48.0
2014,Число жертв умышленных убийств,г. Бишкек,Мужчины,,Число,KG11,52.0
2015,Число жертв умышленных убийств,г. Бишкек,Мужчины,,Число,KG11,43.0
2016,Число жертв умышленных убийств,г. Бишкек,Мужчины,,Число,KG11,43.0
2017,Число жертв умышленных убийств,г. Бишкек,Мужчины,,Число,KG11,45.0
2018,Число жертв умышленных убийств,г. Бишкек,Мужчины,,Число,KG11,33.0
2019,Число жертв умышленных убийств,г. Бишкек,Мужчины,,Число,KG11,28.0
2020,Число жертв умышленных убийств,г. Бишкек,Мужчины,,Число,KG11,24.0
2021,Число жертв умышленных убийств,г. Бишкек,Мужчины,,Число,KG11,30.0
2022,Число жертв умышленных убийств,г. Бишкек,Мужчины,,Число,KG11,36.0
2014,Число жертв умышленных убийств,г. Бишкек,Женщины,,Число,KG11,24.0
2015,Число жертв умышленных убийств,г. Бишкек,Женщины,,Число,KG11,24.0
2016,Число жертв умышленных убийств,г. Бишкек,Женщины,,Число,KG11,12.0
2017,Число жертв умышленных убийств,г. Бишкек,Женщины,,Число,KG11,24.0
2018,Число жертв умышленных убийств,г. Бишкек,Женщины,,Число,KG11,11.0
2019,Число жертв умышленных убийств,г. Бишкек,Женщины,,Число,KG11,4.0
2020,Число жертв умышленных убийств,г. Бишкек,Женщины,,Число,KG11,6.0
2021,Число жертв умышленных убийств,г. Бишкек,Женщины,,Число,KG11,10.0
2022,Число жертв умышленных убийств,г. Бишкек,Женщины,,Число,KG11,12.0
2014,Число жертв умышленных убийств,г. Ош,,,Число,KG21,20.0
2015,Число жертв умышленных убийств,г. Ош,,,Число,KG21,12.0
2016,Число жертв умышленных убийств,г. Ош,,,Число,KG21,12.0
2017,Число жертв умышленных убийств,г. Ош,,,Число,KG21,20.0
2018,Число жертв умышленных убийств,г. Ош,,,Число,KG21,12.0
2019,Число жертв умышленных убийств,г. Ош,,,Число,KG21,10.0
2020,Число жертв умышленных убийств,г. Ош,,,Число,KG21,5.0
2021,Число жертв умышленных убийств,г. Ош,,,Число,KG21,6.0
2022,Число жертв умышленных убийств,г. Ош,,,Число,KG21,6.0
2014,Число жертв умышленных убийств,г. Ош,Мужчины,,Число,KG21,14.0
2015,Число жертв умышленных убийств,г. Ош,Мужчины,,Число,KG21,8.0
2016,Число жертв умышленных убийств,г. Ош,Мужчины,,Число,KG21,9.0
2017,Число жертв умышленных убийств,г. Ош,Мужчины,,Число,KG21,16.0
2018,Число жертв умышленных убийств,г. Ош,Мужчины,,Число,KG21,9.0
2019,Число жертв умышленных убийств,г. Ош,Мужчины,,Число,KG21,8.0
2020,Число жертв умышленных убийств,г. Ош,Мужчины,,Число,KG21,4.0
2021,Число жертв умышленных убийств,г. Ош,Мужчины,,Число,KG21,4.0
2022,Число жертв умышленных убийств,г. Ош,Мужчины,,Число,KG21,4.0
2014,Число жертв умышленных убийств,г. Ош,Женщины,,Число,KG21,6.0
2015,Число жертв умышленных убийств,г. Ош,Женщины,,Число,KG21,4.0
2016,Число жертв умышленных убийств,г. Ош,Женщины,,Число,KG21,3.0
2017,Число жертв умышленных убийств,г. Ош,Женщины,,Число,KG21,4.0
2018,Число жертв умышленных убийств,г. Ош,Женщины,,Число,KG21,3.0
2019,Число жертв умышленных убийств,г. Ош,Женщины,,Число,KG21,2.0
2020,Число жертв умышленных убийств,г. Ош,Женщины,,Число,KG21,1.0
2021,Число жертв умышленных убийств,г. Ош,Женщины,,Число,KG21,2.0
2022,Число жертв умышленных убийств,г. Ош,Женщины,,Число,KG21,2.0
2022,Число жертв умышленных убийств,,,до 17 лет,Число,,4.0
2022,Число жертв умышленных убийств,,,от 18 до 29 лет,Число,,34.0
2022,Число жертв умышленных убийств,,,70 лет и старше,Число,,7.0
