Year,SERIES,Reference area,Sex,Age,Degree of urbanisation,Income or wealth quantile,GeoCode,Value
2023,Proportion of people living below 50 percent of median income,,,,Rural,Bottom 50%,,10.763648
2015,Proportion of people living below 50 percent of median income,,Male,,,Bottom 50%,,11.7
2016,Proportion of people living below 50 percent of median income,,Male,,,Bottom 50%,,11.4
2017,Proportion of people living below 50 percent of median income,,Male,,,Bottom 50%,,10.9
2018,Proportion of people living below 50 percent of median income,,Male,,,Bottom 50%,,11.8
2019,Proportion of people living below 50 percent of median income,,Male,,,Bottom 50%,,11.025078
2020,Proportion of people living below 50 percent of median income,,Male,,,Bottom 50%,,10.6
2021,Proportion of people living below 50 percent of median income,,Male,,,Bottom 50%,,9.6
2022,Proportion of people living below 50 percent of median income,,Male,,,Bottom 50%,,9.392951
2023,Proportion of people living below 50 percent of median income,,Male,,,Bottom 50%,,10.766981
2015,Proportion of people living below 50 percent of median income,,Female,,,Bottom 50%,,12.3
2016,Proportion of people living below 50 percent of median income,,Female,,,Bottom 50%,,11.9
2017,Proportion of people living below 50 percent of median income,,Female,,,Bottom 50%,,11.2
2018,Proportion of people living below 50 percent of median income,,Female,,,Bottom 50%,,12.0
2019,Proportion of people living below 50 percent of median income,,Female,,,Bottom 50%,,11.203036
2020,Proportion of people living below 50 percent of median income,,Female,,,Bottom 50%,,10.3
2021,Proportion of people living below 50 percent of median income,,Female,,,Bottom 50%,,9.4
2022,Proportion of people living below 50 percent of median income,,Female,,,Bottom 50%,,9.096311
2023,Proportion of people living below 50 percent of median income,,Female,,,Bottom 50%,,10.932627
2015,Proportion of people living below 50 percent of median income,,,under 17 years old,,Bottom 50%,,9.432768
2016,Proportion of people living below 50 percent of median income,,,under 17 years old,,Bottom 50%,,12.156859
2017,Proportion of people living below 50 percent of median income,,,under 17 years old,,Bottom 50%,,17.0
2018,Proportion of people living below 50 percent of median income,,,under 17 years old,,Bottom 50%,,12.7
2019,Proportion of people living below 50 percent of median income,,,under 17 years old,,Bottom 50%,,13.148975
2020,Proportion of people living below 50 percent of median income,,,under 17 years old,,Bottom 50%,,11.755326
2021,Proportion of people living below 50 percent of median income,,,under 17 years old,,Bottom 50%,,12.434613
2022,Proportion of people living below 50 percent of median income,,,under 17 years old,,Bottom 50%,,12.268953
2023,Proportion of people living below 50 percent of median income,,,under 17 years old,,Bottom 50%,,10.106154
2015,Proportion of people living below 50 percent of median income,,,14 to 28 years old,,Bottom 50%,,16.445544
2016,Proportion of people living below 50 percent of median income,,,14 to 28 years old,,Bottom 50%,,16.724154
2017,Proportion of people living below 50 percent of median income,,,14 to 28 years old,,Bottom 50%,,16.7
2018,Proportion of people living below 50 percent of median income,,,14 to 28 years old,,Bottom 50%,,17.6
2019,Proportion of people living below 50 percent of median income,,,14 to 28 years old,,Bottom 50%,,17.383491
2020,Proportion of people living below 50 percent of median income,,,14 to 28 years old,,Bottom 50%,,18.008531
2021,Proportion of people living below 50 percent of median income,,,14 to 28 years old,,Bottom 50%,,16.800506
2022,Proportion of people living below 50 percent of median income,,,14 to 28 years old,,Bottom 50%,,8.843252
2023,Proportion of people living below 50 percent of median income,,,14 to 28 years old,,Bottom 50%,,9.390573
2015,Proportion of people living below 50 percent of median income,,,"16 to 62 years old (working age population: women 16-57 years old, men 16-62 years old)",,Bottom 50%,,17.230053
2016,Proportion of people living below 50 percent of median income,,,"16 to 62 years old (working age population: women 16-57 years old, men 16-62 years old)",,Bottom 50%,,16.543761
2017,Proportion of people living below 50 percent of median income,,,"16 to 62 years old (working age population: women 16-57 years old, men 16-62 years old)",,Bottom 50%,,17.0
2018,Proportion of people living below 50 percent of median income,,,"16 to 62 years old (working age population: women 16-57 years old, men 16-62 years old)",,Bottom 50%,,14.7
2019,Proportion of people living below 50 percent of median income,,,"16 to 62 years old (working age population: women 16-57 years old, men 16-62 years old)",,Bottom 50%,,14.950191
2020,Proportion of people living below 50 percent of median income,,,"16 to 62 years old (working age population: women 16-57 years old, men 16-62 years old)",,Bottom 50%,,12.86032
2021,Proportion of people living below 50 percent of median income,,,"16 to 62 years old (working age population: women 16-57 years old, men 16-62 years old)",,Bottom 50%,,11.282963
2022,Proportion of people living below 50 percent of median income,,,"16 to 62 years old (working age population: women 16-57 years old, men 16-62 years old)",,Bottom 50%,,12.356873
2023,Proportion of people living below 50 percent of median income,,,"16 to 62 years old (working age population: women 16-57 years old, men 16-62 years old)",,Bottom 50%,,13.26669
2015,Proportion of people living below 50 percent of median income,,,"58 years old and over (population over working age: women 58 years and older, men 63 years and older)",,Bottom 50%,,31.283961
2016,Proportion of people living below 50 percent of median income,,,"58 years old and over (population over working age: women 58 years and older, men 63 years and older)",,Bottom 50%,,30.792373
2017,Proportion of people living below 50 percent of median income,,,"58 years old and over (population over working age: women 58 years and older, men 63 years and older)",,Bottom 50%,,30.8
2018,Proportion of people living below 50 percent of median income,,,"58 years old and over (population over working age: women 58 years and older, men 63 years and older)",,Bottom 50%,,31.7
2019,Proportion of people living below 50 percent of median income,,,"58 years old and over (population over working age: women 58 years and older, men 63 years and older)",,Bottom 50%,,29.020992
2020,Proportion of people living below 50 percent of median income,,,"58 years old and over (population over working age: women 58 years and older, men 63 years and older)",,Bottom 50%,,27.855975
2021,Proportion of people living below 50 percent of median income,,,"58 years old and over (population over working age: women 58 years and older, men 63 years and older)",,Bottom 50%,,25.042809
2022,Proportion of people living below 50 percent of median income,,,"58 years old and over (population over working age: women 58 years and older, men 63 years and older)",,Bottom 50%,,25.295368
2023,Proportion of people living below 50 percent of median income,,,"58 years old and over (population over working age: women 58 years and older, men 63 years and older)",,Bottom 50%,,30.780404
2015,Proportion of people living below 50 percent of median income,Batken,,,,Bottom 50%,KG05,17.628776
2016,Proportion of people living below 50 percent of median income,Batken,,,,Bottom 50%,KG05,16.289548
2017,Proportion of people living below 50 percent of median income,Batken,,,,Bottom 50%,KG05,17.0
2018,Proportion of people living below 50 percent of median income,Batken,,,,Bottom 50%,KG05,17.6
2019,Proportion of people living below 50 percent of median income,Batken,,,,Bottom 50%,KG05,15.083486
2020,Proportion of people living below 50 percent of median income,Batken,,,,Bottom 50%,KG05,12.700277
2021,Proportion of people living below 50 percent of median income,Batken,,,,Bottom 50%,KG05,13.523575
2022,Proportion of people living below 50 percent of median income,Batken,,,,Bottom 50%,KG05,14.933279
2023,Proportion of people living below 50 percent of median income,Batken,,,,Bottom 50%,KG05,18.650723
2015,Proportion of people living below 50 percent of median income,Jalal-Abad,,,,Bottom 50%,KG03,8.324989
2016,Proportion of people living below 50 percent of median income,Jalal-Abad,,,,Bottom 50%,KG03,9.54309
2017,Proportion of people living below 50 percent of median income,Jalal-Abad,,,,Bottom 50%,KG03,6.0
2018,Proportion of people living below 50 percent of median income,Jalal-Abad,,,,Bottom 50%,KG03,5.5
2019,Proportion of people living below 50 percent of median income,Jalal-Abad,,,,Bottom 50%,KG03,4.972738
2020,Proportion of people living below 50 percent of median income,Jalal-Abad,,,,Bottom 50%,KG03,6.543626
2021,Proportion of people living below 50 percent of median income,Jalal-Abad,,,,Bottom 50%,KG03,6.1197
2022,Proportion of people living below 50 percent of median income,Jalal-Abad,,,,Bottom 50%,KG03,9.099346
2023,Proportion of people living below 50 percent of median income,Jalal-Abad,,,,Bottom 50%,KG03,11.874861
2015,Proportion of people living below 50 percent of median income,Issyk-Kul,,,,Bottom 50%,KG02,6.300161
2016,Proportion of people living below 50 percent of median income,Issyk-Kul,,,,Bottom 50%,KG02,5.9524
2017,Proportion of people living below 50 percent of median income,Issyk-Kul,,,,Bottom 50%,KG02,5.3
2018,Proportion of people living below 50 percent of median income,Issyk-Kul,,,,Bottom 50%,KG02,6.8
2019,Proportion of people living below 50 percent of median income,Issyk-Kul,,,,Bottom 50%,KG02,6.252085
2020,Proportion of people living below 50 percent of median income,Issyk-Kul,,,,Bottom 50%,KG02,7.921875
2021,Proportion of people living below 50 percent of median income,Issyk-Kul,,,,Bottom 50%,KG02,5.948814
2022,Proportion of people living below 50 percent of median income,Issyk-Kul,,,,Bottom 50%,KG02,6.700352
2023,Proportion of people living below 50 percent of median income,Issyk-Kul,,,,Bottom 50%,KG02,8.404737
2015,Proportion of people living below 50 percent of median income,Naryn,,,,Bottom 50%,KG04,4.356925
2016,Proportion of people living below 50 percent of median income,Naryn,,,,Bottom 50%,KG04,8.77669
2017,Proportion of people living below 50 percent of median income,Naryn,,,,Bottom 50%,KG04,8.8
2018,Proportion of people living below 50 percent of median income,Naryn,,,,Bottom 50%,KG04,10.2
2019,Proportion of people living below 50 percent of median income,Naryn,,,,Bottom 50%,KG04,8.254219
2020,Proportion of people living below 50 percent of median income,Naryn,,,,Bottom 50%,KG04,6.255189
2021,Proportion of people living below 50 percent of median income,Naryn,,,,Bottom 50%,KG04,5.245198
2022,Proportion of people living below 50 percent of median income,Naryn,,,,Bottom 50%,KG04,12.078371
2023,Proportion of people living below 50 percent of median income,Naryn,,,,Bottom 50%,KG04,13.71754
2015,Proportion of people living below 50 percent of median income,Talas,,,,Bottom 50%,KG07,19.5
2016,Proportion of people living below 50 percent of median income,Talas,,,,Bottom 50%,KG07,17.6
2017,Proportion of people living below 50 percent of median income,Talas,,,,Bottom 50%,KG07,17.4
2018,Proportion of people living below 50 percent of median income,Talas,,,,Bottom 50%,KG07,18.5
2019,Proportion of people living below 50 percent of median income,Talas,,,,Bottom 50%,KG07,17.616827
2020,Proportion of people living below 50 percent of median income,Talas,,,,Bottom 50%,KG07,16.3
2021,Proportion of people living below 50 percent of median income,Talas,,,,Bottom 50%,KG07,14.8
2022,Proportion of people living below 50 percent of median income,Talas,,,,Bottom 50%,KG07,12.819849
2023,Proportion of people living below 50 percent of median income,Talas,,,,Bottom 50%,KG07,15.058556
2015,Proportion of people living below 50 percent of median income,Chui,,,,Bottom 50%,KG08,12.1
2016,Proportion of people living below 50 percent of median income,Chui,,,,Bottom 50%,KG08,12.5
2017,Proportion of people living below 50 percent of median income,Chui,,,,Bottom 50%,KG08,11.4
2018,Proportion of people living below 50 percent of median income,Chui,,,,Bottom 50%,KG08,13.5
2019,Proportion of people living below 50 percent of median income,Chui,,,,Bottom 50%,KG08,10.728478
2020,Proportion of people living below 50 percent of median income,Chui,,,,Bottom 50%,KG08,10.8
2021,Proportion of people living below 50 percent of median income,Chui,,,,Bottom 50%,KG08,9.1
2022,Proportion of people living below 50 percent of median income,Chui,,,,Bottom 50%,KG08,7.884395
2023,Proportion of people living below 50 percent of median income,Chui,,,,Bottom 50%,KG08,8.642274
2015,Proportion of people living below 50 percent of median income,Bishkek (city),,,,Bottom 50%,KG11,12.3
2016,Proportion of people living below 50 percent of median income,Bishkek (city),,,,Bottom 50%,KG11,12.6
2017,Proportion of people living below 50 percent of median income,Bishkek (city),,,,Bottom 50%,KG11,11.7
2018,Proportion of people living below 50 percent of median income,Bishkek (city),,,,Bottom 50%,KG11,12.2
2019,Proportion of people living below 50 percent of median income,Bishkek (city),,,,Bottom 50%,KG11,10.997778
2020,Proportion of people living below 50 percent of median income,Bishkek (city),,,,Bottom 50%,KG11,10.7
2021,Proportion of people living below 50 percent of median income,Bishkek (city),,,,Bottom 50%,KG11,9.5
2022,Proportion of people living below 50 percent of median income,Bishkek (city),,,,Bottom 50%,KG11,7.6891
2023,Proportion of people living below 50 percent of median income,Bishkek (city),,,,Bottom 50%,KG11,9.335649
2015,Proportion of people living below 50 percent of median income,Osh (city),,,,Bottom 50%,KG21,7.8
2016,Proportion of people living below 50 percent of median income,Osh (city),,,,Bottom 50%,KG21,7.8
2017,Proportion of people living below 50 percent of median income,Osh (city),,,,Bottom 50%,KG21,7.5
2018,Proportion of people living below 50 percent of median income,Osh (city),,,,Bottom 50%,KG21,8.4
2019,Proportion of people living below 50 percent of median income,Osh (city),,,,Bottom 50%,KG21,8.786411
2020,Proportion of people living below 50 percent of median income,Osh (city),,,,Bottom 50%,KG21,8.2
2021,Proportion of people living below 50 percent of median income,Osh (city),,,,Bottom 50%,KG21,5.9
2022,Proportion of people living below 50 percent of median income,Osh (city),,,,Bottom 50%,KG21,4.859109
2023,Proportion of people living below 50 percent of median income,Osh (city),,,,Bottom 50%,KG21,4.19281
