Year,Статус наблюдения,Характер данных,SERIES,Value
2009,Нормальное значение,Данные скорректированы страной,Доля развивающихся стран и наименее развитых стран в мировом экспорте услуг,0.017383
2010,Нормальное значение,Данные скорректированы страной,Доля развивающихся стран и наименее развитых стран в мировом экспорте услуг,0.015014
2011,Нормальное значение,Данные скорректированы страной,Доля развивающихся стран и наименее развитых стран в мировом экспорте услуг,0.019146
2012,Нормальное значение,Данные скорректированы страной,Доля развивающихся стран и наименее развитых стран в мировом экспорте услуг,0.021353
2013,Нормальное значение,Данные скорректированы страной,Доля развивающихся стран и наименее развитых стран в мировом экспорте услуг,0.021569
2014,Нормальное значение,Данные скорректированы страной,Доля развивающихся стран и наименее развитых стран в мировом экспорте услуг,0.017097
2015,Нормальное значение,Данные скорректированы страной,Доля развивающихся стран и наименее развитых стран в мировом экспорте услуг,0.016936
2016,Нормальное значение,Данные скорректированы страной,Доля развивающихся стран и наименее развитых стран в мировом экспорте услуг,0.016443
2017,Нормальное значение,Данные скорректированы страной,Доля развивающихся стран и наименее развитых стран в мировом экспорте услуг,0.014771
2018,Нормальное значение,Данные скорректированы страной,Доля развивающихся стран и наименее развитых стран в мировом экспорте услуг,0.013486
2019,Нормальное значение,Данные скорректированы страной,Доля развивающихся стран и наименее развитых стран в мировом экспорте услуг,0.017029
2020,Нормальное значение,Данные скорректированы страной,Доля развивающихся стран и наименее развитых стран в мировом экспорте услуг,0.008136
2021,Нормальное значение,Данные скорректированы страной,Доля развивающихся стран и наименее развитых стран в мировом экспорте услуг,0.008238
2022,Нормальное значение,Данные скорректированы страной,Доля развивающихся стран и наименее развитых стран в мировом экспорте услуг,0.018815
2023,Оценочное значение,Оценочные данные,Доля развивающихся стран и наименее развитых стран в мировом экспорте услуг,0.029238
2000,Нормальное значение,Данные скорректированы страной,Доля развивающихся стран и наименее развитых стран в мировом импорте товаров,0.008389
2001,Нормальное значение,Данные скорректированы страной,Доля развивающихся стран и наименее развитых стран в мировом импорте товаров,0.007285
2002,Нормальное значение,Данные скорректированы страной,Доля развивающихся стран и наименее развитых стран в мировом импорте товаров,0.008807
2003,Нормальное значение,Данные скорректированы страной,Доля развивающихся стран и наименее развитых стран в мировом импорте товаров,0.009217
2004,Нормальное значение,Данные скорректированы страной,Доля развивающихся стран и наименее развитых стран в мировом импорте товаров,0.00993
2005,Нормальное значение,Данные скорректированы страной,Доля развивающихся стран и наименее развитых стран в мировом импорте товаров,0.010206
2006,Нормальное значение,Данные скорректированы страной,Доля развивающихся стран и наименее развитых стран в мировом импорте товаров,0.015599
2007,Нормальное значение,Данные скорректированы страной,Доля развивающихся стран и наименее развитых стран в мировом импорте товаров,0.019556
2008,Нормальное значение,Данные скорректированы страной,Доля развивающихся стран и наименее развитых стран в мировом импорте товаров,0.024655
2009,Нормальное значение,Данные скорректированы страной,Доля развивающихся стран и наименее развитых стран в мировом импорте товаров,0.023839
2010,Нормальное значение,Данные скорректированы страной,Доля развивающихся стран и наименее развитых стран в мировом импорте товаров,0.020881
2011,Нормальное значение,Данные скорректированы страной,Доля развивающихся стран и наименее развитых стран в мировом импорте товаров,0.023101
2012,Нормальное значение,Данные скорректированы страной,Доля развивающихся стран и наименее развитых стран в мировом импорте товаров,0.028789
2013,Нормальное значение,Данные скорректированы страной,Доля развивающихся стран и наименее развитых стран в мировом импорте товаров,0.031988
2014,Нормальное значение,Данные скорректированы страной,Доля развивающихся стран и наименее развитых стран в мировом импорте товаров,0.030058
2015,Нормальное значение,Данные скорректированы страной,Доля развивающихся стран и наименее развитых стран в мировом импорте товаров,0.024331
2016,Нормальное значение,Данные скорректированы страной,Доля развивающихся стран и наименее развитых стран в мировом импорте товаров,0.02469
2017,Нормальное значение,Данные скорректированы страной,Доля развивающихся стран и наименее развитых стран в мировом импорте товаров,0.025017
2018,Нормальное значение,Данные скорректированы страной,Доля развивающихся стран и наименее развитых стран в мировом импорте товаров,0.026716
2019,Нормальное значение,Данные скорректированы страной,Доля развивающихся стран и наименее развитых стран в мировом импорте товаров,0.025822
2020,Нормальное значение,Данные скорректированы страной,Доля развивающихся стран и наименее развитых стран в мировом импорте товаров,0.020808
2021,Нормальное значение,Данные скорректированы страной,Доля развивающихся стран и наименее развитых стран в мировом импорте товаров,0.024714
2022,Нормальное значение,Данные скорректированы страной,Доля развивающихся стран и наименее развитых стран в мировом импорте товаров,0.038209
2023,Нормальное значение,Данные скорректированы страной,Доля развивающихся стран и наименее развитых стран в мировом импорте товаров,0.050927
2000,Нормальное значение,Данные скорректированы страной,Доля развивающихся стран и наименее развитых стран в мировом импорте услуг,0.009752
2001,Нормальное значение,Данные скорректированы страной,Доля развивающихся стран и наименее развитых стран в мировом импорте услуг,0.008112
2002,Нормальное значение,Данные скорректированы страной,Доля развивающихся стран и наименее развитых стран в мировом импорте услуг,0.009053
2003,Нормальное значение,Данные скорректированы страной,Доля развивающихся стран и наименее развитых стран в мировом импорте услуг,0.008567
2004,Нормальное значение,Данные скорректированы страной,Доля развивающихся стран и наименее развитых стран в мировом импорте услуг,0.00999
2005,Нормальное значение,Данные скорректированы страной,Доля развивающихся стран и наименее развитых стран в мировом импорте услуг,0.011029
2006,Нормальное значение,Данные скорректированы страной,Доля развивающихся стран и наименее развитых стран в мировом импорте услуг,0.015489
2007,Нормальное значение,Данные скорректированы страной,Доля развивающихся стран и наименее развитых стран в мировом импорте услуг,0.017243
2008,Нормальное значение,Данные скорректированы страной,Доля развивающихся стран и наименее развитых стран в мировом импорте услуг,0.022905
2009,Нормальное значение,Данные скорректированы страной,Доля развивающихся стран и наименее развитых стран в мировом импорте услуг,0.02089
2010,Нормальное значение,Данные скорректированы страной,Доля развивающихся стран и наименее развитых стран в мировом импорте услуг,0.020564
2011,Нормальное значение,Данные скорректированы страной,Доля развивающихся стран и наименее развитых стран в мировом импорте услуг,0.022155
2012,Нормальное значение,Данные скорректированы страной,Доля развивающихся стран и наименее развитых стран в мировом импорте услуг,0.029356
2013,Нормальное значение,Данные скорректированы страной,Доля развивающихся стран и наименее развитых стран в мировом импорте услуг,0.023296
2014,Нормальное значение,Данные скорректированы страной,Доля развивающихся стран и наименее развитых стран в мировом импорте услуг,0.024018
2015,Нормальное значение,Данные скорректированы страной,Доля развивающихся стран и наименее развитых стран в мировом импорте услуг,0.021376
2016,Нормальное значение,Данные скорректированы страной,Доля развивающихся стран и наименее развитых стран в мировом импорте услуг,0.021023
2017,Нормальное значение,Данные скорректированы страной,Доля развивающихся стран и наименее развитых стран в мировом импорте услуг,0.017001
2018,Нормальное значение,Данные скорректированы страной,Доля развивающихся стран и наименее развитых стран в мировом импорте услуг,0.0164
2019,Нормальное значение,Данные скорректированы страной,Доля развивающихся стран и наименее развитых стран в мировом импорте услуг,0.016769
2020,Нормальное значение,Данные скорректированы страной,Доля развивающихся стран и наименее развитых стран в мировом импорте услуг,0.012062
2021,Нормальное значение,Данные скорректированы страной,Доля развивающихся стран и наименее развитых стран в мировом импорте услуг,0.012743
2022,Нормальное значение,Данные скорректированы страной,Доля развивающихся стран и наименее развитых стран в мировом импорте услуг,0.022093
2023,Оценочное значение,Оценочные данные,Доля развивающихся стран и наименее развитых стран в мировом импорте услуг,0.038229
