Year,Sex,Age,Education level,COMPOSITE_BREAKDOWN,Value
2014,,41 to 50 years old,,,482
2015,,41 to 50 years old,,,625
2016,,41 to 50 years old,,,1435
2017,,41 to 50 years old,,,1496
2018,,41 to 50 years old,,,1550
2019,,41 to 50 years old,,,1121
2009,,51 years old and over,,,131
2010,,51 years old and over,,,108
2011,,51 years old and over,,,148
2012,,51 years old and over,,,137
2013,,51 years old and over,,,168
2014,,51 years old and over,,,296
2015,,51 years old and over,,,256
2016,,51 years old and over,,,530
2017,,51 years old and over,,,1014
2018,,51 years old and over,,,885
2019,,51 years old and over,,,610
2009,,,Master’s or equivalent level,,264
2010,,,Master’s or equivalent level,,141
2011,,,Master’s or equivalent level,,156
2012,,,Master’s or equivalent level,,222
2013,,,Master’s or equivalent level,,174
2014,,,Master’s or equivalent level,,246
2015,,,Master’s or equivalent level,,276
2016,,,Master’s or equivalent level,,559
2017,,,Master’s or equivalent level,,650
2018,,,Master’s or equivalent level,,818
2019,,,Master’s or equivalent level,,728
2009,,,Bachelor’s or equivalent level,,131
2010,,,Bachelor’s or equivalent level,,191
2011,,,Bachelor’s or equivalent level,,164
2012,,,Bachelor’s or equivalent level,,121
2013,,,Bachelor’s or equivalent level,,87
2014,,,Bachelor’s or equivalent level,,173
2015,,,Bachelor’s or equivalent level,,159
2016,,,Bachelor’s or equivalent level,,576
2017,,,Bachelor’s or equivalent level,,585
2018,,,Bachelor’s or equivalent level,,685
2019,,,Bachelor’s or equivalent level,,407
2009,,,Short-cycle tertiary education,,523
2010,,,Short-cycle tertiary education,,495
2011,,,Short-cycle tertiary education,,359
2012,,,Short-cycle tertiary education,,421
2013,,,Short-cycle tertiary education,,483
2014,,,Short-cycle tertiary education,,318
2015,,,Short-cycle tertiary education,,563
2016,,,Short-cycle tertiary education,,1226
2017,,,Short-cycle tertiary education,,1035
2018,,,Short-cycle tertiary education,,1223
2019,,,Short-cycle tertiary education,,1177
2009,,,Upper secondary education,,1101
2010,,,Upper secondary education,,795
2011,,,Upper secondary education,,1072
2012,,,Upper secondary education,,1647
2013,,,Upper secondary education,,1588
2014,,,Upper secondary education,,1839
2015,,,Upper secondary education,,2195
2016,,,Upper secondary education,,4436
2017,,,Upper secondary education,,4793
2018,,,Upper secondary education,,4228
2019,,,Upper secondary education,,3381
2009,,,,Education: Other,74
2010,,,,Education: Other,167
2011,,,,Education: Other,58
2012,,,,Education: Other,4
2013,,,,Education: Other,7
2014,,,,Education: Other,42
2015,,,,Education: Other,140
2016,,,,Education: Other,208
2017,,,,Education: Other,260
2018,,,,Education: Other,224
2019,,,,Education: Other,452
2009,,,,Activity status: Working,533
2010,,,,Activity status: Working,560
2011,,,,Activity status: Working,493
2012,,,,Activity status: Working,478
2013,,,,Activity status: Working,383
2014,,,,Activity status: Working,464
2015,,,,Activity status: Working,646
2016,,,,Activity status: Working,1658
2017,,,,Activity status: Working,1516
2018,,,,Activity status: Working,1818
2019,,,,Activity status: Working,1178
2009,,,,Activity status: Not working,1384
2010,,,,Activity status: Not working,1106
2011,,,,Activity status: Not working,1232
2012,,,,Activity status: Not working,1814
2013,,,,Activity status: Not working,1810
2014,,,,Activity status: Not working,1916
2015,,,,Activity status: Not working,2428
2016,,,,Activity status: Not working,4906
2017,,,,Activity status: Not working,5164
2018,,,,Activity status: Not working,4681
2019,,,,Activity status: Not working,4290
2009,,,,Activity status: Students,82
2010,,,,Activity status: Students,30
2011,,,,Activity status: Students,14
2012,,,,Activity status: Students,36
2013,,,,Activity status: Students,61
2014,,,,Activity status: Students,95
2015,,,,Activity status: Students,94
2016,,,,Activity status: Students,74
2017,,,,Activity status: Students,120
2018,,,,Activity status: Students,364
2019,,,,Activity status: Students,318
2009,,,,Activity status: Retirees,94
2010,,,,Activity status: Retirees,93
2011,,,,Activity status: Retirees,70
2012,,,,Activity status: Retirees,87
2013,,,,Activity status: Retirees,85
2014,,,,Activity status: Retirees,143
2015,,,,Activity status: Retirees,165
2016,,,,Activity status: Retirees,367
2017,,,,Activity status: Retirees,523
2018,,,,Activity status: Retirees,315
2019,,,,Activity status: Retirees,359
