Year,Территория,Пол,COMPOSITE_BREAKDOWN,Value
2008,Джалал-Абадская область,,Неинфекционные заболевания: Сердечно-сосудистые заболевания,2852.0
2009,Джалал-Абадская область,,Неинфекционные заболевания: Сердечно-сосудистые заболевания,2653.0
2010,Джалал-Абадская область,,Неинфекционные заболевания: Сердечно-сосудистые заболевания,2662.0
2011,Джалал-Абадская область,,Неинфекционные заболевания: Сердечно-сосудистые заболевания,2898.0
2012,Джалал-Абадская область,,Неинфекционные заболевания: Сердечно-сосудистые заболевания,2862.0
2013,Джалал-Абадская область,,Неинфекционные заболевания: Сердечно-сосудистые заболевания,2646.0
2014,Джалал-Абадская область,,Неинфекционные заболевания: Сердечно-сосудистые заболевания,2646.0
2015,Джалал-Абадская область,,Неинфекционные заболевания: Сердечно-сосудистые заболевания,2683.0
2016,Джалал-Абадская область,,Неинфекционные заболевания: Сердечно-сосудистые заболевания,2490.0
2017,Джалал-Абадская область,,Неинфекционные заболевания: Сердечно-сосудистые заболевания,2440.0
2018,Джалал-Абадская область,,Неинфекционные заболевания: Сердечно-сосудистые заболевания,2378.0
2019,Джалал-Абадская область,,Неинфекционные заболевания: Сердечно-сосудистые заболевания,2431.0
2020,Джалал-Абадская область,,Неинфекционные заболевания: Сердечно-сосудистые заболевания,2924.0
2007,Джалал-Абадская область,Мужчины,Неинфекционные заболевания: Сердечно-сосудистые заболевания,2854.0
2008,Джалал-Абадская область,Мужчины,Неинфекционные заболевания: Сердечно-сосудистые заболевания,2816.0
2009,Джалал-Абадская область,Мужчины,Неинфекционные заболевания: Сердечно-сосудистые заболевания,2717.0
2010,Джалал-Абадская область,Мужчины,Неинфекционные заболевания: Сердечно-сосудистые заболевания,2702.0
2011,Джалал-Абадская область,Мужчины,Неинфекционные заболевания: Сердечно-сосудистые заболевания,2958.0
2012,Джалал-Абадская область,Мужчины,Неинфекционные заболевания: Сердечно-сосудистые заболевания,2856.0
2013,Джалал-Абадская область,Мужчины,Неинфекционные заболевания: Сердечно-сосудистые заболевания,2753.0
2014,Джалал-Абадская область,Мужчины,Неинфекционные заболевания: Сердечно-сосудистые заболевания,2780.0
2015,Джалал-Абадская область,Мужчины,Неинфекционные заболевания: Сердечно-сосудистые заболевания,2797.0
2016,Джалал-Абадская область,Мужчины,Неинфекционные заболевания: Сердечно-сосудистые заболевания,2562.0
2017,Джалал-Абадская область,Мужчины,Неинфекционные заболевания: Сердечно-сосудистые заболевания,2522.0
2018,Джалал-Абадская область,Мужчины,Неинфекционные заболевания: Сердечно-сосудистые заболевания,2480.0
2019,Джалал-Абадская область,Мужчины,Неинфекционные заболевания: Сердечно-сосудистые заболевания,2430.0
2020,Джалал-Абадская область,Мужчины,Неинфекционные заболевания: Сердечно-сосудистые заболевания,3114.0
2007,Джалал-Абадская область,Женщины,Неинфекционные заболевания: Сердечно-сосудистые заболевания,2603.0
2008,Джалал-Абадская область,Женщины,Неинфекционные заболевания: Сердечно-сосудистые заболевания,2889.0
2009,Джалал-Абадская область,Женщины,Неинфекционные заболевания: Сердечно-сосудистые заболевания,2589.0
2010,Джалал-Абадская область,Женщины,Неинфекционные заболевания: Сердечно-сосудистые заболевания,2622.0
2011,Джалал-Абадская область,Женщины,Неинфекционные заболевания: Сердечно-сосудистые заболевания,2839.0
2012,Джалал-Абадская область,Женщины,Неинфекционные заболевания: Сердечно-сосудистые заболевания,2869.0
2013,Джалал-Абадская область,Женщины,Неинфекционные заболевания: Сердечно-сосудистые заболевания,2539.0
2014,Джалал-Абадская область,Женщины,Неинфекционные заболевания: Сердечно-сосудистые заболевания,2510.0
2015,Джалал-Абадская область,Женщины,Неинфекционные заболевания: Сердечно-сосудистые заболевания,2567.0
2016,Джалал-Абадская область,Женщины,Неинфекционные заболевания: Сердечно-сосудистые заболевания,2417.0
2017,Джалал-Абадская область,Женщины,Неинфекционные заболевания: Сердечно-сосудистые заболевания,2358.0
2018,Джалал-Абадская область,Женщины,Неинфекционные заболевания: Сердечно-сосудистые заболевания,2276.0
2019,Джалал-Абадская область,Женщины,Неинфекционные заболевания: Сердечно-сосудистые заболевания,2432.0
2020,Джалал-Абадская область,Женщины,Неинфекционные заболевания: Сердечно-сосудистые заболевания,2731.0
2007,Иссык-Кульская область,,Неинфекционные заболевания: Сердечно-сосудистые заболевания,4170.0
2008,Иссык-Кульская область,,Неинфекционные заболевания: Сердечно-сосудистые заболевания,3919.0
2009,Иссык-Кульская область,,Неинфекционные заболевания: Сердечно-сосудистые заболевания,3694.0
2010,Иссык-Кульская область,,Неинфекционные заболевания: Сердечно-сосудистые заболевания,3911.0
2011,Иссык-Кульская область,,Неинфекционные заболевания: Сердечно-сосудистые заболевания,3605.0
2012,Иссык-Кульская область,,Неинфекционные заболевания: Сердечно-сосудистые заболевания,3949.0
2013,Иссык-Кульская область,,Неинфекционные заболевания: Сердечно-сосудистые заболевания,3858.0
2014,Иссык-Кульская область,,Неинфекционные заболевания: Сердечно-сосудистые заболевания,3630.0
2015,Иссык-Кульская область,,Неинфекционные заболевания: Сердечно-сосудистые заболевания,3610.0
2016,Иссык-Кульская область,,Неинфекционные заболевания: Сердечно-сосудистые заболевания,3287.0
2017,Иссык-Кульская область,,Неинфекционные заболевания: Сердечно-сосудистые заболевания,3259.0
2018,Иссык-Кульская область,,Неинфекционные заболевания: Сердечно-сосудистые заболевания,3020.0
2019,Иссык-Кульская область,,Неинфекционные заболевания: Сердечно-сосудистые заболевания,3029.0
2020,Иссык-Кульская область,,Неинфекционные заболевания: Сердечно-сосудистые заболевания,3770.0
2007,Иссык-Кульская область,Мужчины,Неинфекционные заболевания: Сердечно-сосудистые заболевания,4069.0
2008,Иссык-Кульская область,Мужчины,Неинфекционные заболевания: Сердечно-сосудистые заболевания,3820.0
2009,Иссык-Кульская область,Мужчины,Неинфекционные заболевания: Сердечно-сосудистые заболевания,3669.0
2010,Иссык-Кульская область,Мужчины,Неинфекционные заболевания: Сердечно-сосудистые заболевания,3882.0
2011,Иссык-Кульская область,Мужчины,Неинфекционные заболевания: Сердечно-сосудистые заболевания,3535.0
2012,Иссык-Кульская область,Мужчины,Неинфекционные заболевания: Сердечно-сосудистые заболевания,3911.0
2013,Иссык-Кульская область,Мужчины,Неинфекционные заболевания: Сердечно-сосудистые заболевания,3951.0
2014,Иссык-Кульская область,Мужчины,Неинфекционные заболевания: Сердечно-сосудистые заболевания,3795.0
2015,Иссык-Кульская область,Мужчины,Неинфекционные заболевания: Сердечно-сосудистые заболевания,3707.0
2016,Иссык-Кульская область,Мужчины,Неинфекционные заболевания: Сердечно-сосудистые заболевания,3343.0
2017,Иссык-Кульская область,Мужчины,Неинфекционные заболевания: Сердечно-сосудистые заболевания,3346.0
2018,Иссык-Кульская область,Мужчины,Неинфекционные заболевания: Сердечно-сосудистые заболевания,3097.0
2019,Иссык-Кульская область,Мужчины,Неинфекционные заболевания: Сердечно-сосудистые заболевания,3031.0
2020,Иссык-Кульская область,Мужчины,Неинфекционные заболевания: Сердечно-сосудистые заболевания,4000.0
2007,Иссык-Кульская область,Женщины,Неинфекционные заболевания: Сердечно-сосудистые заболевания,4269.0
2008,Иссык-Кульская область,Женщины,Неинфекционные заболевания: Сердечно-сосудистые заболевания,4016.0
2009,Иссык-Кульская область,Женщины,Неинфекционные заболевания: Сердечно-сосудистые заболевания,3719.0
2010,Иссык-Кульская область,Женщины,Неинфекционные заболевания: Сердечно-сосудистые заболевания,3938.0
2011,Иссык-Кульская область,Женщины,Неинфекционные заболевания: Сердечно-сосудистые заболевания,3674.0
2012,Иссык-Кульская область,Женщины,Неинфекционные заболевания: Сердечно-сосудистые заболевания,3988.0
2013,Иссык-Кульская область,Женщины,Неинфекционные заболевания: Сердечно-сосудистые заболевания,3766.0
2014,Иссык-Кульская область,Женщины,Неинфекционные заболевания: Сердечно-сосудистые заболевания,3467.0
2015,Иссык-Кульская область,Женщины,Неинфекционные заболевания: Сердечно-сосудистые заболевания,3515.0
2016,Иссык-Кульская область,Женщины,Неинфекционные заболевания: Сердечно-сосудистые заболевания,3231.0
2017,Иссык-Кульская область,Женщины,Неинфекционные заболевания: Сердечно-сосудистые заболевания,3173.0
2018,Иссык-Кульская область,Женщины,Неинфекционные заболевания: Сердечно-сосудистые заболевания,2944.0
2019,Иссык-Кульская область,Женщины,Неинфекционные заболевания: Сердечно-сосудистые заболевания,3027.0
2020,Иссык-Кульская область,Женщины,Неинфекционные заболевания: Сердечно-сосудистые заболевания,3541.0
2007,Нарынская область,,Неинфекционные заболевания: Сердечно-сосудистые заболевания,3333.0
2008,Нарынская область,,Неинфекционные заболевания: Сердечно-сосудистые заболевания,3065.0
2009,Нарынская область,,Неинфекционные заболевания: Сердечно-сосудистые заболевания,2807.0
2010,Нарынская область,,Неинфекционные заболевания: Сердечно-сосудистые заболевания,3011.0
2011,Нарынская область,,Неинфекционные заболевания: Сердечно-сосудистые заболевания,3263.0
2012,Нарынская область,,Неинфекционные заболевания: Сердечно-сосудистые заболевания,3182.0
2013,Нарынская область,,Неинфекционные заболевания: Сердечно-сосудистые заболевания,3274.0
2014,Нарынская область,,Неинфекционные заболевания: Сердечно-сосудистые заболевания,3176.0
2015,Нарынская область,,Неинфекционные заболевания: Сердечно-сосудистые заболевания,3100.0
2016,Нарынская область,,Неинфекционные заболевания: Сердечно-сосудистые заболевания,3128.0
2017,Нарынская область,,Неинфекционные заболевания: Сердечно-сосудистые заболевания,3027.0
2018,Нарынская область,,Неинфекционные заболевания: Сердечно-сосудистые заболевания,3080.0
2019,Нарынская область,,Неинфекционные заболевания: Сердечно-сосудистые заболевания,3170.0
2020,Нарынская область,,Неинфекционные заболевания: Сердечно-сосудистые заболевания,3407.0
2007,Нарынская область,Мужчины,Неинфекционные заболевания: Сердечно-сосудистые заболевания,3515.0
2008,Нарынская область,Мужчины,Неинфекционные заболевания: Сердечно-сосудистые заболевания,3226.0
2009,Нарынская область,Мужчины,Неинфекционные заболевания: Сердечно-сосудистые заболевания,2788.0
2010,Нарынская область,Мужчины,Неинфекционные заболевания: Сердечно-сосудистые заболевания,3008.0
2011,Нарынская область,Мужчины,Неинфекционные заболевания: Сердечно-сосудистые заболевания,3466.0
2012,Нарынская область,Мужчины,Неинфекционные заболевания: Сердечно-сосудистые заболевания,3388.0
2013,Нарынская область,Мужчины,Неинфекционные заболевания: Сердечно-сосудистые заболевания,3477.0
2014,Нарынская область,Мужчины,Неинфекционные заболевания: Сердечно-сосудистые заболевания,3661.0
2015,Нарынская область,Мужчины,Неинфекционные заболевания: Сердечно-сосудистые заболевания,3276.0
2016,Нарынская область,Мужчины,Неинфекционные заболевания: Сердечно-сосудистые заболевания,3343.0
2017,Нарынская область,Мужчины,Неинфекционные заболевания: Сердечно-сосудистые заболевания,3120.0
2018,Нарынская область,Мужчины,Неинфекционные заболевания: Сердечно-сосудистые заболевания,3347.0
2019,Нарынская область,Мужчины,Неинфекционные заболевания: Сердечно-сосудистые заболевания,3442.0
2020,Нарынская область,Мужчины,Неинфекционные заболевания: Сердечно-сосудистые заболевания,3889.0
2007,Нарынская область,Женщины,Неинфекционные заболевания: Сердечно-сосудистые заболевания,3147.0
2008,Нарынская область,Женщины,Неинфекционные заболевания: Сердечно-сосудистые заболевания,2900.0
2009,Нарынская область,Женщины,Неинфекционные заболевания: Сердечно-сосудистые заболевания,2826.0
2010,Нарынская область,Женщины,Неинфекционные заболевания: Сердечно-сосудистые заболевания,3015.0
2011,Нарынская область,Женщины,Неинфекционные заболевания: Сердечно-сосудистые заболевания,3054.0
2012,Нарынская область,Женщины,Неинфекционные заболевания: Сердечно-сосудистые заболевания,2970.0
2013,Нарынская область,Женщины,Неинфекционные заболевания: Сердечно-сосудистые заболевания,3065.0
2014,Нарынская область,Женщины,Неинфекционные заболевания: Сердечно-сосудистые заболевания,2677.0
2015,Нарынская область,Женщины,Неинфекционные заболевания: Сердечно-сосудистые заболевания,2919.0
2016,Нарынская область,Женщины,Неинфекционные заболевания: Сердечно-сосудистые заболевания,2907.0
2017,Нарынская область,Женщины,Неинфекционные заболевания: Сердечно-сосудистые заболевания,2930.0
2018,Нарынская область,Женщины,Неинфекционные заболевания: Сердечно-сосудистые заболевания,2803.0
2019,Нарынская область,Женщины,Неинфекционные заболевания: Сердечно-сосудистые заболевания,2888.0
2020,Нарынская область,Женщины,Неинфекционные заболевания: Сердечно-сосудистые заболевания,2906.0
2007,Ошская область,,Неинфекционные заболевания: Сердечно-сосудистые заболевания,2464.0
2008,Ошская область,,Неинфекционные заболевания: Сердечно-сосудистые заболевания,2525.0
2009,Ошская область,,Неинфекционные заболевания: Сердечно-сосудистые заболевания,2664.0
2010,Ошская область,,Неинфекционные заболевания: Сердечно-сосудистые заболевания,2851.0
2011,Ошская область,,Неинфекционные заболевания: Сердечно-сосудистые заболевания,2752.0
2012,Ошская область,,Неинфекционные заболевания: Сердечно-сосудистые заболевания,2816.0
2013,Ошская область,,Неинфекционные заболевания: Сердечно-сосудистые заболевания,2644.0
2014,Ошская область,,Неинфекционные заболевания: Сердечно-сосудистые заболевания,2730.0
2015,Ошская область,,Неинфекционные заболевания: Сердечно-сосудистые заболевания,2657.0
2016,Ошская область,,Неинфекционные заболевания: Сердечно-сосудистые заболевания,2390.0
2017,Ошская область,,Неинфекционные заболевания: Сердечно-сосудистые заболевания,2408.0
2018,Ошская область,,Неинфекционные заболевания: Сердечно-сосудистые заболевания,2293.0
2019,Ошская область,,Неинфекционные заболевания: Сердечно-сосудистые заболевания,2309.0
2020,Ошская область,,Неинфекционные заболевания: Сердечно-сосудистые заболевания,3048.0
2007,Ошская область,Мужчины,Неинфекционные заболевания: Сердечно-сосудистые заболевания,2530.0
2008,Ошская область,Мужчины,Неинфекционные заболевания: Сердечно-сосудистые заболевания,2610.0
2009,Ошская область,Мужчины,Неинфекционные заболевания: Сердечно-сосудистые заболевания,2722.0
2010,Ошская область,Мужчины,Неинфекционные заболевания: Сердечно-сосудистые заболевания,3012.0
2011,Ошская область,Мужчины,Неинфекционные заболевания: Сердечно-сосудистые заболевания,2946.0
2012,Ошская область,Мужчины,Неинфекционные заболевания: Сердечно-сосудистые заболевания,2991.0
2013,Ошская область,Мужчины,Неинфекционные заболевания: Сердечно-сосудистые заболевания,2804.0
2014,Ошская область,Мужчины,Неинфекционные заболевания: Сердечно-сосудистые заболевания,2912.0
2015,Ошская область,Мужчины,Неинфекционные заболевания: Сердечно-сосудистые заболевания,2693.0
2016,Ошская область,Мужчины,Неинфекционные заболевания: Сердечно-сосудистые заболевания,2431.0
2017,Ошская область,Мужчины,Неинфекционные заболевания: Сердечно-сосудистые заболевания,2517.0
2018,Ошская область,Мужчины,Неинфекционные заболевания: Сердечно-сосудистые заболевания,2437.0
2019,Ошская область,Мужчины,Неинфекционные заболевания: Сердечно-сосудистые заболевания,2486.0
2020,Ошская область,Мужчины,Неинфекционные заболевания: Сердечно-сосудистые заболевания,3308.0
2007,Ошская область,Женщины,Неинфекционные заболевания: Сердечно-сосудистые заболевания,2396.0
2008,Ошская область,Женщины,Неинфекционные заболевания: Сердечно-сосудистые заболевания,2439.0
2009,Ошская область,Женщины,Неинфекционные заболевания: Сердечно-сосудистые заболевания,2605.0
2010,Ошская область,Женщины,Неинфекционные заболевания: Сердечно-сосудистые заболевания,2688.0
2011,Ошская область,Женщины,Неинфекционные заболевания: Сердечно-сосудистые заболевания,2554.0
2012,Ошская область,Женщины,Неинфекционные заболевания: Сердечно-сосудистые заболевания,2638.0
2013,Ошская область,Женщины,Неинфекционные заболевания: Сердечно-сосудистые заболевания,2481.0
2014,Ошская область,Женщины,Неинфекционные заболевания: Сердечно-сосудистые заболевания,2546.0
2015,Ошская область,Женщины,Неинфекционные заболевания: Сердечно-сосудистые заболевания,2620.0
2016,Ошская область,Женщины,Неинфекционные заболевания: Сердечно-сосудистые заболевания,2349.0
2017,Ошская область,Женщины,Неинфекционные заболевания: Сердечно-сосудистые заболевания,2297.0
2018,Ошская область,Женщины,Неинфекционные заболевания: Сердечно-сосудистые заболевания,2146.0
2019,Ошская область,Женщины,Неинфекционные заболевания: Сердечно-сосудистые заболевания,2127.0
2020,Ошская область,Женщины,Неинфекционные заболевания: Сердечно-сосудистые заболевания,2783.0
2007,Таласская область,,Неинфекционные заболевания: Сердечно-сосудистые заболевания,3490.0
2008,Таласская область,,Неинфекционные заболевания: Сердечно-сосудистые заболевания,3403.0
2009,Таласская область,,Неинфекционные заболевания: Сердечно-сосудистые заболевания,3488.0
2010,Таласская область,,Неинфекционные заболевания: Сердечно-сосудистые заболевания,3338.0
2011,Таласская область,,Неинфекционные заболевания: Сердечно-сосудистые заболевания,3450.0
2012,Таласская область,,Неинфекционные заболевания: Сердечно-сосудистые заболевания,3425.0
2013,Таласская область,,Неинфекционные заболевания: Сердечно-сосудистые заболевания,3098.0
2014,Таласская область,,Неинфекционные заболевания: Сердечно-сосудистые заболевания,3327.0
2015,Таласская область,,Неинфекционные заболевания: Сердечно-сосудистые заболевания,3225.0
2016,Таласская область,,Неинфекционные заболевания: Сердечно-сосудистые заболевания,2887.0
2017,Таласская область,,Неинфекционные заболевания: Сердечно-сосудистые заболевания,3019.0
2018,Таласская область,,Неинфекционные заболевания: Сердечно-сосудистые заболевания,2615.0
2019,Таласская область,,Неинфекционные заболевания: Сердечно-сосудистые заболевания,2999.0
2020,Таласская область,,Неинфекционные заболевания: Сердечно-сосудистые заболевания,3392.0
2007,Таласская область,Мужчины,Неинфекционные заболевания: Сердечно-сосудистые заболевания,3550.0
2008,Таласская область,Мужчины,Неинфекционные заболевания: Сердечно-сосудистые заболевания,3487.0
2009,Таласская область,Мужчины,Неинфекционные заболевания: Сердечно-сосудистые заболевания,3735.0
